"Postcode","Division","District","Thana","SubOffice","PostCode"
"1206","ঢাকা","ঢাকা","ঢাকা সেনানিবাস","ঢাকা সেনানিবাস TSO","১২০৬"
"1350","ঢাকা","ঢাকা","ধামরাই","ধামরাই","১৩৫০"
"1209","ঢাকা","ঢাকা","ধানমন্ডি","জিগাতলা TSO","১২০৯"
"1213","ঢাকা","ঢাকা","গুলশান","বনানী TSO","১২১৩"
"1212","ঢাকা","ঢাকা","গুলশান","গুলশান মডেল টাউন","১২১২"
"1236","ঢাকা","Dhaka","Jatrabari","Dhania TSO","১২৩৬"
"1331","ঢাকা","ঢাকা","জয়পাড়া","পালামগঞ্জ","১৩৩১"
"1332","ঢাকা","ঢাকা","জয়পাড়া","নারিশা","১৩৩২"
"1312","ঢাকা","ঢাকা","কেরানীগঞ্জ","আটি","১৩১২"
"1311","ঢাকা","ঢাকা","কেরানীগঞ্জ","ঢাকা পাট কল","১৩১১"
"1313","ঢাকা","ঢাকা","কেরানীগঞ্জ","কালাটিয়া","১৩১৩"
"1310","ঢাকা","ঢাকা","কেরানীগঞ্জ","কেরানীগঞ্জ","১৩১০"
"1219","ঢাকা","ঢাকা","খিলগাঁও","খিলগাঁও TSO","১২১৯"
"1229","ঢাকা","ঢাকা","খিলক্ষেত","খিলক্ষেত TSO","১২২৯"
"1211","ঢাকা","ঢাকা","লালবাগ","পোস্তা TSO","১২১১"
"1216","ঢাকা","ঢাকা","মিরপুর","মিরপুর TSO","১২১৬"
"1207","ঢাকা","ঢাকা","মোহাম্মদপুর","মোহাম্মদপুর হাউজিং","১২০৭"
"1225","ঢাকা","ঢাকা","মোহাম্মদপুর","সংসদ ভবন TSO","১২২৫"
"1222","ঢাকা","ঢাকা","মতিঝিল","বঙ্গভবন TSO","১২২২"
"1223","ঢাকা","ঢাকা","মতিঝিল","দিলকুশা TSO","১২২৩"
"1323","ঢাকা","ঢাকা","নবাবগঞ্জ","আগলা","১৩২৩"
"1325","ঢাকা","ঢাকা","নবাবগঞ্জ","চুরাইন","১৩২৫"
"1322","ঢাকা","ঢাকা","নবাবগঞ্জ","দাউদপুর","১৩২২"
"1321","ঢাকা","ঢাকা","নবাবগঞ্জ","হাসনাবাদ","১৩২১"
"1324","ঢাকা","ঢাকা","নবাবগঞ্জ","খালপাড়","১৩২৪"
"1320","ঢাকা","ঢাকা","নবাবগঞ্জ","নবাবগঞ্জ","১৩২০"
"1205","ঢাকা","ঢাকা","নতুন বাজার","নিউমার্কেট TSO","১২০৫"
"1000","ঢাকা","ঢাকা","পল্টন","ঢাকা জিপিও","১০০০"
"1217","ঢাকা","ঢাকা","রমনা","শান্তিনগর TSO","১২১৭"
"1214","ঢাকা","ঢাকা","সবুজবাগ","বাসাবো TSO","১২১৪"
"1348","ঢাকা","ঢাকা","সাভার","আমিন বাজার","১৩৪৮"
"1341","ঢাকা","ঢাকা","সাভার","গব্যশালা","১৩৪১"
"1349","ঢাকা","ঢাকা","সাভার","ইপিজেড","১৩৪৯"
"1342","ঢাকা","ঢাকা","সাভার","জাহাঙ্গীরনগর বিশ্ববিদ্যালয়","১৩৪২"
"1346","ঢাকা","ঢাকা","সাভার","কাশেম কটন মিলস","১৩৪৬"
"1347","ঢাকা","ঢাকা","সাভার","রাজফুললবাড়ীয়া","১৩৪৭"
"1340","ঢাকা","ঢাকা","সাভার","সাভার","১৩৪০"
"1344","ঢাকা","ঢাকা","সাভার","সাভার সেনানিবাস","১৩৪৪"
"1343","ঢাকা","ঢাকা","সাভার","সাভার বিপিএটিসি","১৩৪৩"
"1345","ঢাকা","ঢাকা","সাভার","শিমুলিয়া","১৩৪৫"
"1100","ঢাকা","ঢাকা","সুত্রাপুর","ঢাকা সদর HO","১১০০"
"1204","ঢাকা","ঢাকা","সুত্রাপুর","গেণ্ডারিয়া TSO","১২০৪"
"1203","ঢাকা","ঢাকা","সুত্রাপুর","ওয়ারী TSO","১২০৩"
"1215","ঢাকা","ঢাকা","তেজগাঁও","তেজগাঁও TSO","১২১৫"
"1208","ঢাকা","ঢাকা","উত্তরা","উত্তরা মডেল টাউন TSO","১২০৮"
"1230","ঢাকা","ঢাকা","উত্তরা","উত্তরা মডেল টাউন TSO","১২৩০"
"7870","রাজশাহী","ফরিদপুর","আলফাডাঙ্গা","আলফাডাঙ্গা","৭৮৭০"
"7830","রাজশাহী","ফরিদপুর","ভাঙ্গা","ভাঙ্গা","৭৮৩০"
"7860","রাজশাহী","ফরিদপুর","বোয়ালমারী","বোয়ালমারী","৭৮৬০"
"7861","রাজশাহী","ফরিদপুর","বোয়ালমারী","রুপাতপাত","৭৮৬১"
"7810","রাজশাহী","ফরিদপুর","চরভদ্রাসন","চরভদ্রাসন","৭৮১০"
"7802","রাজশাহী","ফরিদপুর","ফরিদপুর সদর","অম্বিকাপুর","৭৮০২"
"7803","রাজশাহী","ফরিদপুর","ফরিদপুর সদর","বাইতুলমান পলিটেকনিক","৭৮০৩"
"7800","রাজশাহী","ফরিদপুর","ফরিদপুর সদর","ফরিদপুর সদর","৭৮০০"
"7801","রাজশাহী","ফরিদপুর","ফরিদপুর সদর","কানাইপুর","৭৮০১"
"7851","রাজশাহী","ফরিদপুর","মদুখালি","কামারখালি","৭৮৫১"
"7850","রাজশাহী","ফরিদপুর","মদুখালি","মদুখালি","৭৮৫০"
"7840","রাজশাহী","ফরিদপুর","নগরকান্দা","নগরকান্দা","৭৮৪০"
"7841","রাজশাহী","ফরিদপুর","নগরকান্দা","তালমা","৭৮৪১"
"7822","রাজশাহী","ফরিদপুর","সদরপুর","বিশ্বরোড জাকের মঞ্জিল","৭৮২২"
"7821","রাজশাহী","ফরিদপুর","সদরপুর","হাট ক্রিশাপুর","৭৮২১"
"7820","রাজশাহী","ফরিদপুর","শ্রী-অঙ্গন","শ্রী-অঙ্গন","৭৮২০"
"7804","রাজশাহী","ফরিদপুর","শ্রী-অঙ্গন","শ্রী-অঙ্গন","৭৮০৪"
"1703","ঢাকা","গাজীপুর","গাজীপুর সদর","B.O.F","১৭০৩"
"1701","ঢাকা","গাজীপুর","গাজীপুর সদর","B.R.R","১৭০১"
"1702","ঢাকা","গাজীপুর","গাজীপুর সদর","চান্দনা","১৭০২"
"1700","ঢাকা","গাজীপুর","গাজীপুর সদর","গাজীপুর সদর","১৭০০"
"1704","ঢাকা","গাজীপুর","গাজীপুর সদর","জাতীয় বিশ্ববিদ্যালয়","১৭০৪"
"1750","ঢাকা","গাজীপুর","কালিয়াকৈর","কালিয়াকৈর","১৭৫০"
"1751","ঢাকা","গাজীপুর","কালিয়াকৈর","সফিপুর","১৭৫১"
"1720","ঢাকা","গাজীপুর","কালীগঞ্জ","কালীগঞ্জ","১৭২০"
"1721","ঢাকা","গাজীপুর","কালীগঞ্জ","পুবাইল","১৭২১"
"1722","ঢাকা","গাজীপুর","কালীগঞ্জ","সান্তানপাড়া","১৭২২"
"1723","ঢাকা","গাজীপুর","কালীগঞ্জ","ভাওয়াল জামালপুর","১৭২৩"
"1730","ঢাকা","গাজীপুর","কাপাসিয়া","কাপাসিয়া","১৭৩০"
"1712","ঢাকা","গাজীপুর","মন্নুনগর","এরশাদ নগর","১৭১২"
"1710","ঢাকা","গাজীপুর","মন্নুনগর","মন্নুনগর","১৭১০"
"1711","ঢাকা","গাজীপুর","মন্নুনগর","নিশাত নগর","১৭১১"
"1743","ঢাকা","গাজীপুর","শ্রীপুর","বারমি","১৭৪৩"
"1747","ঢাকা","গাজীপুর","শ্রীপুর","বাশামুর","১৭৪৭"
"1748","ঢাকা","গাজীপুর","শ্রীপুর","বউবি","১৭৪৮"
"1745","ঢাকা","গাজীপুর","শ্রীপুর","কাওরাইড","১৭৪৫"
"1744","ঢাকা","গাজীপুর","শ্রীপুর","সাতখামার","১৭৪৪"
"1740","ঢাকা","গাজীপুর","শ্রীপুর","শ্রীপুর","১৭৪০"
"1741","ঢাকা","গাজীপুর","শ্রীপুর","রাজেন্দ্রপুর সেনানিবাস","১৭৪১"
"1742","ঢাকা","গাজীপুর","শ্রীপুর","রাজেন্দ্রপুর সেনানিবাস","১৭৪২"
"8102","বরিশাল","গোপালগঞ্জ","গোপালগঞ্জ সদর","বারফা","৮১০২"
"8013","বরিশাল","গোপালগঞ্জ","গোপালগঞ্জ সদর","চন্দ্রাদিঘীনালা","৮০১৩"
"8100","বরিশাল","গোপালগঞ্জ","গোপালগঞ্জ সদর","গোপালগঞ্জ সদর","৮১০০"
"8101","বরিশাল","গোপালগঞ্জ","গোপালগঞ্জ সদর","উলপুর","৮১০১"
"8133","বরিশাল","গোপালগঞ্জ","কাশিয়ানী","জনাপুর","৮১৩৩"
"8130","বরিশাল","গোপালগঞ্জ","কাশিয়ানী","কাশিয়ানী","৮১৩০"
"8131","বরিশাল","গোপালগঞ্জ","কাশিয়ানী","রামদিয়া কলেজ","৮১৩১"
"8132","বরিশাল","গোপালগঞ্জ","কাশিয়ানী","রাতোইল","৮১৩২"
"8110","বরিশাল","গোপালগঞ্জ","কোটালীপাড়া","কোটালীপাড়া","৮১১০"
"8141","বরিশাল","গোপালগঞ্জ","মাকসুদপুর","বাটিকামারী","৮১৪১"
