"Postcode","Division","District","Thana","SubOffice","PostCode"
"1206","Dhaka","Dhaka","Dhaka","Dhaka Cantonment-TSO","1206"
"1350","Dhaka","Dhaka","Dhamrai","Dhamrai","1350"
"1209","Dhaka","Dhaka","Dhanmondi","Jigatala TSO","1209"
"1213","Dhaka","Dhaka","Gulshan","Banani TSO","1213"
"1212","Dhaka","Dhaka","Jatrabari","Dhania TSO","1212"
"1236","Dhaka","Dhaka","Jatrabari","Dhania TSO","1236"
"1331","Dhaka","Dhaka","Joypara","Palamganj","1331"
"1332","Dhaka","Dhaka","Joypara","Narisha","1332"
"1312","Dhaka","Dhaka","Keraniganj","Ati","1312"
"1311","Dhaka","Dhaka","Keraniganj","Dhaka Jute Mills","1311"
"1313","Dhaka","Dhaka","Keraniganj","Kalatia","1313"
"1310","Dhaka","Dhaka","Keraniganj","Keraniganj","1310"
"1219","Dhaka","Dhaka","Khilgaon","KhilgaonTSO","1219"
"1229","Dhaka","Dhaka","Khilkhet","KhilkhetTSO","1229"
"1211","Dhaka","Dhaka","Lalbag","Posta TSO","1211"
"1216","Dhaka","Dhaka","Mirpur","Mirpur TSO","1216"
"1207","Dhaka","Dhaka","Mohammadpur","Mohammadpur Housing","1207"
"1225","Dhaka","Dhaka","Mohammadpur","Sangsad BhabanTSO","1225"
"1222","Dhaka","Dhaka","Motijheel","BangabhabanTSO","1222"
"1223","Dhaka","Dhaka","Motijheel","DilkushaTSO","1223"
"1323","Dhaka","Dhaka","Nawabganj","Agla","1323"
"1325","Dhaka","Dhaka","Nawabganj","Churain","1325"
"1322","Dhaka","Dhaka","Nawabganj","Daudpur","1322"
"1321","Dhaka","Dhaka","Nawabganj","Hasnabad","1321"
"1324","Dhaka","Dhaka","Nawabganj","Khalpar","1324"
"1320","Dhaka","Dhaka","Nawabganj","Nawabganj","1320"
"1205","Dhaka","Dhaka","Kalabagan (Old New market)","Kalabagan","1205"
"1000","Dhaka","Dhaka","Palton","Dhaka GPO","1000"
"1217","Dhaka","Dhaka","Ramna","Shantinagr TSO","1217"
"1214","Dhaka","Dhaka","Sabujbag","Basabo TSO","1214"
"1348","Dhaka","Dhaka","Savar","Amin Bazar","1348"
"1341","Dhaka","Dhaka","Savar","Dairy Farm","1341"
"1349","Dhaka","Dhaka","Savar","EPZ","1349"
"1342","Dhaka","Dhaka","Savar","Jahangirnagar University","1342"
"1346","Dhaka","Dhaka","Savar","Kashem Cotton Mills","1346"
"1347","Dhaka","Dhaka","Savar","Rajphulbaria","1347"
"1340","Dhaka","Dhaka","Savar","Savar","1340"
"1344","Dhaka","Dhaka","Savar","Savar Canttonment","1344"
"1343","Dhaka","Dhaka","Savar","Saver P.A.T.C","1343"
