postcode,division,district,thana,suboffice,postcode_bn
1206,ঢাকা,ঢাকা,ঢাকা সেনানিবাস,ঢাকা সেনানিবাস টিএসও,১২০৬
1350,ঢাকা,ঢাকা,ধামরাই,ধামরাই,১৩৫০
1209,ঢাকা,ঢাকা,ধানমন্ডি,জিগাতলা টিএসও,১২০৯
1213,ঢাকা,ঢাকা,গুলশান,বনানী টিএসও,১২১৩
1212,ঢাকা,ঢাকা,গুলশান,গুলশান মডেল টাউন,১২১২
1236,ঢাকা,ঢাকা,যাত্রাবাড়ী,দনিয়া,১২৩৬
1331,ঢাকা,ঢাকা,জয়পাড়া,পালামগঞ্জ,১৩৩১
1332,ঢাকা,ঢাকা,জয়পাড়া,নারিশা,১৩৩২
1312,ঢাকা,ঢাকা,কেরানীগঞ্জ,আটি,১৩১২
1311,ঢাকা,ঢাকা,কেরানীগঞ্জ,ঢাকা পাট কল,১৩১১
1313,ঢাকা,ঢাকা,কেরানীগঞ্জ,কালাটিয়া,১৩১৩
1310,ঢাকা,ঢাকা,কেরানীগঞ্জ,কেরানীগঞ্জ,১৩১০
1219,ঢাকা,ঢাকা,খিলগাঁও,খিলগাঁও টিএসও,১২১৯
1229,ঢাকা,ঢাকা,খিলক্ষেত,খিলক্ষেত টিএসও,১২২৯
1211,ঢাকা,ঢাকা,লালবাগ,পোস্তা টিএসও,১২১১
1216,ঢাকা,ঢাকা,মিরপুর,মিরপুর টিএসও,১২১৬
1207,ঢাকা,ঢাকা,মোহাম্মদপুর,মোহাম্মদপুর হাউজিং,১২০৭
1225,ঢাকা,ঢাকা,শের এ বাংলা নগর,সংসদ ভবন টিএসও,১২২৫
1222,ঢাকা,ঢাকা,মতিঝিল,বঙ্গভবন টিএসও,১২২২
1223,ঢাকা,ঢাকা,মতিঝিল,দিলকুশা টিএসও,১২২৩
1323,ঢাকা,ঢাকা,নবাবগঞ্জ,আগলা,১৩২৩
1325,ঢাকা,ঢাকা,নবাবগঞ্জ,চুরাইন,১৩২৫
1322,ঢাকা,ঢাকা,নবাবগঞ্জ,দাউদপুর,১৩২২
1321,ঢাকা,ঢাকা,নবাবগঞ্জ,হাসনাবাদ,১৩২১
1324,ঢাকা,ঢাকা,নবাবগঞ্জ,খালপাড়,১৩২৪
1320,ঢাকা,ঢাকা,নবাবগঞ্জ,নবাবগঞ্জ,১৩২০
1205,ঢাকা,ঢাকা,নিউমার্কেট,নিউমার্কেট টিএসও,১২০৫
1000,ঢাকা,ঢাকা,পল্টন,ঢাকা জিপিও,১০০০
1217,ঢাকা,ঢাকা,রমনা,শান্তিনগর টিএসও,১২১৭
1214,ঢাকা,ঢাকা,সবুজবাগ,বাসাবো টিএসও,১২১৪
1348,ঢাকা,ঢাকা,সাভার,আমিন বাজার,১৩৪৮
1341,ঢাকা,ঢাকা,সাভার,ডেইরি ফার্ম,১৩৪১
1349,ঢাকা,ঢাকা,সাভার,ইপিজেড,১৩৪৯
1342,ঢাকা,ঢাকা,সাভার,জাহাঙ্গীরনগর বিশ্ববিদ্যালয়,১৩৪২
1346,ঢাকা,ঢাকা,সাভার,কাশেম কটন মিলস,১৩৪৬
1347,ঢাকা,ঢাকা,সাভার,রাজফুলবাড়ীয়া,১৩৪৭
1340,ঢাকা,ঢাকা,সাভার,সাভার,১৩৪০
1344,ঢাকা,ঢাকা,সাভার,সাভার সেনানিবাস,১৩৪৪
1343,ঢাকা,ঢাকা,সাভার,সাভার পিএটিসি,১৩৪৩
1345,ঢাকা,ঢাকা,সাভার,শিমুলিয়া,১৩৪৫
1100,ঢাকা,ঢাকা,সূত্রাপুর,ঢাকা সদর HO,১১০০
1204,ঢাকা,ঢাকা,সূত্রাপুর,গেন্ডারিয়া টিএসও,১২০৪
1203,ঢাকা,ঢাকা,সূত্রাপুর,ওয়ারী টিএসও,১২০৩
1215,ঢাকা,ঢাকা,তেজগাঁও,তেজগাঁও টিএসও,১২১৫
1208,ঢাকা,ঢাকা,তেজগাঁও শিল্প এলাকা,ঢাকা পলিটেকনিক,১২০৮
1230,ঢাকা,ঢাকা,উত্তরা,উত্তরা মডেল টাউন টিএসও,১২৩০
7870,ঢাকা,ফরিদপুর,আলফাডাঙ্গা,আলফাডাঙ্গা,৭৮৭০
7830,ঢাকা,ফরিদপুর,ভাঙ্গা,ভাঙ্গা,৭৮৩০
7860,ঢাকা,ফরিদপুর,বোয়ালমারী,বোয়ালমারী,৭৮৬০
7861,ঢাকা,ফরিদপুর,বোয়ালমারী,রুপাতপাত,৭৮৬১
7810,ঢাকা,ফরিদপুর,চরভদ্রাসন,চরভদ্রাসন,৭৮১০
7802,ঢাকা,ফরিদপুর,ফরিদপুর সদর,অম্বিকাপুর,৭৮০২
7803,ঢাকা,ফরিদপুর,ফরিদপুর সদর,বাইতুলমান পলিটেকনিক,৭৮০৩
7800,ঢাকা,ফরিদপুর,ফরিদপুর সদর,ফরিদপুর সদর,৭৮০০
7801,ঢাকা,ফরিদপুর,ফরিদপুর সদর,কানাইপুর,৭৮০১
7851,ঢাকা,ফরিদপুর,মধুখালী,কামারখালি,৭৮৫১
7850,ঢাকা,ফরিদপুর,মধুখালী,মধুখালী,৭৮৫০
7840,ঢাকা,ফরিদপুর,নগরকান্দা,নগরকান্দা,৭৮৪০
7841,ঢাকা,ফরিদপুর,নগরকান্দা,তালমা,৭৮৪১
