postcode,bn_division,bn_district,bn_thana,bn_suboffice,bn_postcode,en_division,en_district,en_thana,en_suboffice,en_postcode
9300,খুলনা,বাগেরহাট,বাগেরহাট সদর,বাগেরহাট সদর,৯৩০০,Khulna,Bagerhat,Bagerhat Sadar,Bagerhat Sadar,9300
9301,খুলনা,বাগেরহাট,বাগেরহাট সদর,পি.সি. কলেজ,৯৩০১,Khulna,Bagerhat,Bagerhat Sadar,P.C College,9301
9302,খুলনা,বাগেরহাট,বাগেরহাট সদর,রাংদিয়া,৯৩০২,Khulna,Bagerhat,Bagerhat Sadar,Rangdia,9302
9310,খুলনা,বাগেরহাট,কচুয়া,কচুয়া,৯৩১০,Khulna,Bagerhat,Kachua,Kachua,9310
9311,খুলনা,বাগেরহাট,কচুয়া,সোনারকোলা,৯৩১১,Khulna,Bagerhat,Kachua,Sonarkola,9311
9320,খুলনা,বাগেরহাট,মোড়েলগঞ্জ,মোড়েলগঞ্জ,৯৩২০,Khulna,Bagerhat,Morelganj,Morelganj,9320
9321,খুলনা,বাগেরহাট,মোড়েলগঞ্জ,সন্ন্যাসী বাজার,৯৩২১,Khulna,Bagerhat,Morelganj,Sannasi Bazar,9321
9322,খুলনা,বাগেরহাট,মোড়েলগঞ্জ,তেলিগাতী,৯৩২২,Khulna,Bagerhat,Morelganj,Teligatee,9322
9330,খুলনা,বাগেরহাট,শরনখোলা,শরনখোলা,৯৩৩০,Khulna,Bagerhat,Rayenda,Rayenda,9330
9340,খুলনা,বাগেরহাট,রামপাল,রামপাল,৯৩৪০,Khulna,Bagerhat,Rampal,Rampal,9340
9341,খুলনা,বাগেরহাট,রামপাল,ফয়লাহাট,৯৩৪১,Khulna,Bagerhat,Rampal,Foylahat,9341
9342,খুলনা,বাগেরহাট,রামপাল,সোনাতুনিয়া,৯৩৪২,Khulna,Bagerhat,Rampal,Sonatunia,9342
9343,খুলনা,বাগেরহাট,রামপাল,গৌরম্ভা,৯৩৪৩,Khulna,Bagerhat,Rampal,Gourambha,9343
9350,খুলনা,বাগেরহাট,মংলা,মংলা,৯৩৫০,Khulna,Bagerhat,Chalna Ankorage,Chalna Ankorage,9350
9351,খুলনা,বাগেরহাট,মংলা,মংলা বন্দর,৯৩৫১,Khulna,Bagerhat,Chalna Ankorage,Mongla Port,9351
9360,খুলনা,বাগেরহাট,চিতলমারী,চিতলমারী,৯৩৬০,Khulna,Bagerhat,Chitalmari,Chitalmari,9360
9361,খুলনা,বাগেরহাট,চিতলমারী,বড়বাড়িয়া,৯৩৬১,Khulna,Bagerhat,Chitalmari,Barabaria,9361
9370,খুলনা,বাগেরহাট,ফকিরহাট,ফকিরহাট,৯৩৭০,Khulna,Bagerhat,Fakirhat,Fakirhat,9370
9371,খুলনা,বাগেরহাট,ফকিরহাট,মানসা,৯৩৭১,Khulna,Bagerhat,Fakirhat,Mansa,9371
9372,খুলনা,বাগেরহাট,ফকিরহাট,ভাঙ্গনপাড় বাজার,৯৩৭২,Khulna,Bagerhat,Fakirhat,Bhanganpar Bazar,9372
9380,খুলনা,বাগেরহাট,মোল্লাহাট,মোল্লাহাট,৯৩৮০,Khulna,Bagerhat,Mollahat,Mollahat,9380
9381,খুলনা,বাগেরহাট,মোল্লাহাট,কাহালপুর,৯৩৮১,Khulna,Bagerhat,Mollahat,Kahalpur,9381
9382,খুলনা,বাগেরহাট,মোল্লাহাট,দারিয়ালা,৯৩৮২,Khulna,Bagerhat,Mollahat,Dariala,9382
9383,খুলনা,বাগেরহাট,মোল্লাহাট,চল কুলিয়া,৯৩৮৩,Khulna,Bagerhat,Mollahat,Charkulia,9383
9384,খুলনা,বাগেরহাট,মোল্লাহাট,নগরকান্দি,৯৩৮৪,Khulna,Bagerhat,Mollahat,Nagarkandi,9384
9385,খুলনা,বাগেরহাট,মোল্লাহাট,পাক গাংনী,৯৩৮৫,Khulna,Bagerhat,Mollahat,Pak Gangni,9385
