postcode,bn_division,bn_district,bn_thana,bn_suboffice,bn_postcode,en_division,en_district,en_thana,en_suboffice,en_postcode
8300,বরিশাল,ভোলা,ভোলা সদর,ভোলা সদর,৮৩০০,Barisal,Bhola,Bhola Sadar,Bhola Sadar,8300
8301,বরিশাল,ভোলা,ভোলা সদর,জয়নগর,৮৩০১,Barisal,Bhola,Bhola Sadar,Joynagar,8301
8310,বরিশাল,ভোলা,দৌলতখান,দৌলতখান,৮৩১০,Barisal,Bhola,Doulatkhan,Doulatkhan,8310
8311,বরিশাল,ভোলা,দৌলতখান,হাজীপুর,৮৩১১,Barisal,Bhola,Doulatkhan,Hajipur,8311
8320,বরিশাল,ভোলা,বোরহানউদ্দিন Upo,বোরহানউদ্দিন Upo,৮৩২০,Barisal,Bhola,Borhanuddin UPO,Borhanuddin UPO,8320
8321,বরিশাল,ভোলা,বোরহানউদ্দিন Upo,মির্জাকালু,৮৩২১,Barisal,Bhola,Borhanuddin UPO,Mirzakalu,8321
8330,বরিশাল,ভোলা,লালমোহন Upo,লালমোহন Upo,৮৩৩০,Barisal,Bhola,Lalmohan UPO,Lalmohan UPO,8330
8331,বরিশাল,ভোলা,লালমোহন Upo,দৌড়ীহাট,৮৩৩১,Barisal,Bhola,Lalmohan UPO,Daurihat,8331
8332,বরিশাল,ভোলা,লালমোহন Upo,গজারিয়া,৮৩৩২,Barisal,Bhola,Lalmohan UPO,Gajaria,8332
8340,বরিশাল,ভোলা,চরফ্যাশন,চরফ্যাশন,৮৩৪০,Barisal,Bhola,Charfashion,Charfashion,8340
8341,বরিশাল,ভোলা,চরফ্যাশন,দুলারহাট,৮৩৪১,Barisal,Bhola,Charfashion,Dularhat,8341
8342,বরিশাল,ভোলা,চরফ্যাশন,কেরামতগঞ্জ,৮৩৪২,Barisal,Bhola,Charfashion,Keramatganj,8342
8350,বরিশাল,ভোলা,হাটশশীগঞ্জ,হাটশশীগঞ্জ,৮৩৫০,Barisal,Bhola,Hatshoshiganj,Hatshoshiganj,8350
8360,বরিশাল,ভোলা,হাজিরহাট,হাজিরহাট,৮৩৬০,Barisal,Bhola,Hajirhat,Hajirhat,8360
