postcode,bn_division,bn_district,bn_thana,bn_suboffice,bn_postcode,en_division,en_district,en_thana,en_suboffice,en_postcode
5800,রাজশাহী,বগুড়া,বগুড়া সদর,বগুড়া সদর,৫৮০০,Rajshahi,Bogura,Bogura Sadar,Bogura Sadar,5800
5801,রাজশাহী,বগুড়া,বগুড়া সদর,বগুড়া সেনানিবাস,৫৮০১,Rajshahi,Bogura,Bogura Sadar,Bogura Canttonment,5801
5810,রাজশাহী,বগুড়া,শিবগঞ্জ,শিবগঞ্জ,৫৮১০,Rajshahi,Bogura,Shibganj,Shibganj,5810
5820,রাজশাহী,বগুড়া,গাবতলী,গাবতলী,৫৮২০,Rajshahi,Bogura,Gabtoli,-,5820
5821,রাজশাহী,বগুড়া,গাবতলী,সুখানপুকুর,৫৮২১,Rajshahi,Bogura,Gabtoli,Sukhanpukur,5821
5826,রাজশাহী,বগুড়া,সোনাতলা,সোনাতলা,৫৮২৬,Rajshahi,Bogura,Sonatola,Sonatola,5826
5830,রাজশাহী,বগুড়া,সারিয়াকান্দি,সারিয়াকান্দি,৫৮৩০,Rajshahi,Bogura,Sariakandi,Sariakandi,5830
5831,রাজশাহী,বগুড়া,সারিয়াকান্দি,চন্দন বাইশা,৫৮৩১,Rajshahi,Bogura,Sariakandi,Chandan Baisha,5831
5840,রাজশাহী,বগুড়া,শেরপুর,শেরপুর,৫৮৪০,Rajshahi,Bogura,Sherpur,Sherpur,5840
5841,রাজশাহী,বগুড়া,শেরপুর,চান্দাইকোনা,৫৮৪১,Rajshahi,Bogura,Sherpur,Chandaikona,5841
5842,রাজশাহী,বগুড়া,শেরপুর,পল্লী উন্নয়ন একাডেমী,৫৮৪২,Rajshahi,Bogura,Sherpur,Palli Unnyan Accadem,5842
5850,রাজশাহী,বগুড়া,ধুনট,ধুনট,৫৮৫০,Rajshahi,Bogura,Dhunat,Dhunat,5850
5851,রাজশাহী,বগুড়া,ধুনট,গোসাইবাড়ি,৫৮৫১,Rajshahi,Bogura,Dhunat,Gosaibari,5851
5860,রাজশাহী,বগুড়া,নন্দীগ্রাম,নন্দীগ্রাম,৫৮৬০,Rajshahi,Bogura,Nandigram,Nandigram,5860
5870,রাজশাহী,বগুড়া,কাহালু,কাহালু,৫৮৭০,Rajshahi,Bogura,Kahalu,Kahalu,5870
5880,রাজশাহী,বগুড়া,দুপচাঁচিয়া,দুপচাঁচিয়া,৫৮৮০,Rajshahi,Bogura,Dupchachia,Dupchanchia,5880
5881,রাজশাহী,বগুড়া,দুপচাঁচিয়া,তালোড়া,৫৮৮১,Rajshahi,Bogura,Dupchachia,Talora,5881
5890,রাজশাহী,বগুড়া,আদমদীঘি,আদমদীঘি,৫৮৯০,Rajshahi,Bogura,Adamdighi,Adamdighi,5890
5891,রাজশাহী,বগুড়া,আদমদীঘি,সান্তাহার,৫৮৯১,Rajshahi,Bogura,Adamdighi,Santahar,5891
5892,রাজশাহী,বগুড়া,আদমদীঘি,নশরতপুর,৫৮৯২,Rajshahi,Bogura,Adamdighi,Nasharatpur,5892
