postcode,bn_division,bn_district,bn_thana,bn_suboffice,bn_postcode,en_division,en_district,en_thana,en_suboffice,en_postcode
3600,চট্টগ্রাম,চাঁদপুর,চাঁদপুর সদর,চাঁদপুর সদর,৩৬০০,Chittagong,Chandpur,Chandpur Sadar,Chandpur Sadar,3600
3601,চট্টগ্রাম,চাঁদপুর,চাঁদপুর সদর,পুরানবাজারের,৩৬০১,Chittagong,Chandpur,Chandpur Sadar,Puranbazar,3601
3602,চট্টগ্রাম,চাঁদপুর,চাঁদপুর সদর,বাবুরহাট,৩৬০২,Chittagong,Chandpur,Chandpur Sadar,Baburhat,3602
3603,চট্টগ্রাম,চাঁদপুর,চাঁদপুর সদর,সাহাতালি,৩৬০৩,Chittagong,Chandpur,Chandpur Sadar,Sahatali,3603
3610,চট্টগ্রাম,চাঁদপুর,হাজীগঞ্জ,হাজীগঞ্জ,৩৬১০,Chittagong,Chandpur,Hajiganj,Hajiganj,3610
3611,চট্টগ্রাম,চাঁদপুর,হাজীগঞ্জ,বলাখাল,৩৬১১,Chittagong,Chandpur,Hajiganj,Bolakhal,3611
3620,চট্টগ্রাম,চাঁদপুর,শাহরাস্তি,শাহরাস্তি,৩৬২০,Chittagong,Chandpur,Shahrasti,UNKILA,3620
3621,চট্টগ্রাম,চাঁদপুর,শাহরাস্তি,খিলাবাজার,৩৬২১,Chittagong,Chandpur,Shahrasti,Khilabazar,3621
3622,চট্টগ্রাম,চাঁদপুর,শাহরাস্তি,পশ্চিম খেরিহার,৩৬২২,Chittagong,Chandpur,Shahrasti,Pashchim Kherihar Al,3622
3623,চট্টগ্রাম,চাঁদপুর,শাহরাস্তি,ছোটোশি,৩৬২৩,Chittagong,Chandpur,Shahrasti,Chotoshi,3623
3624,চট্টগ্রাম,চাঁদপুর,শাহরাস্তি,ইসলামিয়া মাদ্রাসা,৩৬২৪,Chittagong,Chandpur,Shahrasti,Islamia Madrasha,3624
3630,চট্টগ্রাম,চাঁদপুর,কচুয়া,কচুয়া,৩৬৩০,Chittagong,Chandpur,Kachua,Kachua,3630
3631,চট্টগ্রাম,চাঁদপুর,কচুয়া,পাক শ্রীরামপুর,৩৬৩১,Chittagong,Chandpur,Kachua,Pak Shrirampur,3631
3632,চট্টগ্রাম,চাঁদপুর,কচুয়া,রহিমা নগর,৩৬৩২,Chittagong,Chandpur,Kachua,Rahima Nagar,3632
3633,চট্টগ্রাম,চাঁদপুর,কচুয়া,সাচার,৩৬৩৩,Chittagong,Chandpur,Kachua,Shachar,3633
3640,চট্টগ্রাম,চাঁদপুর,মতলবগঞ্জ,মতলবগঞ্জ,৩৬৪০,Chittagong,Chandpur,Matlobganj,Matlobganj,3640
3641,চট্টগ্রাম,চাঁদপুর,মতলবগঞ্জ,মোহনপুর,৩৬৪১,Chittagong,Chandpur,Matlobganj,Mohanpur,3641
3642,চট্টগ্রাম,চাঁদপুর,মতলবগঞ্জ,কালিপুর,৩৬৪২,Chittagong,Chandpur,Matlobganj,Kalipur,3642
3650,চট্টগ্রাম,চাঁদপুর,ফরিদগঞ্জ,ফরিদগঞ্জ,৩৬৫০,Chittagong,Chandpur,Faridganj,Faridganj,3650
3651,চট্টগ্রাম,চাঁদপুর,ফরিদগঞ্জ,চন্দ্র,৩৬৫১,Chittagong,Chandpur,Faridganj,Chandra,3651
3652,চট্টগ্রাম,চাঁদপুর,ফরিদগঞ্জ,রূপসা,৩৬৫২,Chittagong,Chandpur,Faridganj,Rupsha,3652
3653,চট্টগ্রাম,চাঁদপুর,ফরিদগঞ্জ,গৃদকালিন্দিয়া,৩৬৫৩,Chittagong,Chandpur,Faridganj,Gridkaliandia,3653
3654,চট্টগ্রাম,চাঁদপুর,ফরিদগঞ্জ,রামপুরবাজার,৩৬৫৪,Chittagong,Chandpur,Faridganj,Rampurbazar,3654
3655,চট্টগ্রাম,চাঁদপুর,ফরিদগঞ্জ,ইসলামপুর শাহ ইসাইন,৩৬৫৫,Chittagong,Chandpur,Faridganj,Islampur Shah Isain,3655
3660,চট্টগ্রাম,চাঁদপুর,হাইমচর,হাইমচর,৩৬৬০,Chittagong,Chandpur,Hayemchar,Hayemchar,3660
3661,চট্টগ্রাম,চাঁদপুর,হাইমচর,গান্ধামারা,৩৬৬১,Chittagong,Chandpur,Hayemchar,Gandamara,3661
