postcode,bn_division,bn_district,bn_thana,bn_suboffice,bn_postcode,en_division,en_district,en_thana,en_suboffice,en_postcode
6300,রাজশাহী,চাঁপাইনবাবগঞ্জ,চাঁপাইনবাবগঞ্জ সদর,চাঁপাইনবাবগঞ্জ সদর,৬৩০০,Rajshahi,Chapai Nawabganj,Chapai Nawabganj Sadar,Chapai Nawabganj Sadar,6300
6301,রাজশাহী,চাঁপাইনবাবগঞ্জ,চাঁপাইনবাবগঞ্জ সদর,রাজারামপুর,৬৩০১,Rajshahi,Chapai Nawabganj,Chapai Nawabganj Sadar,Rajarampur,6301
6302,রাজশাহী,চাঁপাইনবাবগঞ্জ,চাঁপাইনবাবগঞ্জ সদর,রামচন্দ্রপুর,৬৩০২,Rajshahi,Chapai Nawabganj,Chapai Nawabganj Sadar,Ramchandarpur,6302
6303,রাজশাহী,চাঁপাইনবাবগঞ্জ,চাঁপাইনবাবগঞ্জ সদর,আমনুরা,৬৩০৩,Rajshahi,Chapai Nawabganj,Chapai Nawabganj Sadar,Amnura,6303
6310,রাজশাহী,চাঁপাইনবাবগঞ্জ,নাচোল,নাচোল,৬৩১০,Rajshahi,Chapai Nawabganj,Nachol,Nachol,6310
6311,রাজশাহী,চাঁপাইনবাবগঞ্জ,নাচোল,মন্ডুমালা,৬৩১১,Rajshahi,Chapai Nawabganj,Nachol,Mandumala,6311
6320,রাজশাহী,চাঁপাইনবাবগঞ্জ,রোহনপুর,রোহনপুর,৬৩২০,Rajshahi,Chapai Nawabganj,Rohanpur,Rohanpur,6320
6321,রাজশাহী,চাঁপাইনবাবগঞ্জ,রোহনপুর,গোমস্তাপুর,৬৩২১,Rajshahi,Chapai Nawabganj,Rohanpur,Gomashtapur,6321
6330,রাজশাহী,চাঁপাইনবাবগঞ্জ,ভোলাহাট,ভোলাহাট,৬৩৩০,Rajshahi,Chapai Nawabganj,Bholahat,Bholahat,6330
6340,রাজশাহী,চাঁপাইনবাবগঞ্জ,শিবগঞ্জ U.P.O,শিবগঞ্জ U.P.O,৬৩৪০,Rajshahi,Chapai Nawabganj,Shibganj U.P.O,Shibganj U.P.O,6340
6341,রাজশাহী,চাঁপাইনবাবগঞ্জ,শিবগঞ্জ U.P.O,কনসার্ট,৬৩৪১,Rajshahi,Chapai Nawabganj,Shibganj U.P.O,Kansart,6341
6342,রাজশাহী,চাঁপাইনবাবগঞ্জ,শিবগঞ্জ U.P.O,মনাকষা,৬৩৪২,Rajshahi,Chapai Nawabganj,Shibganj U.P.O,Manaksha,6342
