postcode,bn_division,bn_district,bn_thana,bn_suboffice,bn_postcode,en_division,en_district,en_thana,en_suboffice,en_postcode
4700,চট্টগ্রাম,কক্সবাজার,কক্সবাজার সদর,কক্সবাজার সদর,৪৭০০,Chittagong,Cox's Bazar,Coxs Bazar Sadar,Coxs Bazar Sadar,4700
4701,চট্টগ্রাম,কক্সবাজার,কক্সবাজার সদর,ঝিলংজা,৪৭০১,Chittagong,Cox's Bazar,Coxs Bazar Sadar,Zhilanja,4701
4702,চট্টগ্রাম,কক্সবাজার,কক্সবাজার সদর,ঈদগাঁও,৪৭০২,Chittagong,Cox's Bazar,Coxs Bazar Sadar,Eidga,4702
4710,চট্টগ্রাম,কক্সবাজার,গোরকঘাট,গোরকঘাট,৪৭১০,Chittagong,Cox's Bazar,Gorakghat,Gorakghat,4710
4720,চট্টগ্রাম,কক্সবাজার,কুতুবদিয়া,কুতুবদিয়া,৪৭২০,Chittagong,Cox's Bazar,Kutubdia,Kutubdia,4720
4730,চট্টগ্রাম,কক্সবাজার,রামু,রামু,৪৭৩০,Chittagong,Cox's Bazar,Ramu,Ramu,4730
4740,চট্টগ্রাম,কক্সবাজার,চিরিঙ্গা,চিরিঙ্গা,৪৭৪০,Chittagong,Cox's Bazar,Chiringga,Chiringga,4740
4741,চট্টগ্রাম,কক্সবাজার,চিরিঙ্গা,চিরিঙ্গা S.O,৪৭৪১,Chittagong,Cox's Bazar,Chiringga,Chiringga S.O,4741
4742,চট্টগ্রাম,কক্সবাজার,চিরিঙ্গা,বদরখালী,৪৭৪২,Chittagong,Cox's Bazar,Chiringga,Badarkali,4742
4743,চট্টগ্রাম,কক্সবাজার,চিরিঙ্গা,মালুমঘাট,৪৭৪৩,Chittagong,Cox's Bazar,Chiringga,Malumghat,4743
4750,চট্টগ্রাম,কক্সবাজার,উখিয়া,উখিয়া,৪৭৫০,Chittagong,Cox's Bazar,Ukhia,Ukhia,4750
4760,চট্টগ্রাম,কক্সবাজার,টেকনাফ,টেকনাফ,৪৭৬০,Chittagong,Cox's Bazar,Teknaf,Teknaf,4760
4761,চট্টগ্রাম,কক্সবাজার,টেকনাফ,হ্নীলা,৪৭৬১,Chittagong,Cox's Bazar,Teknaf,Hnila,4761
4762,চট্টগ্রাম,কক্সবাজার,টেকনাফ,সেন্টমার্টিন,৪৭৬২,Chittagong,Cox's Bazar,Teknaf,St.Martin,4762
