postcode,bn_division,bn_district,bn_thana,bn_suboffice,bn_postcode,en_division,en_district,en_thana,en_suboffice,en_postcode
3500,চট্টগ্রাম,কুমিল্লা,কুমিল্লা সদর,কুমিল্লা সদর,৩৫০০,Chittagong,Cumilla,Comilla Sadar,Comilla Sadar,3500
3501,চট্টগ্রাম,কুমিল্লা,কুমিল্লা সদর,কুমিল্লা সেনানিবাস,৩৫০১,Chittagong,Cumilla,Comilla Sadar,Comilla Contoment,3501
3502,চট্টগ্রাম,কুমিল্লা,কুমিল্লা সদর,হালিমানগর,৩৫০২,Chittagong,Cumilla,Comilla Sadar,Halimanagar,3502
3503,চট্টগ্রাম,কুমিল্লা,কুমিল্লা সদর,কোটবাড়ী,৩৫০৩,Chittagong,Cumilla,Comilla Sadar,Courtbari,3503
3504,চট্টগ্রাম,কুমিল্লা,কুমিল্লা সদর,সুয়াগঞ্জ,৩৫০৪,Chittagong,Cumilla,Comilla Sadar,Suaganj,3504
3510,চট্টগ্রাম,কুমিল্লা,চান্দিনা,চান্দিনা,৩৫১০,Chittagong,Cumilla,Chandina,Mohichail,3510
3511,চট্টগ্রাম,কুমিল্লা,চান্দিনা,মাধাইয়া বাজার,৩৫১১,Chittagong,Cumilla,Chandina,Madhaiabazar,3511
3516,চট্টগ্রাম,কুমিল্লা,দাউদকান্দি,দাউদকান্দি,৩৫১৬,Chittagong,Cumilla,Daudkandi,Daudkandi,3516
3517,চট্টগ্রাম,কুমিল্লা,দাউদকান্দি,গৌরীপুর,৩৫১৭,Chittagong,Cumilla,Daudkandi,Gouripur,3517
3518,চট্টগ্রাম,কুমিল্লা,দাউদকান্দি,দাশপাড়া,৩৫১৮,Chittagong,Cumilla,Daudkandi,Dashpara,3518
3519,চট্টগ্রাম,কুমিল্লা,দাউদকান্দি,ইলিয়টগঞ্জ,৩৫১৯,Chittagong,Cumilla,Daudkandi,Eliotganj,3519
3520,চট্টগ্রাম,কুমিল্লা,বুড়িচং,বুড়িচং,৩৫২০,Chittagong,Cumilla,Burichang,Burichang,3520
3521,চট্টগ্রাম,কুমিল্লা,বুড়িচং,ময়নামতি বাজার,৩৫২১,Chittagong,Cumilla,Burichang,Maynamoti bazar,3521
3526,চট্টগ্রাম,কুমিল্লা,ব্রাহ্মণপাড়া,ব্রাহ্মণপাড়া,৩৫২৬,Chittagong,Cumilla,Brahmanpara,Brahmanpara,3526
3530,চট্টগ্রাম,কুমিল্লা,দেবিদ্বার,দেবিদ্বার,৩৫৩০,Chittagong,Cumilla,Davidhar,Davidhar,3530
3531,চট্টগ্রাম,কুমিল্লা,দেবিদ্বার,গঙ্গামন্ডল,৩৫৩১,Chittagong,Cumilla,Davidhar,Gangamandal,3531
3532,চট্টগ্রাম,কুমিল্লা,দেবিদ্বার,বড়শালঘর,৩৫৩২,Chittagong,Cumilla,Davidhar,Barashalghar,3532
3533,চট্টগ্রাম,কুমিল্লা,দেবিদ্বার,ধামতী,৩৫৩৩,Chittagong,Cumilla,Davidhar,Dhamtee,3533
3540,চট্টগ্রাম,কুমিল্লা,মুরাদনগর,মুরাদনগর,৩৫৪০,Chittagong,Cumilla,Muradnagar,Muradnagar,3540
3541,চট্টগ্রাম,কুমিল্লা,মুরাদনগর,রামচন্দ্রপুর,৩৫৪১,Chittagong,Cumilla,Muradnagar,Ramchandarpur,3541
3542,চট্টগ্রাম,কুমিল্লা,মুরাদনগর,কোম্পানীগঞ্জ,৩৫৪২,Chittagong,Cumilla,Muradnagar,Companyganj,3542
3543,চট্টগ্রাম,কুমিল্লা,মুরাদনগর,বাঙ্গরা,৩৫৪৩,Chittagong,Cumilla,Muradnagar,Bangra,3543
3544,চট্টগ্রাম,কুমিল্লা,মুরাদনগর,সোনাকান্দা,৩৫৪৪,Chittagong,Cumilla,Muradnagar,Sonakanda,3544
3545,চট্টগ্রাম,কুমিল্লা,মুরাদনগর,পান্তি বাজার,৩৫৪৫,Chittagong,Cumilla,Muradnagar,Pantibazar,3545
3546,চট্টগ্রাম,কুমিল্লা,হোমনা,হোমনা,৩৫৪৬,Chittagong,Cumilla,Homna,Homna,3546
