postcode,bn_division,bn_district,bn_thana,bn_suboffice,bn_postcode,en_division,en_district,en_thana,en_suboffice,en_postcode
1000,ঢাকা,ঢাকা,পল্টন,ঢাকা জিপিও,১০০০,Dhaka,Dhaka,Palton,Dhaka GPO,1000
1100,ঢাকা,ঢাকা,সূত্রাপুর,ঢাকা সদর HO,১১০০,Dhaka,Dhaka,Sutrapur,Dhaka Sadar HO,1100
1203,ঢাকা,ঢাকা,সূত্রাপুর,ওয়ারী টিএসও,১২০৩,Dhaka,Dhaka,Sutrapur,Wari TSO,1203
1204,ঢাকা,ঢাকা,সূত্রাপুর,গেন্ডারিয়া টিএসও,১২০৪,Dhaka,Dhaka,Sutrapur,Gandaria TSO,1204
1205,ঢাকা,ঢাকা,নিউমার্কেট,নিউমার্কেট টিএসও,১২০৫,Dhaka,Dhaka,Kalabagan (Old New market),Kalabagan,1205
1206,ঢাকা,ঢাকা,ঢাকা সেনানিবাস,ঢাকা সেনানিবাস টিএসও,১২০৬,Dhaka,Dhaka,Dhaka,Dhaka Cantonment-TSO,1206
1207,ঢাকা,ঢাকা,মোহাম্মদপুর,মোহাম্মদপুর হাউজিং,১২০৭,Dhaka,Dhaka,Mohammadpur,Mohammadpur Housing,1207
1208,ঢাকা,ঢাকা,তেজগাঁও শিল্প এলাকা,ঢাকা পলিটেকনিক,১২০৮,Dhaka,Dhaka,Tejgaon Industrial Area,Dhaka Politechnic,1208
1209,ঢাকা,ঢাকা,ধানমন্ডি,জিগাতলা টিএসও,১২০৯,Dhaka,Dhaka,Dhanmondi,Jigatala TSO,1209
1211,ঢাকা,ঢাকা,লালবাগ,পোস্তা টিএসও,১২১১,Dhaka,Dhaka,Lalbag,Posta TSO,1211
1212,ঢাকা,ঢাকা,গুলশান,গুলশান মডেল টাউন,১২১২,Dhaka,Dhaka,Gulshan,Dhania TSO,1212
1213,ঢাকা,ঢাকা,গুলশান,বনানী টিএসও,১২১৩,Dhaka,Dhaka,Gulshan,Banani TSO,1213
1214,ঢাকা,ঢাকা,সবুজবাগ,বাসাবো টিএসও,১২১৪,Dhaka,Dhaka,Sabujbag,Basabo TSO,1214
1215,ঢাকা,ঢাকা,তেজগাঁও,তেজগাঁও টিএসও,১২১৫,Dhaka,Dhaka,Tejgaon,Tejgaon TSO,1215
1216,ঢাকা,ঢাকা,মিরপুর,মিরপুর টিএসও,১২১৬,Dhaka,Dhaka,Mirpur,Mirpur TSO,1216
1217,ঢাকা,ঢাকা,রমনা,শান্তিনগর টিএসও,১২১৭,Dhaka,Dhaka,Ramna,Shantinagr TSO,1217
1219,ঢাকা,ঢাকা,খিলগাঁও,খিলগাঁও টিএসও,১২১৯,Dhaka,Dhaka,Khilgaon,KhilgaonTSO,1219
1222,ঢাকা,ঢাকা,মতিঝিল,বঙ্গভবন টিএসও,১২২২,Dhaka,Dhaka,Motijheel,BangabhabanTSO,1222
1223,ঢাকা,ঢাকা,মতিঝিল,দিলকুশা টিএসও,১২২৩,Dhaka,Dhaka,Motijheel,DilkushaTSO,1223
1225,ঢাকা,ঢাকা,শের এ বাংলা নগর,সংসদ ভবন টিএসও,১২২৫,Dhaka,Dhaka,Mohammadpur,Sangsad BhabanTSO,1225
1229,ঢাকা,ঢাকা,খিলক্ষেত,খিলক্ষেত টিএসও,১২২৯,Dhaka,Dhaka,Khilkhet,KhilkhetTSO,1229
1230,ঢাকা,ঢাকা,উত্তরা,উত্তরা মডেল টাউন টিএসও,১২৩০,Dhaka,Dhaka,Uttara,Uttara Model Town TSO,1230
