postcode,bn_division,bn_district,bn_thana,bn_suboffice,bn_postcode,en_division,en_district,en_thana,en_suboffice,en_postcode
5200,রংপুর,দিনাজপুর,দিনাজপুর সদর,দিনাজপুর সদর,৫২০০,Rangpur,Dinajpur,Dinajpur Sadar,Dinajpur Sadar,5200
5201,রংপুর,দিনাজপুর,দিনাজপুর সদর,দিনাজপুর রাজবাড়ী,৫২০১,Rangpur,Dinajpur,Dinajpur Sadar,Dinajpur Rajbari,5201
5210,রংপুর,দিনাজপুর,বিরল,বিরল,৫২১০,Rangpur,Dinajpur,Biral,Biral,5210
5216,রংপুর,দিনাজপুর,সেতাবগঞ্জ,সেতাবগঞ্জ,৫২১৬,Rangpur,Dinajpur,Setabganj,Setabganj,5216
5220,রংপুর,দিনাজপুর,বীরগঞ্জ,বীরগঞ্জ,৫২২০,Rangpur,Dinajpur,Birganj,Birganj,5220
5226,রংপুর,দিনাজপুর,মহারাজগঞ্জ,মহারাজগঞ্জ,৫২২৬,Rangpur,Dinajpur,Maharajganj,Maharajganj,5226
5230,রংপুর,দিনাজপুর,খানসামা,খানসামা,৫২৩০,Rangpur,Dinajpur,Khansama,Khansama,5230
5231,রংপুর,দিনাজপুর,খানসামা,পাকেরহাট,৫২৩১,Rangpur,Dinajpur,Khansama,Pakarhat,5231
5240,রংপুর,দিনাজপুর,চিরিরবন্দর,চিরিরবন্দর,৫২৪০,Rangpur,Dinajpur,Chirirbandar,Chirirbandar,5240
5241,রংপুর,দিনাজপুর,চিরিরবন্দর,রাণীরবন্দর,৫২৪১,Rangpur,Dinajpur,Chirirbandar,Ranirbandar,5241
5250,রংপুর,দিনাজপুর,পার্বতীপুর,পার্বতীপুর,৫২৫০,Rangpur,Dinajpur,Parbatipur,Parbatipur,5250
5260,রংপুর,দিনাজপুর,ফুলবাড়ী,ফুলবাড়ী,৫২৬০,Rangpur,Dinajpur,Phulbari,Phulbari,5260
5266,রংপুর,দিনাজপুর,বিরামপুর,বিরামপুর,৫২৬৬,Rangpur,Dinajpur,Mohakhali,Birampur,5266
5270,রংপুর,দিনাজপুর,বাংলা হিলি,বাংলা হিলি,৫২৭০,Rangpur,Dinajpur,Bangla Hili,Bangla Hili,5270
5280,রংপুর,দিনাজপুর,নবাবগঞ্জ,নবাবগঞ্জ,৫২৮০,Rangpur,Dinajpur,Nawabganj,Nawabganj,5280
5281,রংপুর,দিনাজপুর,নবাবগঞ্জ,দাউদপুর,৫২৮১,Rangpur,Dinajpur,Nawabganj,Daudpur,5281
5282,রংপুর,দিনাজপুর,নবাবগঞ্জ,গোপালপুর,৫২৮২,Rangpur,Dinajpur,Nawabganj,Gopalpur,5282
5290,রংপুর,দিনাজপুর,ওসমানপুর,ওসমানপুর,৫২৯০,Rangpur,Dinajpur,Ghoraghat,Osmanpur,5290
5291,রংপুর,দিনাজপুর,ওসমানপুর,ঘোড়াঘাট,৫২৯১,Rangpur,Dinajpur,Ghoraghat,Ghoraghat,5291
