postcode,bn_division,bn_district,bn_thana,bn_suboffice,bn_postcode,en_division,en_district,en_thana,en_suboffice,en_postcode
7800,ঢাকা,ফরিদপুর,ফরিদপুর সদর,ফরিদপুর সদর,৭৮০০,Dhaka,Faridpur,Faridpur Sadar,Faridpursadar,7800
7801,ঢাকা,ফরিদপুর,ফরিদপুর সদর,কানাইপুর,৭৮০১,Dhaka,Faridpur,Faridpur Sadar,Kanaipur,7801
7802,ঢাকা,ফরিদপুর,ফরিদপুর সদর,অম্বিকাপুর,৭৮০২,Dhaka,Faridpur,Faridpur Sadar,Ambikapur,7802
7803,ঢাকা,ফরিদপুর,ফরিদপুর সদর,বাইতুলমান পলিটেকনিক,৭৮০৩,Dhaka,Faridpur,Faridpur Sadar,Baitulaman Politecni,7803
7804,ঢাকা,ফরিদপুর,ফরিদপুর সদর,শ্রী-অঙ্গন,৭৮০৪,Dhaka,Faridpur,Faridpur Sadar,Sri Angan,7804
7810,ঢাকা,ফরিদপুর,চরভদ্রাসন,চরভদ্রাসন,৭৮১০,Dhaka,Faridpur,Charbhadrasan,Charbadrashan,7810
7820,ঢাকা,ফরিদপুর,সদরপুর,সদরপুর,৭৮২০,Dhaka,Faridpur,Sadarpur,Sadarpur,7820
7821,ঢাকা,ফরিদপুর,সদরপুর,হাট ক্রিশাপুর,৭৮২১,Dhaka,Faridpur,Sadarpur,Hat Krishapur,7821
7822,ঢাকা,ফরিদপুর,সদরপুর,বিশ্বরোড জাকের মঞ্জিল,৭৮২২,Dhaka,Faridpur,Sadarpur,Bishwa jaker Manjil,7822
7830,ঢাকা,ফরিদপুর,ভাঙ্গা,ভাঙ্গা,৭৮৩০,Dhaka,Faridpur,Bhanga,Bhanga,7830
7840,ঢাকা,ফরিদপুর,নগরকান্দা,নগরকান্দা,৭৮৪০,Dhaka,Faridpur,Nagarkanda,Nagarkanda,7840
7841,ঢাকা,ফরিদপুর,নগরকান্দা,তালমা,৭৮৪১,Dhaka,Faridpur,Nagarkanda,Talma,7841
7850,ঢাকা,ফরিদপুর,মধুখালী,মধুখালী,৭৮৫০,Dhaka,Faridpur,Madukhali,Madukhali,7850
7851,ঢাকা,ফরিদপুর,মধুখালী,কামারখালি,৭৮৫১,Dhaka,Faridpur,Madukhali,Kamarkali,7851
7860,ঢাকা,ফরিদপুর,বোয়ালমারী,বোয়ালমারী,৭৮৬০,Dhaka,Faridpur,Boalmari,Boalmari,7860
7861,ঢাকা,ফরিদপুর,বোয়ালমারী,রুপাতপাত,৭৮৬১,Dhaka,Faridpur,Boalmari,Rupatpat,7861
7870,ঢাকা,ফরিদপুর,আলফাডাঙ্গা,আলফাডাঙ্গা,৭৮৭০,Dhaka,Faridpur,Alfadanga,Alfadanga,7870
