postcode,bn_division,bn_district,bn_thana,bn_suboffice,bn_postcode,en_division,en_district,en_thana,en_suboffice,en_postcode
3900,চট্টগ্রাম,ফেনী,ফেনী সদর,ফেনী সদর,৩৯০০,Chittagong,Feni,Feni Sadar,Feni Sadar,3900
3901,চট্টগ্রাম,ফেনী,ফেনী সদর,ফাজিলপুর,৩৯০১,Chittagong,Feni,Feni Sadar,Fazilpur,3901
3902,চট্টগ্রাম,ফেনী,ফেনী সদর,শর্শদি,৩৯০২,Chittagong,Feni,Feni Sadar,Sharshadie,3902
3903,চট্টগ্রাম,ফেনী,ফেনী সদর,লস্করহাট,৩৯০৩,Chittagong,Feni,Feni Sadar,Laskarhat,3903
3910,চট্টগ্রাম,ফেনী,ছাগলনাইয়া,ছাগলনাইয়া,৩৯১০,Chittagong,Feni,Chhagalnaia,Chhagalnaia,3910
3911,চট্টগ্রাম,ফেনী,ছাগলনাইয়া,মহারাজগঞ্জ,৩৯১১,Chittagong,Feni,Chhagalnaia,Maharajganj,3911
3912,চট্টগ্রাম,ফেনী,ছাগলনাইয়া,দারোগাহাট,৩৯১২,Chittagong,Feni,Chhagalnaia,Daraga Hat,3912
3913,চট্টগ্রাম,ফেনী,ছাগলনাইয়া,পূর্ব শিমুলিয়া,৩৯১৩,Chittagong,Feni,Chhagalnaia,Puabashimulia,3913
3920,চট্টগ্রাম,ফেনী,দাগনভূঞা,দাগনভূঞা,৩৯২০,Chittagong,Feni,Dagonbhuia,Dagondhuia,3920
3921,চট্টগ্রাম,ফেনী,দাগনভূঞা,দুধমুখা,৩৯২১,Chittagong,Feni,Dagonbhuia,Dudmukha,3921
3922,চট্টগ্রাম,ফেনী,দাগনভূঞা,ছিলোনিয়া,৩৯২২,Chittagong,Feni,Dagonbhuia,Silonia,3922
3923,চট্টগ্রাম,ফেনী,দাগনভূঞা,রাজাপুর,৩৯২৩,Chittagong,Feni,Dagonbhuia,Rajapur,3923
3930,চট্টগ্রাম,ফেনী,সোনাগাজী,সোনাগাজী,৩৯৩০,Chittagong,Feni,Sonagazi,Sonagazi,3930
3931,চট্টগ্রাম,ফেনী,সোনাগাজী,মতিগঞ্জ,৩৯৩১,Chittagong,Feni,Sonagazi,Motiganj,3931
3932,চট্টগ্রাম,ফেনী,সোনাগাজী,আহমদপুর,৩৯৩২,Chittagong,Feni,Sonagazi,Ahmadpur,3932
3933,চট্টগ্রাম,ফেনী,সোনাগাজী,কাজিরহাট,৩৯৩৩,Chittagong,Feni,Sonagazi,Kazirhat,3933
3940,চট্টগ্রাম,ফেনী,পশুরামপুর,পশুরামপুর,৩৯৪০,Chittagong,Feni,Pashurampur,Pashurampur,3940
3941,চট্টগ্রাম,ফেনী,পশুরামপুর,শুড়বাজার,৩৯৪১,Chittagong,Feni,Pashurampur,Shuarbazar,3941
3942,চট্টগ্রাম,ফেনী,পশুরামপুর,ফুলগাজী,৩৯৪২,Chittagong,Feni,Pashurampur,Fulgazi,3942
3943,চট্টগ্রাম,ফেনী,পশুরামপুর,মুন্সিরহাট,৩৯৪৩,Chittagong,Feni,Pashurampur,Munshirhat,3943
