postcode,bn_division,bn_district,bn_thana,bn_suboffice,bn_postcode,en_division,en_district,en_thana,en_suboffice,en_postcode
5700,রংপুর,গাইবান্ধা,গাইবান্ধা সদর,গাইবান্ধা সদর,৫৭০০,Rangpur,Gaibandha,Gaibandha Sadar,Gaibandha Sadar,5700
5710,রংপুর,গাইবান্ধা,সাদুল্লাপুর,সাদুল্লাপুর,৫৭১০,Rangpur,Gaibandha,Saadullapur,Saadullapur,5710
5711,রংপুর,গাইবান্ধা,সাদুল্লাপুর,নলডাঙ্গা,৫৭১১,Rangpur,Gaibandha,Saadullapur,Naldanga,5711
5720,রংপুর,গাইবান্ধা,সুন্দরগঞ্জ,সুন্দরগঞ্জ,৫৭২০,Rangpur,Gaibandha,Sundarganj,Sundarganj,5720
5721,রংপুর,গাইবান্ধা,সুন্দরগঞ্জ,বামনডাঙ্গা,৫৭২১,Rangpur,Gaibandha,Sundarganj,Bamandanga,5721
5730,রংপুর,গাইবান্ধা,পলাশবাড়ী,পলাশবাড়ী,৫৭৩০,Rangpur,Gaibandha,Palashbari,Palashbari,5730
5740,রংপুর,গাইবান্ধা,গোবিন্দগঞ্জ,গোবিন্দগঞ্জ,৫৭৪০,Rangpur,Gaibandha,Gobindaganj,Gabindaganj,5740
5741,রংপুর,গাইবান্ধা,গোবিন্দগঞ্জ,মহিমাগঞ্জ,৫৭৪১,Rangpur,Gaibandha,Gobindaganj,Mahimaganj,5741
5750,রংপুর,গাইবান্ধা,বোনারপাড়া,বোনারপাড়া,৫৭৫০,Rangpur,Gaibandha,Bonarpara,Bonarpara,5750
5751,রংপুর,গাইবান্ধা,বোনারপাড়া,সাঘাটা,৫৭৫১,Rangpur,Gaibandha,Bonarpara,saghata,5751
5760,রংপুর,গাইবান্ধা,ফুলছড়ি,ফুলছড়ি,৫৭৬০,Rangpur,Gaibandha,Phulchhari,Phulchhari,5760
5761,রংপুর,গাইবান্ধা,ফুলছড়ি,ভরতখালী,৫৭৬১,Rangpur,Gaibandha,Phulchhari,Bharatkhali,5761
