postcode,bn_division,bn_district,bn_thana,bn_suboffice,bn_postcode,en_division,en_district,en_thana,en_suboffice,en_postcode
1700,ঢাকা,গাজীপুর,গাজীপুর সদর,গাজীপুর সদর,১৭০০,Dhaka,Gazipur,Gazipur Sadar,Gazipur Sadar,1700
1701,ঢাকা,গাজীপুর,গাজীপুর সদর,B.R.R,১৭০১,Dhaka,Gazipur,Gazipur Sadar,B.R.R,1701
1702,ঢাকা,গাজীপুর,গাজীপুর সদর,চান্দনা,১৭০২,Dhaka,Gazipur,Gazipur Sadar,Chandna,1702
1703,ঢাকা,গাজীপুর,গাজীপুর সদর,B.O.F,১৭০৩,Dhaka,Gazipur,Gazipur Sadar,B.O.F,1703
1704,ঢাকা,গাজীপুর,গাজীপুর সদর,জাতীয় বিশ্ববিদ্যালয়,১৭০৪,Dhaka,Gazipur,Gazipur Sadar,National University,1704
1710,ঢাকা,গাজীপুর,মন্নুনগর,মন্নুনগর,১৭১০,Dhaka,Gazipur,Monnunagar,Monnunagar,1710
1711,ঢাকা,গাজীপুর,মন্নুনগর,নিশাত নগর,১৭১১,Dhaka,Gazipur,Monnunagar,Nishat Nagar,1711
1712,ঢাকা,গাজীপুর,মন্নুনগর,এরশাদ নগর,১৭১২,Dhaka,Gazipur,Monnunagar,Ershad Nagar,1712
1720,ঢাকা,গাজীপুর,কালীগঞ্জ,কালীগঞ্জ,১৭২০,Dhaka,Gazipur,Kaliganj,Kaliganj,1720
1721,ঢাকা,গাজীপুর,কালীগঞ্জ,পুবাইল,১৭২১,Dhaka,Gazipur,Kaliganj,Pubail,1721
1722,ঢাকা,গাজীপুর,কালীগঞ্জ,সান্তানপাড়া,১৭২২,Dhaka,Gazipur,Kaliganj,Santanpara,1722
1723,ঢাকা,গাজীপুর,কালীগঞ্জ,ভাওয়াল জামালপুর,১৭২৩,Dhaka,Gazipur,Kaliganj,Vaoal Jamalpur,1723
1730,ঢাকা,গাজীপুর,কাপাসিয়া,কাপাসিয়া,১৭৩০,Dhaka,Gazipur,Kapashia,kapashia,1730
1740,ঢাকা,গাজীপুর,শ্রীপুর,শ্রীপুর,১৭৪০,Dhaka,Gazipur,Sreepur,Tengra,1740
1741,ঢাকা,গাজীপুর,শ্রীপুর,রাজেন্দ্রপুর,১৭৪১,Dhaka,Gazipur,Sreepur,Rajendrapur,1741
1742,ঢাকা,গাজীপুর,শ্রীপুর,রাজেন্দ্রপুর সেনানিবাস,১৭৪২,Dhaka,Gazipur,Sreepur,Rajendrapur Cantonment,1742
1743,ঢাকা,গাজীপুর,শ্রীপুর,বারমি,১৭৪৩,Dhaka,Gazipur,Sreepur,Barmi,1743
1744,ঢাকা,গাজীপুর,শ্রীপুর,সাতখামার,১৭৪৪,Dhaka,Gazipur,Sreepur,Satkhamair,1744
1745,ঢাকা,গাজীপুর,শ্রীপুর,কাওরাইদ,১৭৪৫,Dhaka,Gazipur,Sreepur,Kawraid,1745
1747,ঢাকা,গাজীপুর,শ্রীপুর,বাশামুর,১৭৪৭,Dhaka,Gazipur,Sreepur,Bashamur,1747
1748,ঢাকা,গাজীপুর,শ্রীপুর,বউবি,১৭৪৮,Dhaka,Gazipur,Sreepur,Boubi,1748
1750,ঢাকা,গাজীপুর,কালিয়াকৈর,কালিয়াকৈর,১৭৫০,Dhaka,Gazipur,Kaliakaar,Kaliakaar,1750
1751,ঢাকা,গাজীপুর,কালিয়াকৈর,সফিপুর,১৭৫১,Dhaka,Gazipur,Kaliakaar,Safipur,1751
