postcode,bn_division,bn_district,bn_thana,bn_suboffice,bn_postcode,en_division,en_district,en_thana,en_suboffice,en_postcode
8013,ঢাকা,গোপালগঞ্জ,গোপালগঞ্জ সদর,চন্দ্রাদিঘীনালা,৮০১৩,Dhaka,Gopalganj,Gopalganj Sadar,Chandradighalia,8013
8100,ঢাকা,গোপালগঞ্জ,গোপালগঞ্জ সদর,বলাকইড়,৮১০০,Dhaka,Gopalganj,Gopalganj Sadar,Gopalganj Sadar,8100
8101,ঢাকা,গোপালগঞ্জ,গোপালগঞ্জ সদর,উলপুর,৮১০১,Dhaka,Gopalganj,Gopalganj Sadar,Ulpur,8101
8102,ঢাকা,গোপালগঞ্জ,গোপালগঞ্জ সদর,বারফা,৮১০২,Dhaka,Gopalganj,Gopalganj Sadar,Barfa,8102
8110,ঢাকা,গোপালগঞ্জ,কোটালীপাড়া,কোটালীপাড়া,৮১১০,Dhaka,Gopalganj,Kotalipara,Kotalipara,8110
8120,ঢাকা,গোপালগঞ্জ,টুঙ্গিপাড়া,টুঙ্গিপাড়া,৮১২০,Dhaka,Gopalganj,Tungipara,Tungipara,8120
8121,ঢাকা,গোপালগঞ্জ,টুঙ্গিপাড়া,পাটগাটি,৮১২১,Dhaka,Gopalganj,Tungipara,Patgati,8121
8130,ঢাকা,গোপালগঞ্জ,কাশিয়ানী,কাশিয়ানী,৮১৩০,Dhaka,Gopalganj,Kashiani,Kashiani,8130
8131,ঢাকা,গোপালগঞ্জ,কাশিয়ানী,রামদিয়া কলেজ,৮১৩১,Dhaka,Gopalganj,Kashiani,Ramdia College,8131
8132,ঢাকা,গোপালগঞ্জ,কাশিয়ানী,রাতইল,৮১৩২,Dhaka,Gopalganj,Kashiani,Ratoil,8132
8133,ঢাকা,গোপালগঞ্জ,কাশিয়ানী,জনাপুর,৮১৩৩,Dhaka,Gopalganj,Kashiani,Jonapur,8133
8140,ঢাকা,গোপালগঞ্জ,মাকসুদপুর,মাকসুদপুর,৮১৪০,Dhaka,Gopalganj,Maksudpur,Muksudpur,8140
8141,ঢাকা,গোপালগঞ্জ,মাকসুদপুর,বাটিকামারী,৮১৪১,Dhaka,Gopalganj,Maksudpur,Batkiamari,8141
8142,ঢাকা,গোপালগঞ্জ,মাকসুদপুর,খানদারপাড়া,৮১৪২,Dhaka,Gopalganj,Maksudpur,Khandarpara,8142
