postcode,bn_division,bn_district,bn_thana,bn_suboffice,bn_postcode,en_division,en_district,en_thana,en_suboffice,en_postcode
3300,সিলেট,হবিগঞ্জ,হবিগঞ্জ সদর,হবিগঞ্জ সদর,৩৩০০,Sylhet,Habiganj,Habiganj Sadar,Habiganj Sadar,3300
3301,সিলেট,হবিগঞ্জ,হবিগঞ্জ সদর,শায়েস্তাগঞ্জ,৩৩০১,Sylhet,Habiganj,Habiganj Sadar,Shaestaganj,3301
3302,সিলেট,হবিগঞ্জ,হবিগঞ্জ সদর,গোপায়া,৩৩০২,Sylhet,Habiganj,Habiganj Sadar,Gopaya,3302
3310,সিলেট,হবিগঞ্জ,বাহুবল,মানিকা বাজার,৩৩১০,Sylhet,Habiganj,Bahubal,Bahubal,3310
3320,সিলেট,হবিগঞ্জ,চুনারুঘাট,চুনারুঘাট,৩৩২০,Sylhet,Habiganj,Chunarughat,Chunarughat,3320
3321,সিলেট,হবিগঞ্জ,চুনারুঘাট,চাঁদপুরবাগান,৩৩২১,Sylhet,Habiganj,Chunarughat,Chandpurbagan,3321
3322,সিলেট,হবিগঞ্জ,চুনারুঘাট,নরপাটি,৩৩২২,Sylhet,Habiganj,Chunarughat,Narapati,3322
3330,সিলেট,হবিগঞ্জ,মাধবপুর,মাধবপুর,৩৩৩০,Sylhet,Habiganj,Madhabpur,Madhabpur,3330
3331,সিলেট,হবিগঞ্জ,মাধবপুর,ইটাখোলা,৩৩৩১,Sylhet,Habiganj,Madhabpur,Itakhola,3331
3332,সিলেট,হবিগঞ্জ,মাধবপুর,শাহজিবাজার,৩৩৩২,Sylhet,Habiganj,Madhabpur,Shahajibazar,3332
3333,সিলেট,হবিগঞ্জ,মাধবপুর,সাইহাম নগর,৩৩৩৩,Sylhet,Habiganj,Madhabpur,Saihamnagar,3333
3340,সিলেট,হবিগঞ্জ,কালাউক,কালাউক,৩৩৪০,Sylhet,Habiganj,Kalauk,Kalauk,3340
3341,সিলেট,হবিগঞ্জ,কালাউক,লাখাই,৩৩৪১,Sylhet,Habiganj,Kalauk,Lakhai,3341
3350,সিলেট,হবিগঞ্জ,বানিয়াচং,বানিয়াচং,৩৩৫০,Sylhet,Habiganj,Baniachang,Baniachang,3350
3351,সিলেট,হবিগঞ্জ,বানিয়াচং,যাত্রাপাশা,৩৩৫১,Sylhet,Habiganj,Baniachang,Jatrapasha,3351
3352,সিলেট,হবিগঞ্জ,বানিয়াচং,কাদিরগঞ্জ,৩৩৫২,Sylhet,Habiganj,Baniachang,Kadirganj,3352
3360,সিলেট,হবিগঞ্জ,আজমিরীগঞ্জ,আজমিরীগঞ্জ,৩৩৬০,Sylhet,Habiganj,Azmireeganj,Azmireeganj,3360
3370,সিলেট,হবিগঞ্জ,নবীগঞ্জ,নবীগঞ্জ,৩৩৭০,Sylhet,Habiganj,Nabiganj,Nabiganj,3370
3371,সিলেট,হবিগঞ্জ,নবীগঞ্জ,গোপলারবাজার,৩৩৭১,Sylhet,Habiganj,Nabiganj,Goplarbazar,3371
3372,সিলেট,হবিগঞ্জ,নবীগঞ্জ,গোলডুবা,৩৩৭২,Sylhet,Habiganj,Nabiganj,Golduba,3372
3373,সিলেট,হবিগঞ্জ,নবীগঞ্জ,দিগলবাক,৩৩৭৩,Sylhet,Habiganj,Nabiganj,Digalbak,3373
3374,সিলেট,হবিগঞ্জ,নবীগঞ্জ,ইনাতগঞ্জ,৩৩৭৪,Sylhet,Habiganj,Nabiganj,Inathganj,3374
