postcode,bn_division,bn_district,bn_thana,bn_suboffice,bn_postcode,en_division,en_district,en_thana,en_suboffice,en_postcode
2000,ময়মনসিংহ,জামালপুর,জামালপুর,জামালপুর,২০০০,Mymensingh,Jamalpur,Jamalpur,Jalalpur,2000
2001,ময়মনসিংহ,জামালপুর,জামালপুর,নানদিনা,২০০১,Mymensingh,Jamalpur,Jamalpur,Nandina,2001
2002,ময়মনসিংহ,জামালপুর,জামালপুর,নুরুন্দী,২০০২,Mymensingh,Jamalpur,Jamalpur,Narundi,2002
2010,ময়মনসিংহ,জামালপুর,মেলান্দহ,মেলান্দহ,২০১০,Mymensingh,Jamalpur,Melandah,Melandah,2010
2011,ময়মনসিংহ,জামালপুর,মেলান্দহ,জামালপুর,২০১১,Mymensingh,Jamalpur,Melandah,Jalalpur,2011
2012,ময়মনসিংহ,জামালপুর,মেলান্দহ,মালঞ্চ,২০১২,Mymensingh,Jamalpur,Melandah,Malancha,2012
2013,ময়মনসিংহ,জামালপুর,মেলান্দহ,মাহমুদপুর,২০১৩,Mymensingh,Jamalpur,Melandah,Mahmudpur,2013
2020,ময়মনসিংহ,জামালপুর,ইসলামপুর,ইসলামপুর,২০২০,Mymensingh,Jamalpur,Islampur,Islampur,2020
2021,ময়মনসিংহ,জামালপুর,ইসলামপুর,ডুরমোট,২০২১,Mymensingh,Jamalpur,Islampur,Durmoot,2021
2022,ময়মনসিংহ,জামালপুর,ইসলামপুর,গিলাবাড়ি,২০২২,Mymensingh,Jamalpur,Islampur,Gilabari,2022
2030,ময়মনসিংহ,জামালপুর,দেওয়ানগঞ্জ,দেওয়ানগঞ্জ,২০৩০,Mymensingh,Jamalpur,Dewangonj,Dewangonj S. Mills,2030
2031,ময়মনসিংহ,জামালপুর,দেওয়ানগঞ্জ,দেওয়ানগঞ্জ এস মিলস,২০৩১,Mymensingh,Jamalpur,Dewangonj,Dewangonj S. Mills,2031
2040,ময়মনসিংহ,জামালপুর,মাদারগঞ্জ,মাদারগঞ্জ,২০৪০,Mymensingh,Jamalpur,Madarganj,Madarganj,2040
2041,ময়মনসিংহ,জামালপুর,মাদারগঞ্জ,বালিঝুড়ি,২০৪১,Mymensingh,Jamalpur,Madarganj,Balijhuri,2041
2050,ময়মনসিংহ,জামালপুর,সরিষাবাড়ি,সরিষাবাড়ি,২০৫০,Mymensingh,Jamalpur,Sharishabari,Sharishabari,2050
2051,ময়মনসিংহ,জামালপুর,সরিষাবাড়ি,গুনেরবাড়ি,২০৫১,Mymensingh,Jamalpur,Sharishabari,Adarvita,2051
2052,ময়মনসিংহ,জামালপুর,সরিষাবাড়ি,বাউসী,২০৫২,Mymensingh,Jamalpur,Sharishabari,Bausee,2052
2053,ময়মনসিংহ,জামালপুর,সরিষাবাড়ি,জগন্নাথ ঘাট,২০৫৩,Mymensingh,Jamalpur,Sharishabari,Jagannath Ghat,2053
2054,ময়মনসিংহ,জামালপুর,সরিষাবাড়ি,পিংনা,২০৫৪,Mymensingh,Jamalpur,Sharishabari,Pingna,2054
2055,ময়মনসিংহ,জামালপুর,সরিষাবাড়ি,যমুনা সার কারখানা,২০৫৫,Mymensingh,Jamalpur,Sharishabari,Jamuna Sar Karkhana,2055
