postcode,bn_division,bn_district,bn_thana,bn_suboffice,bn_postcode,en_division,en_district,en_thana,en_suboffice,en_postcode
7400,খুলনা,যশোর,যশোর সদর,যশোর সদর,৭৪০০,Khulna,Jashore,Jashore Sadar,Jashore Sadar,7400
7401,খুলনা,যশোর,যশোর সদর,যশোর উপশহর,৭৪০১,Khulna,Jashore,Jashore Sadar,Jashore Upa-Shahar,7401
7402,খুলনা,যশোর,যশোর সদর,চাঁচড়া,৭৪০২,Khulna,Jashore,Jashore Sadar,Chanchra,7402
7403,খুলনা,যশোর,যশোর সদর,যশোর ক্যান্টনমেন্ট,৭৪০৩,Khulna,Jashore,Jashore Sadar,Jashore canttonment,7403
7404,খুলনা,যশোর,যশোর সদর,যশোর এয়ারবেজ,৭৪০৪,Khulna,Jashore,Jashore Sadar,Jashore Airbach,7404
7405,খুলনা,যশোর,যশোর সদর,রূপদিয়া,৭৪০৫,Khulna,Jashore,Jashore Sadar,Rupdia,7405
7406,খুলনা,যশোর,যশোর সদর,বসুন্দিয়া,৭৪০৬,Khulna,Jashore,Jashore Sadar,Basundia,7406
7407,খুলনা,যশোর,যশোর সদর,চূড়ামনকাঠি,৭৪০৭,Khulna,Jashore,Jashore Sadar,Churamankathi,7407
7410,খুলনা,যশোর,চৌগাছা,চৌগাছা,৭৪১০,Khulna,Jashore,Chaugachha,Chougachha,7410
7420,খুলনা,যশোর,ঝিকরগাছা,ঝিকরগাছা,৭৪২০,Khulna,Jashore,Jhikargachha,Jhikargachha,7420
7430,খুলনা,যশোর,শার্শা,শার্শা,৭৪৩০,Khulna,Jashore,Sarsa,Sarsa,7430
7431,খুলনা,যশোর,শার্শা,বেনাপোল,৭৪৩১,Khulna,Jashore,Sarsa,Benapole,7431
7432,খুলনা,যশোর,শার্শা,যাদবপুর,৭৪৩২,Khulna,Jashore,Sarsa,Jadabpur,7432
7433,খুলনা,যশোর,শার্শা,বাগআঁচড়া,৭৪৩৩,Khulna,Jashore,Sarsa,Bag Achra,7433
7440,খুলনা,যশোর,মনিরামপুর,মনিরামপুর,৭৪৪০,Khulna,Jashore,Monirampur,Monirampur,7440
7450,খুলনা,যশোর,কেশবপুর,কেশবপুর,৭৪৫০,Khulna,Jashore,Keshabpur,Keshobpur,7450
7460,খুলনা,যশোর,অভয়নগর,অভয়নগর,৭৪৬০,Khulna,Jashore,Noapara,Noapara,7460
7461,খুলনা,যশোর,অভয়নগর,রাজঘাট,৭৪৬১,Khulna,Jashore,Noapara,Rajghat,7461
7462,খুলনা,যশোর,অভয়নগর,ভুগিলহাট,৭৪৬২,Khulna,Jashore,Noapara,Bhugilhat,7462
7470,খুলনা,যশোর,বাঘারপাড়া,বাঘারপাড়া,৭৪৭০,Khulna,Jashore,Bagharpara,Bagharpara,7470
7471,খুলনা,যশোর,বাঘারপাড়া,গৌরনগর,৭৪৭১,Khulna,Jashore,Bagharpara,Gouranagar,7471
