postcode,bn_division,bn_district,bn_thana,bn_suboffice,bn_postcode,en_division,en_district,en_thana,en_suboffice,en_postcode
8400,বরিশাল,ঝালকাঠি,ঝালকাঠি সদর,ঝালকাঠি সদর,৮৪০০,Barisal,Jhalokati,Jhalokati Sadar,Jhalokati Sadar,8400
8401,বরিশাল,ঝালকাঠি,ঝালকাঠি সদর,নবগ্রাম,৮৪০১,Barisal,Jhalokati,Jhalokati Sadar,Nabagram,8401
8402,বরিশাল,ঝালকাঠি,ঝালকাঠি সদর,বাউকাঠি,৮৪০২,Barisal,Jhalokati,Jhalokati Sadar,Baukathi,8402
8403,বরিশাল,ঝালকাঠি,ঝালকাঠি সদর,গাভা,৮৪০৩,Barisal,Jhalokati,Jhalokati Sadar,Gabha,8403
8404,বরিশাল,ঝালকাঠি,ঝালকাঠি সদর,শেখেরহাট,৮৪০৪,Barisal,Jhalokati,Jhalokati Sadar,Shekherhat,8404
8410,বরিশাল,ঝালকাঠি,রাজাপুর,রাজাপুর,৮৪১০,Barisal,Jhalokati,Rajapur,Rajapur,8410
8420,বরিশাল,ঝালকাঠি,নলছিটি,নলছিটি,৮৪২০,Barisal,Jhalokati,Nalchhiti,Nalchhiti,8420
8421,বরিশাল,ঝালকাঠি,নলছিটি,বীরকাঠি,৮৪২১,Barisal,Jhalokati,Nalchhiti,Beerkathi,8421
8430,বরিশাল,ঝালকাঠি,কাঁঠালিয়া,কাঁঠালিয়া,৮৪৩০,Barisal,Jhalokati,Kathalia,Kathalia,8430
8431,বরিশাল,ঝালকাঠি,কাঁঠালিয়া,আমুয়া,৮৪৩১,Barisal,Jhalokati,Kathalia,Amua,8431
8432,বরিশাল,ঝালকাঠি,কাঁঠালিয়া,নিয়ামাতেই,৮৪৩২,Barisal,Jhalokati,Kathalia,Niamatee,8432
8433,বরিশাল,ঝালকাঠি,কাঁঠালিয়া,শৌলজালিয়া,৮৪৩৩,Barisal,Jhalokati,Kathalia,Shoulajalia,8433
