postcode,bn_division,bn_district,bn_thana,bn_suboffice,bn_postcode,en_division,en_district,en_thana,en_suboffice,en_postcode
9000,খুলনা,খুলনা,খুলনা মেট্রো,খুলনা জিপিও,৯০০০,Khulna,Khulna,Khulna Sadar,Khulna G.P.O,9000
9100,খুলনা,খুলনা,খুলনা মেট্রো,খুলনা সদর,৯১০০,Khulna,Khulna,Khulna Sadar,Khula Sadar,9100
9201,খুলনা,খুলনা,খুলনা মেট্রো,খুলনা শিপইয়ার্ড,৯২০১,Khulna,Khulna,Khulna Sadar,Khulna Shipyard,9201
9202,খুলনা,খুলনা,খুলনা মেট্রো,দৌলতপুর,৯২০২,Khulna,Khulna,Khulna Sadar,Doulatpur,9202
9203,খুলনা,খুলনা,খুলনা মেট্রো,কুয়েট,৯২০৩,Khulna,Khulna,Khulna Sadar,BIT Khulna,9203
9204,খুলনা,খুলনা,খুলনা মেট্রো,শিরোমনি,৯২০৪,Khulna,Khulna,Khulna Sadar,Siramani,9204
9205,খুলনা,খুলনা,খুলনা মেট্রো,জাহানাবাদ ক্যান্টনমেন্ট,৯২০৫,Khulna,Khulna,Khulna Sadar,Jahanabad Canttonmen,9205
9206,খুলনা,খুলনা,খুলনা মেট্রো,সোনালী জুট মিলস,৯২০৬,Khulna,Khulna,Khulna Sadar,Sonali Jute Mills,9206
9207,খুলনা,খুলনা,খুলনা মেট্রো,আটরা শিল্প এলাকা,৯২০৭,Khulna,Khulna,Khulna Sadar,Atra Shilpa Area,9207
9208,খুলনা,খুলনা,খুলনা মেট্রো,খুলনা বিশ্ববিদ্যালয়,৯২০৮,Khulna,Khulna,Khulna Sadar,Khulna University,9208
9210,খুলনা,খুলনা,ফুলতলা,ফুলতলা,৯২১০,Khulna,Khulna,Phultala,Phultala,9210
9220,খুলনা,খুলনা,দিঘলিয়া,দিঘলিয়া,৯২২০,Khulna,Khulna,Digalia,Digalia,9220
9221,খুলনা,খুলনা,দিঘলিয়া,চন্দনী মহল,৯২২১,Khulna,Khulna,Digalia,Chandni Mahal,9221
9222,খুলনা,খুলনা,দিঘলিয়া,সেনহাটি,৯২২২,Khulna,Khulna,Digalia,Senhati,9222
9223,খুলনা,খুলনা,দিঘলিয়া,জি-বারাকপুর,৯২২৩,Khulna,Khulna,Digalia,Ghoshghati,9223
9224,খুলনা,খুলনা,দিঘলিয়া,গাজীরহাট,৯২২৪,Khulna,Khulna,Digalia,Gazirhat,9224
9230,খুলনা,খুলনা,তেরখাদা,তেরখাদা,৯২৩০,Khulna,Khulna,Terakhada,Terakhada,9230
9231,খুলনা,খুলনা,তেরখাদা,পাক বারাসত,৯২৩১,Khulna,Khulna,Terakhada,Pak Barasat,9231
9240,খুলনা,খুলনা,রূপসা,রূপসা,৯২৪০,Khulna,Khulna,Alaipur,Rupsha,9240
9241,খুলনা,খুলনা,রূপসা,পূর্ব রূপসা,৯২৪১,Khulna,Khulna,Alaipur,Rupsha,9241
9242,খুলনা,খুলনা,রূপসা,বেলফুলিয়া,৯২৪২,Khulna,Khulna,Alaipur,Belphulia,9242
9250,খুলনা,খুলনা,ডুমুরিয়া,ডুমুরিয়া,৯২৫০,Khulna,Khulna,Sajiara,Sajiara,9250
9251,খুলনা,খুলনা,ডুমুরিয়া,ঘোনাবন্দ,৯২৫১,Khulna,Khulna,Sajiara,Ghonabanda,9251
9252,খুলনা,খুলনা,ডুমুরিয়া,চুকনগর,৯২৫২,Khulna,Khulna,Sajiara,Chuknagar,9252
9253,খুলনা,খুলনা,ডুমুরিয়া,শাহাপুর,৯২৫৩,Khulna,Khulna,Sajiara,Shahapur,9253
9260,খুলনা,খুলনা,বটিয়াঘাটা,বটিয়াঘাটা,৯২৬০,Khulna,Khulna,Batiaghat,Batiaghat,9260
9261,খুলনা,খুলনা,বটিয়াঘাটা,সুরখালী,৯২৬১,Khulna,Khulna,Batiaghat,Surkalee,9261
9270,খুলনা,খুলনা,দাকোপ,চালনা বাজার,৯২৭০,Khulna,Khulna,Chalna Bazar,Chalna Bazar,9270
9271,খুলনা,খুলনা,দাকোপ,দাকোপ,৯২৭১,Khulna,Khulna,Chalna Bazar,Dakup,9271
9272,খুলনা,খুলনা,চালনা,বাজুয়া,৯২৭২,Khulna,Khulna,Chalna Bazar,Bajua,9272
9273,খুলনা,খুলনা,দাকোপ,নলিয়ান,৯২৭৩,Khulna,Khulna,Chalna Bazar,Nalian,9273
9280,খুলনা,খুলনা,পাইকগাছা,পাইকগাছা,৯২৮০,Khulna,Khulna,Paikgachha,Paikgachha,9280
9281,খুলনা,খুলনা,পাইকগাছা,গদাইপুর,৯২৮১,Khulna,Khulna,Paikgachha,Godaipur,9281
9282,খুলনা,খুলনা,পাইকগাছা,কপিলমুনি,৯২৮২,Khulna,Khulna,Paikgachha,Kapilmoni,9282
9283,খুলনা,খুলনা,পাইকগাছা,কাটিপাড়া,৯২৮৩,Khulna,Khulna,Paikgachha,Katipara,9283
9284,খুলনা,খুলনা,পাইকগাছা,চাঁদখালী,৯২৮৪,Khulna,Khulna,Paikgachha,Chandkhali,9284
9285,খুলনা,খুলনা,পাইকগাছা,গড়ইখালী,৯২৮৫,Khulna,Khulna,Paikgachha,Garaikhali,9285
9290,খুলনা,খুলনা,কয়রা,কয়রা,৯২৯০,Khulna,Khulna,Koyra,Koyra,9290
9291,খুলনা,খুলনা,কয়রা,আমাদী,৯২৯১,Khulna,Khulna,Koyra,Amadee,9291
