postcode,bn_division,bn_district,bn_thana,bn_suboffice,bn_postcode,en_division,en_district,en_thana,en_suboffice,en_postcode
2300,ঢাকা,কিশোরগঞ্জ,কিশোরগঞ্জ সদর,কিশোরগঞ্জ সদর,২৩০০,Dhaka,Kishoreganj,Kishoreganj Sadar,Kishoreganj Sadar,2300
2301,ঢাকা,কিশোরগঞ্জ,কিশোরগঞ্জ সদর,কিশোরগঞ্জ এস.মিলস,২৩০১,Dhaka,Kishoreganj,Kishoreganj Sadar,Kishoreganj S.Mills,2301
2302,ঢাকা,কিশোরগঞ্জ,পাকুন্দিয়া,মাইজহাটি,২৩০২,Dhaka,Kishoreganj,Pakundia,Maizhati,2302
2303,ঢাকা,কিশোরগঞ্জ,কিশোরগঞ্জ সদর,নীলগঞ্জ,২৩০৩,Dhaka,Kishoreganj,Kishoreganj Sadar,Nilganj,2303
2310,ঢাকা,কিশোরগঞ্জ,করিমগঞ্জ,করিমগঞ্জ,২৩১০,Dhaka,Kishoreganj,Karimganj,Karimganj,2310
2316,ঢাকা,কিশোরগঞ্জ,তাড়াইল,তাড়াইল,২৩১৬,Dhaka,Kishoreganj,Tarail,Tarail,2316
2320,ঢাকা,কিশোরগঞ্জ,হোসেনপুর,হোসেনপুর,২৩২০,Dhaka,Kishoreganj,Hossenpur,Hossenpur,2320
2326,ঢাকা,কিশোরগঞ্জ,পাকুন্দিয়া,পাকুন্দিয়া,২৩২৬,Dhaka,Kishoreganj,Pakundia,Pakundia,2326
2330,ঢাকা,কিশোরগঞ্জ,কটিয়াদি,কটিয়াদি,২৩৩০,Dhaka,Kishoreganj,Katiadi,Katiadi,2330
2331,ঢাকা,কিশোরগঞ্জ,কটিয়াদি,গচিহাটা,২৩৩১,Dhaka,Kishoreganj,Katiadi,Gochhihata,2331
2336,ঢাকা,কিশোরগঞ্জ,বাজিতপুর,বাজিতপুর,২৩৩৬,Dhaka,Kishoreganj,Bajitpur,Bajitpur,2336
2337,ঢাকা,কিশোরগঞ্জ,বাজিতপুর,সরারচর,২৩৩৭,Dhaka,Kishoreganj,Bajitpur,Sararchar,2337
2338,ঢাকা,কিশোরগঞ্জ,বাজিতপুর,লক্ষ্মীপুর,২৩৩৮,Dhaka,Kishoreganj,Bajitpur,Laksmipur,2338
2340,ঢাকা,কিশোরগঞ্জ,কুলিয়ারচর,কুলিয়ারচর,২৩৪০,Dhaka,Kishoreganj,Kuliarchar,Kuliarchar,2340
2341,ঢাকা,কিশোরগঞ্জ,কুলিয়ারচর,ছয়সূতি,২৩৪১,Dhaka,Kishoreganj,Kuliarchar,Chhoysuti,2341
2350,ঢাকা,কিশোরগঞ্জ,অষ্টগ্রাম,বাংগালপাড়া,২৩৫০,Dhaka,Kishoreganj,Bhairob,Bhairab,2350
2360,ঢাকা,কিশোরগঞ্জ,নিকলী,নিকলী,২৩৬০,Dhaka,Kishoreganj,Nikli,Nikli,2360
2370,ঢাকা,কিশোরগঞ্জ,মিঠামইন,মিঠামইন,২৩৭০,Dhaka,Kishoreganj,Mithamoin,MIthamoin,2370
2371,ঢাকা,কিশোরগঞ্জ,মিঠামইন,আব্দুল্লাহপুর,২৩৭১,Dhaka,Kishoreganj,Mithamoin,Abdullahpur,2371
2380,ঢাকা,কিশোরগঞ্জ,অষ্টগ্রাম,অষ্টগ্রাম,২৩৮০,Dhaka,Kishoreganj,Bhairob,Ostagram,2380
2390,ঢাকা,কিশোরগঞ্জ,ইটনা,ইটনা,২৩৯০,Dhaka,Kishoreganj,Itna,Itna,2390
