postcode,bn_division,bn_district,bn_thana,bn_suboffice,bn_postcode,en_division,en_district,en_thana,en_suboffice,en_postcode
5600,রংপুর,কুড়িগ্রাম,কুড়িগ্রাম সদর,কুড়িগ্রাম সদর,৫৬০০,Rangpur,Kurigram,Kurigram Sadar,Kurigram Sadar,5600
5601,রংপুর,কুড়িগ্রাম,কুড়িগ্রাম সদর,পান্ডুল,৫৬০১,Rangpur,Kurigram,Kurigram Sadar,Pandul,5601
5610,রংপুর,কুড়িগ্রাম,রাজারহাট,রাজারহাট,৫৬১০,Rangpur,Kurigram,Rajarhat,Rajarhat,5610
5611,রংপুর,কুড়িগ্রাম,রাজারহাট,নাজিমখান,৫৬১১,Rangpur,Kurigram,Rajarhat,Nazimkhan,5611
5620,রংপুর,কুড়িগ্রাম,উলিপুর,উলিপুর,৫৬২০,Rangpur,Kurigram,Ulipur,Ulipur,5620
5621,রংপুর,কুড়িগ্রাম,উলিপুর,বাজারহাট,৫৬২১,Rangpur,Kurigram,Ulipur,Bozra hat,5621
5630,রংপুর,কুড়িগ্রাম,চিলমারী,চিলমারী,৫৬৩০,Rangpur,Kurigram,Chilmari,Chilmari,5630
5631,রংপুর,কুড়িগ্রাম,চিলমারী,জোড়গাছা,৫৬৩১,Rangpur,Kurigram,Chilmari,Jorgachh,5631
5640,রংপুর,কুড়িগ্রাম,রৌমারী,রৌমারী,৫৬৪০,Rangpur,Kurigram,Roumari,Roumari,5640
5650,রংপুর,কুড়িগ্রাম,রাজিবপুর,রাজিবপুর,৫৬৫০,Rangpur,Kurigram,Rajibpur,Rajibpur,5650
5660,রংপুর,কুড়িগ্রাম,নাগেশ্বর,নাগেশ্বর,৫৬৬০,Rangpur,Kurigram,Nageshwar,Nageshwar,5660
5670,রংপুর,কুড়িগ্রাম,ভূরুঙ্গামারী,ভূরুঙ্গামারী,৫৬৭০,Rangpur,Kurigram,Bhurungamari,Bhurungamari,5670
5680,রংপুর,কুড়িগ্রাম,কুড়িগ্রাম সদর,ফুলবাড়ী,৫৬৮০,Rangpur,Kurigram,Kurigram Sadar,Phulbari,5680
