postcode,bn_division,bn_district,bn_thana,bn_suboffice,bn_postcode,en_division,en_district,en_thana,en_suboffice,en_postcode
3700,চট্টগ্রাম,লক্ষ্মীপুর,লক্ষ্মীপুর সদর,লক্ষ্মীপুর সদর,৩৭০০,Chittagong,Lakshmipur,Lakshimpur Sadar,Lakshimpur Sadar,3700
3701,চট্টগ্রাম,লক্ষ্মীপুর,লক্ষ্মীপুর সদর,দালাল বাজার,৩৭০১,Chittagong,Lakshmipur,Lakshimpur Sadar,Dalal Bazar,3701
3702,চট্টগ্রাম,লক্ষ্মীপুর,লক্ষ্মীপুর সদর,ভবানীগঞ্জ,৩৭০২,Chittagong,Lakshmipur,Lakshimpur Sadar,Bhabaniganj,3702
3703,চট্টগ্রাম,লক্ষ্মীপুর,লক্ষ্মীপুর সদর,মান্দারী,৩৭০৩,Chittagong,Lakshmipur,Lakshimpur Sadar,Mandari,3703
3704,চট্টগ্রাম,লক্ষ্মীপুর,লক্ষ্মীপুর সদর,কেরামতগঞ্জ,৩৭০৪,Chittagong,Lakshmipur,Lakshimpur Sadar,Keramatganj,3704
3705,চট্টগ্রাম,লক্ষ্মীপুর,লক্ষ্মীপুর সদর,রুপছড়া,৩৭০৫,Chittagong,Lakshmipur,Lakshimpur Sadar,Rupchara,3705
3706,চট্টগ্রাম,লক্ষ্মীপুর,লক্ষ্মীপুর সদর,দত্তপাড়া,৩৭০৬,Chittagong,Lakshmipur,Lakshimpur Sadar,Duttapara,3706
3707,চট্টগ্রাম,লক্ষ্মীপুর,লক্ষ্মীপুর সদর,চৌপল্লী,৩৭০৭,Chittagong,Lakshmipur,Lakshimpur Sadar,Choupalli,3707
3708,চট্টগ্রাম,লক্ষ্মীপুর,লক্ষ্মীপুর সদর,চন্দ্রগঞ্জ,৩৭০৮,Chittagong,Lakshmipur,Lakshimpur Sadar,Chandraganj,3708
3709,চট্টগ্রাম,লক্ষ্মীপুর,লক্ষ্মীপুর সদর,আমানি থেকে লক্ষ্মীপুর,৩৭০৯,Chittagong,Lakshmipur,Lakshimpur Sadar,Amani Lakshimpur,3709
3710,চট্টগ্রাম,লক্ষ্মীপুর,রায়পুর,রায়পুর,৩৭১০,Chittagong,Lakshmipur,Raypur,Raipur,3710
3711,চট্টগ্রাম,লক্ষ্মীপুর,রায়পুর,রাখালিয়া,৩৭১১,Chittagong,Lakshmipur,Raypur,Rakhallia,3711
3712,চট্টগ্রাম,লক্ষ্মীপুর,রায়পুর,নাগের দিঘীরপাড়,৩৭১২,Chittagong,Lakshmipur,Raypur,Nagerdighirpar,3712
3713,চট্টগ্রাম,লক্ষ্মীপুর,রায়পুর,হায়দারগঞ্জ,৩৭১৩,Chittagong,Lakshmipur,Raypur,Khaser Hat,3713
3714,চট্টগ্রাম,লক্ষ্মীপুর,রায়পুর,ভুয়াবাড়ি,৩৭১৪,Chittagong,Lakshmipur,Raypur,Bhuiyanbari,3714
3720,চট্টগ্রাম,লক্ষ্মীপুর,রামগঞ্জ,রামগঞ্জ,৩৭২০,Chittagong,Lakshmipur,Ramganj,Ramganj,3720
3721,চট্টগ্রাম,লক্ষ্মীপুর,রামগঞ্জ,আলীপুর,৩৭২১,Chittagong,Lakshmipur,Ramganj,Alipur,3721
3722,চট্টগ্রাম,লক্ষ্মীপুর,রামগঞ্জ,পানপাড়া,৩৭২২,Chittagong,Lakshmipur,Ramganj,Panpara,3722
3723,চট্টগ্রাম,লক্ষ্মীপুর,রামগঞ্জ,কাঞ্চনপুর,৩৭২৩,Chittagong,Lakshmipur,Ramganj,Kanchanpur,3723
3724,চট্টগ্রাম,লক্ষ্মীপুর,রামগঞ্জ,নাগমুদ,৩৭২৪,Chittagong,Lakshmipur,Ramganj,Naagmud,3724
3725,চট্টগ্রাম,লক্ষ্মীপুর,রামগঞ্জ,দলতা,৩৭২৫,Chittagong,Lakshmipur,Ramganj,Dolta,3725
3730,চট্টগ্রাম,লক্ষ্মীপুর,চর আলেক্সজান্ডার,চর আলেক্সজান্ডার,৩৭৩০,Chittagong,Lakshmipur,Char Alexgander,Char Alexgander,3730
3731,চট্টগ্রাম,লক্ষ্মীপুর,চর আলেক্সজান্ডার,হাজীরঘাট,৩৭৩১,Chittagong,Lakshmipur,Char Alexgander,Hajirghat,3731
3732,চট্টগ্রাম,লক্ষ্মীপুর,চর আলেক্সজান্ডার,রামগতিরহাট,৩৭৩২,Chittagong,Lakshmipur,Char Alexgander,Ramgatirhat,3732
