postcode,bn_division,bn_district,bn_thana,bn_suboffice,bn_postcode,en_division,en_district,en_thana,en_suboffice,en_postcode
7900,ঢাকা,মাদারীপুর,মাদারীপুর সদর,মাদারীপুর সদর,৭৯০০,Dhaka,Madaripur,Madaripur Sadar,Madaripur Sadar,7900
7901,ঢাকা,মাদারীপুর,মাদারীপুর সদর,চরমুগরিয়া,৭৯০১,Dhaka,Madaripur,Madaripur Sadar,Charmugria,7901
7902,ঢাকা,মাদারীপুর,মাদারীপুর সদর,কুলপাদ্দি,৭৯০২,Dhaka,Madaripur,Madaripur Sadar,Kulpaddi,7902
7903,ঢাকা,মাদারীপুর,মাদারীপুর সদর,হবিগঞ্জ,৭৯০৩,Dhaka,Madaripur,Madaripur Sadar,Habiganj,7903
7904,ঢাকা,মাদারীপুর,মাদারীপুর সদর,মুস্তফাপুর,৭৯০৪,Dhaka,Madaripur,Madaripur Sadar,Mustafapur,7904
7910,ঢাকা,মাদারীপুর,রাজৈর,রাজৈর,৭৯১০,Dhaka,Madaripur,Rajoir,Rajoir,7910
7911,ঢাকা,মাদারীপুর,রাজৈর,খালিয়া,৭৯১১,Dhaka,Madaripur,Rajoir,Khalia,7911
7920,ঢাকা,মাদারীপুর,কালকিনি,কালকিনি,৭৯২০,Dhaka,Madaripur,kalkini,Kalkini,7920
7921,ঢাকা,মাদারীপুর,কালকিনি,সাহাবরামপুর,৭৯২১,Dhaka,Madaripur,kalkini,Sahabrampur,7921
7930,ঢাকা,মাদারীপুর,বারহামগঞ্জ,বারহামগঞ্জ,৭৯৩০,Dhaka,Madaripur,Barhamganj,Barhamganj,7930
7931,ঢাকা,মাদারীপুর,বারহামগঞ্জ,নিলাকসমিবান্দার,৭৯৩১,Dhaka,Madaripur,Barhamganj,Nilaksmibandar,7931
7932,ঢাকা,মাদারীপুর,বারহামগঞ্জ,বাহাদুরপুর,৭৯৩২,Dhaka,Madaripur,Barhamganj,Bahadurpur,7932
7933,ঢাকা,মাদারীপুর,বারহামগঞ্জ,উমেদপুর,৭৯৩৩,Dhaka,Madaripur,Barhamganj,Umedpur,7933
