postcode,bn_division,bn_district,bn_thana,bn_suboffice,bn_postcode,en_division,en_district,en_thana,en_suboffice,en_postcode
1800,ঢাকা,মানিকগঞ্জ,মানিকগঞ্জ সদর,মানিকগঞ্জ সদর,১৮০০,Dhaka,Manikganj,Manikganj Sadar,Manikganj Sadar,1800
1801,ঢাকা,মানিকগঞ্জ,মানিকগঞ্জ সদর,মানিকগঞ্জ বাজার,১৮০১,Dhaka,Manikganj,Manikganj Sadar,Manikganj Bazar,1801
1802,ঢাকা,মানিকগঞ্জ,মানিকগঞ্জ সদর,গড়পাড়া,১৮০২,Dhaka,Manikganj,Manikganj Sadar,Gorpara,1802
1803,ঢাকা,মানিকগঞ্জ,মানিকগঞ্জ সদর,মহাদেবপুর,১৮০৩,Dhaka,Manikganj,Manikganj Sadar,Mahadebpur,1803
1804,ঢাকা,মানিকগঞ্জ,মানিকগঞ্জ সদর,বরংগাইল,১৮০৪,Dhaka,Manikganj,Manikganj Sadar,Barangail,1804
1810,ঢাকা,মানিকগঞ্জ,সাটুরিয়া,সাটুরিয়া,১৮১০,Dhaka,Manikganj,Saturia,Saturia,1810
1811,ঢাকা,মানিকগঞ্জ,সাটুরিয়া,বালিয়াটি,১৮১১,Dhaka,Manikganj,Saturia,Baliati,1811
1820,ঢাকা,মানিকগঞ্জ,সিংগাইর,সিংগাইর,১৮২০,Dhaka,Manikganj,Singari,Singair,1820
1821,ঢাকা,মানিকগঞ্জ,সিংগাইর,বায়রা,১৮২১,Dhaka,Manikganj,Singari,Baira,1821
1822,ঢাকা,মানিকগঞ্জ,সিংগাইর,জয়মন্তব,১৮২২,Dhaka,Manikganj,Singari,joymantop,1822
1830,ঢাকা,মানিকগঞ্জ,বারহামগঞ্জ,বারহামগঞ্জ,১৮৩০,Dhaka,Manikganj,Barhamganj,Barhamganj,1830
1831,ঢাকা,মানিকগঞ্জ,লেছড়াগঞ্জ,ঝিটকা,১৮৩১,Dhaka,Manikganj,Lechhraganj,Jhitka,1831
1840,ঢাকা,মানিকগঞ্জ,ঘিওর,ঘিওর,১৮৪০,Dhaka,Manikganj,Ghior,Ghior,1840
1850,ঢাকা,মানিকগঞ্জ,শিবালয়,শিবালয়,১৮৫০,Dhaka,Manikganj,Shibloya,Shibaloy,1850
1851,ঢাকা,মানিকগঞ্জ,শিবালয়,আরিচা,১৮৫১,Dhaka,Manikganj,Shibloya,Aricha,1851
1852,ঢাকা,মানিকগঞ্জ,শিবালয়,তেওতা,১৮৫২,Dhaka,Manikganj,Shibloya,Tewta,1852
1853,ঢাকা,মানিকগঞ্জ,শিবালয়,উঠলি,১৮৫৩,Dhaka,Manikganj,Shibloya,Uthli,1853
1860,ঢাকা,মানিকগঞ্জ,দৌলতপুর,দৌলতপুর,১৮৬০,Dhaka,Manikganj,Rafayetpur,Doulatpur,1860
