postcode,bn_division,bn_district,bn_thana,bn_suboffice,bn_postcode,en_division,en_district,en_thana,en_suboffice,en_postcode
3200,সিলেট,মৌলভীবাজার,মৌলভীবাজার সদর,মৌলভীবাজার সদর,৩২০০,Sylhet,Moulvibazar,Moulvibazar Sadar,Moulvibazar Sadar,3200
3201,সিলেট,মৌলভীবাজার,মৌলভীবাজার সদর,বারাকাপান,৩২০১,Sylhet,Moulvibazar,Moulvibazar Sadar,Barakapan,3201
3202,সিলেট,মৌলভীবাজার,মৌলভীবাজার সদর,মনুমুখ,৩২০২,Sylhet,Moulvibazar,Moulvibazar Sadar,Monumukh,3202
3203,সিলেট,মৌলভীবাজার,মৌলভীবাজার সদর,আফরোজগঞ্জ,৩২০৩,Sylhet,Moulvibazar,Moulvibazar Sadar,Afrozganj,3203
3210,সিলেট,মৌলভীবাজার,শ্রীমঙ্গল,শ্রীমঙ্গল,৩২১০,Sylhet,Moulvibazar,Srimangal,Srimangal,3210
3211,সিলেট,মৌলভীবাজার,শ্রীমঙ্গল,নারায়ন ছড়া,৩২১১,Sylhet,Moulvibazar,Srimangal,Narain Chora,3211
3212,সিলেট,মৌলভীবাজার,শ্রীমঙ্গল,কালীঘাট,৩২১২,Sylhet,Moulvibazar,Srimangal,Kalighat,3212
3213,সিলেট,মৌলভীবাজার,শ্রীমঙ্গল,খেজুরীছড়া,৩২১৩,Sylhet,Moulvibazar,Srimangal,Khejurichhara,3213
3214,সিলেট,মৌলভীবাজার,শ্রীমঙ্গল,সাতগাঁও,৩২১৪,Sylhet,Moulvibazar,Srimangal,Satgaon,3214
3220,সিলেট,মৌলভীবাজার,কমলগঞ্জ,কমলগঞ্জ,৩২২০,Sylhet,Moulvibazar,Kamalganj,Kamalganj,3220
3221,সিলেট,মৌলভীবাজার,কমলগঞ্জ,কেরামত নগর,৩২২১,Sylhet,Moulvibazar,Kamalganj,Keramatnaga,3221
3222,সিলেট,মৌলভীবাজার,কমলগঞ্জ,পাত্রখোলা,৩২২২,Sylhet,Moulvibazar,Kamalganj,Patrakhola,3222
3223,সিলেট,মৌলভীবাজার,কমলগঞ্জ,শমসের নগর,৩২২৩,Sylhet,Moulvibazar,Kamalganj,Shamsher Nagar,3223
3224,সিলেট,মৌলভীবাজার,কমলগঞ্জ,মুন্সীবাজার,৩২২৪,Sylhet,Moulvibazar,Kamalganj,Munshibazar,3224
3230,সিলেট,মৌলভীবাজার,কুলাউড়া,কুলাউড়া,৩২৩০,Sylhet,Moulvibazar,Kulaura,Kulaura,3230
3231,সিলেট,মৌলভীবাজার,কুলাউড়া,টিলাগাও,৩২৩১,Sylhet,Moulvibazar,Kulaura,Tillagaon,3231
3232,সিলেট,মৌলভীবাজার,কুলাউড়া,লংলা,৩২৩২,Sylhet,Moulvibazar,Kulaura,Langla,3232
3233,সিলেট,মৌলভীবাজার,কুলাউড়া,পৃথিমপাশা,৩২৩৩,Sylhet,Moulvibazar,Kulaura,Prithimpasha,3233
3234,সিলেট,মৌলভীবাজার,কুলাউড়া,কাজলধারা,৩২৩৪,Sylhet,Moulvibazar,Kulaura,Kajaldhara,3234
3235,সিলেট,মৌলভীবাজার,কুলাউড়া,করিমপুর,৩২৩৫,Sylhet,Moulvibazar,Kulaura,Karimpur,3235
3237,সিলেট,মৌলভীবাজার,কুলাউড়া,বরমচাল,৩২৩৭,Sylhet,Moulvibazar,Kulaura,Baramchal,3237
3240,সিলেট,মৌলভীবাজার,রাজনগর,রাজনগর,৩২৪০,Sylhet,Moulvibazar,Rajnagar,Rajnagar,3240
3250,সিলেট,মৌলভীবাজার,বড়লেখা,বড়লেখা,৩২৫০,Sylhet,Moulvibazar,Baralekha,Baralekha,3250
3251,সিলেট,মৌলভীবাজার,বড়লেখা,জুড়ী,৩২৫১,Sylhet,Moulvibazar,Baralekha,Juri,3251
3252,সিলেট,মৌলভীবাজার,বড়লেখা,দক্ষিণবাগ,৩২৫২,Sylhet,Moulvibazar,Baralekha,Dhakkhinbag,3252
3253,সিলেট,মৌলভীবাজার,বড়লেখা,পূর্বাশাহাবাজপুর,৩২৫৩,Sylhet,Moulvibazar,Baralekha,Purbashahabajpur,3253
