postcode,bn_division,bn_district,bn_thana,bn_suboffice,bn_postcode,en_division,en_district,en_thana,en_suboffice,en_postcode
1500,ঢাকা,মুন্সীগঞ্জ,মুন্সীগঞ্জ সদর,মুন্সীগঞ্জ সদর,১৫০০,Dhaka,Munshiganj,Munshiganj Sadar,Munshiganj Sadar,1500
1501,ঢাকা,মুন্সীগঞ্জ,মুন্সীগঞ্জ সদর,রিকাবিবাজার,১৫০১,Dhaka,Munshiganj,Munshiganj Sadar,Rikabibazar,1501
1502,ঢাকা,মুন্সীগঞ্জ,মুন্সীগঞ্জ সদর,মিরকাদিম,১৫০২,Dhaka,Munshiganj,Munshiganj Sadar,Mirkadim,1502
1503,ঢাকা,মুন্সীগঞ্জ,মুন্সীগঞ্জ সদর,কাঠাখালি,১৫০৩,Dhaka,Munshiganj,Munshiganj Sadar,Kathakhali,1503
1510,ঢাকা,মুন্সীগঞ্জ,গজারিয়া,গজারিয়া,১৫১০,Dhaka,Munshiganj,Gajaria,Gajaria,1510
1511,ঢাকা,মুন্সীগঞ্জ,গজারিয়া,হোসেন্দি,১৫১১,Dhaka,Munshiganj,Gajaria,Hossendi,1511
1512,ঢাকা,মুন্সীগঞ্জ,গজারিয়া,রসুলপুর,১৫১২,Dhaka,Munshiganj,Gajaria,Gouragonj,1512
1520,ঢাকা,মুন্সীগঞ্জ,টাংগিবাড়ি,টাংগিবাড়ি,১৫২০,Dhaka,Munshiganj,Tangibari,Tangibari,1520
1521,ঢাকা,মুন্সীগঞ্জ,টাংগিবাড়ি,বেটকারহাট,১৫২১,Dhaka,Munshiganj,Tangibari,Betkahat,1521
1522,ঢাকা,মুন্সীগঞ্জ,টাংগিবাড়ি,বালিগাও,১৫২২,Dhaka,Munshiganj,Tangibari,Baligao,1522
1523,ঢাকা,মুন্সীগঞ্জ,টাংগিবাড়ি,বিজরাজুগিনি,১৫২৩,Dhaka,Munshiganj,Tangibari,Bajrajugini,1523
1524,ঢাকা,মুন্সীগঞ্জ,টাংগিবাড়ি,হাসাইল,১৫২৪,Dhaka,Munshiganj,Tangibari,Hasail,1524
1525,ঢাকা,মুন্সীগঞ্জ,টাংগিবাড়ি,দিঘিরপাড়,১৫২৫,Dhaka,Munshiganj,Tangibari,Dighirpar,1525
1526,ঢাকা,মুন্সীগঞ্জ,টাংগিবাড়ি,পুরা EDSO,১৫২৬,Dhaka,Munshiganj,Tangibari,Pura EDSO,1526
1527,ঢাকা,মুন্সীগঞ্জ,টাংগিবাড়ি,পুরা,১৫২৭,Dhaka,Munshiganj,Tangibari,Pura,1527
