postcode,bn_division,bn_district,bn_thana,bn_suboffice,bn_postcode,en_division,en_district,en_thana,en_suboffice,en_postcode
2200,ময়মনসিংহ,ময়মনসিংহ,ময়মনসিংহ সদর,ময়মনসিংহ সদর,২২০০,Mymensingh,Mymensingh,Mymensingh Sadar,Mymensingh Sadar,2200
2201,ময়মনসিংহ,ময়মনসিংহ,ময়মনসিংহ সদর,কেওয়াটখালি,২২০১,Mymensingh,Mymensingh,Mymensingh Sadar,Kawatkhali,2201
2202,ময়মনসিংহ,ময়মনসিংহ,ময়মনসিংহ সদর,কৃষি বিশ্ববিদ্যালয়,২২০২,Mymensingh,Mymensingh,Mymensingh Sadar,Agriculture Universi,2202
2203,ময়মনসিংহ,ময়মনসিংহ,ময়মনসিংহ সদর,শম্ভুগঞ্জ,২২০৩,Mymensingh,Mymensingh,Mymensingh Sadar,Shombhuganj,2203
2204,ময়মনসিংহ,ময়মনসিংহ,ময়মনসিংহ সদর,বিদ্যাগঞ্জ,২২০৪,Mymensingh,Mymensingh,Mymensingh Sadar,Biddyaganj,2204
2205,ময়মনসিংহ,ময়মনসিংহ,ময়মনসিংহ সদর,পিয়ারপুর,২২০৫,Mymensingh,Mymensingh,Mymensingh Sadar,Pearpur,2205
2210,ময়মনসিংহ,ময়মনসিংহ,মুক্তাগাছা,মুক্তাগাছা,২২১০,Mymensingh,Mymensingh,Muktagachha,Muktagachha,2210
2216,ময়মনসিংহ,ময়মনসিংহ,ফুলবাড়িয়া,ফুলবাড়িয়া,২২১৬,Mymensingh,Mymensingh,Fulbaria,Fulbaria,2216
2220,ময়মনসিংহ,ময়মনসিংহ,ত্রিশাল,ত্রিশাল,২২২০,Mymensingh,Mymensingh,Trishal,Trishal,2220
2221,ময়মনসিংহ,ময়মনসিংহ,ত্রিশাল,আহমাদবাদ,২২২১,Mymensingh,Mymensingh,Trishal,Ahmadbad,2221
2222,ময়মনসিংহ,ময়মনসিংহ,ত্রিশাল,রাম অমৃতগঞ্জ,২২২২,Mymensingh,Mymensingh,Trishal,Ram Amritaganj,2222
2223,ময়মনসিংহ,ময়মনসিংহ,ত্রিশাল,ধলা,২২২৩,Mymensingh,Mymensingh,Trishal,Dhala,2223
2230,ময়মনসিংহ,ময়মনসিংহ,গফরগাঁও,গফরগাঁও,২২৩০,Mymensingh,Mymensingh,Gaforgaon,Gaforgaon,2230
2231,ময়মনসিংহ,ময়মনসিংহ,গফরগাঁও,শিবগঞ্জ,২২৩১,Mymensingh,Mymensingh,Gaforgaon,Shibganj,2231
2232,ময়মনসিংহ,ময়মনসিংহ,গফরগাঁও,উস্তি,২২৩২,Mymensingh,Mymensingh,Gaforgaon,Usti,2232
2233,ময়মনসিংহ,ময়মনসিংহ,গফরগাঁও,কান্দিপাড়া,২২৩৩,Mymensingh,Mymensingh,Gaforgaon,Kandipara,2233
2234,ময়মনসিংহ,ময়মনসিংহ,গফরগাঁও,দুট্টারবাজার,২২৩৪,Mymensingh,Mymensingh,Gaforgaon,Dobasia,2234
2240,ময়মনসিংহ,ময়মনসিংহ,ভালুকা,ভালুকা,২২৪০,Mymensingh,Mymensingh,Bhaluka,Bhaluka,2240
2250,ময়মনসিংহ,ময়মনসিংহ,ফুলপুর,ফুলপুর,২২৫০,Mymensingh,Mymensingh,Phulpur,Phulpur,2250
2251,ময়মনসিংহ,ময়মনসিংহ,ফুলপুর,বেলতিয়া,২২৫১,Mymensingh,Mymensingh,Phulpur,Beltia,2251
2252,ময়মনসিংহ,ময়মনসিংহ,ফুলপুর,তারাকান্দা,২২৫২,Mymensingh,Mymensingh,Phulpur,Tarakanda,2252
2260,ময়মনসিংহ,ময়মনসিংহ,হালুয়াঘাট,হালুয়াঘাট,২২৬০,Mymensingh,Mymensingh,Haluaghat,Haluaghat,2260
2261,ময়মনসিংহ,ময়মনসিংহ,হালুয়াঘাট,ধারা,২২৬১,Mymensingh,Mymensingh,Haluaghat,Dhara,2261
2262,ময়মনসিংহ,ময়মনসিংহ,হালুয়াঘাট,মুনশিরহাট,২২৬২,Mymensingh,Mymensingh,Haluaghat,Munshirhat,2262
2270,ময়মনসিংহ,ময়মনসিংহ,গৌরীপুর,গৌরীপুর,২২৭০,Mymensingh,Mymensingh,Gouripur,Gouripur,2270
2271,ময়মনসিংহ,ময়মনসিংহ,গৌরীপুর,রামগোপালপুর,২২৭১,Mymensingh,Mymensingh,Gouripur,Ramgopalpur,2271
2280,ময়মনসিংহ,ময়মনসিংহ,ঈশ্বরগঞ্জ,ঈশ্বরগঞ্জ,২২৮০,Mymensingh,Mymensingh,Isshwargonj,Isshwargonj,2280
2281,ময়মনসিংহ,ময়মনসিংহ,ঈশ্বরগঞ্জ,সোহাগি,২২৮১,Mymensingh,Mymensingh,Isshwargonj,Sohagi,2281
2282,ময়মনসিংহ,ময়মনসিংহ,ঈশ্বরগঞ্জ,আঠারবাড়ি,২২৮২,Mymensingh,Mymensingh,Isshwargonj,Atharabari,2282
2290,ময়মনসিংহ,ময়মনসিংহ,নান্দাইল,নান্দাইল,২২৯০,Mymensingh,Mymensingh,Nandail,Nandail,2290
2291,ময়মনসিংহ,ময়মনসিংহ,নান্দাইল,গাংগাইল,২২৯১,Mymensingh,Mymensingh,Nandail,Gangail,2291
