postcode,bn_division,bn_district,bn_thana,bn_suboffice,bn_postcode,en_division,en_district,en_thana,en_suboffice,en_postcode
6500,রাজশাহী,নওগাঁ,নওগাঁ সদর,নওগাঁ সদর,৬৫০০,Rajshahi,Naogaon,Naogaon Sadar,Naogaon Sadar,6500
6510,রাজশাহী,নওগাঁ,প্রসাদপুর,প্রসাদপুর,৬৫১০,Rajshahi,Naogaon,Prasadpur,Prasadpur,6510
6511,রাজশাহী,নওগাঁ,প্রসাদপুর,মান্দা,৬৫১১,Rajshahi,Naogaon,Prasadpur,Manda,6511
6512,রাজশাহী,নওগাঁ,প্রসাদপুর,বলিহার,৬৫১২,Rajshahi,Naogaon,Prasadpur,Balihar,6512
6520,রাজশাহী,নওগাঁ,নিয়ামতপুর,নিয়ামতপুর,৬৫২০,Rajshahi,Naogaon,Niamatpur,Niamatpur,6520
6530,রাজশাহী,নওগাঁ,মহাদেবপুর,মহাদেবপুর,৬৫৩০,Rajshahi,Naogaon,Mahadebpur,Mahadebpur,6530
6540,রাজশাহী,নওগাঁ,পত্নীতলা,পত্নীতলা,৬৫৪০,Rajshahi,Naogaon,Sapahar,Patnitala,6540
6550,রাজশাহী,নওগাঁ,নিতপুর,নিতপুর,৬৫৫০,Rajshahi,Naogaon,Nitpur,Nitpur,6550
6551,রাজশাহী,নওগাঁ,নিতপুর,পোরশা,৬৫৫১,Rajshahi,Naogaon,Nitpur,Porsa,6551
6552,রাজশাহী,নওগাঁ,নিতপুর,গাঙ্গুরিয়া,৬৫৫২,Rajshahi,Naogaon,Nitpur,Panguria,6552
6560,রাজশাহী,নওগাঁ,সাপাহার,সাপাহার,৬৫৬০,Rajshahi,Naogaon,Sapahar,Sapahar,6560
6561,রাজশাহী,নওগাঁ,পত্নীতলা,মধুইল,৬৫৬১,Rajshahi,Naogaon,Sapahar,Moduhil,6561
6570,রাজশাহী,নওগাঁ,বদলগাছী,বদলগাছী,৬৫৭০,Rajshahi,Naogaon,Badalgachhi,Badalgachhi,6570
6580,রাজশাহী,নওগাঁ,ধামুইরহাট,ধামুইরহাট,৬৫৮০,Rajshahi,Naogaon,Dhamuirhat,Dhamuirhat,6580
6590,রাজশাহী,নওগাঁ,রানীনগর,রানীনগর,৬৫৯০,Rajshahi,Naogaon,Raninagar,Raninagar,6590
6591,রাজশাহী,নওগাঁ,রানীনগর,কাশিমপুর,৬৫৯১,Rajshahi,Naogaon,Raninagar,Kashimpur,6591
6596,রাজশাহী,নওগাঁ,আহসানগঞ্জ,আহসানগঞ্জ,৬৫৯৬,Rajshahi,Naogaon,Ahsanganj,Ahsanganj,6596
6597,রাজশাহী,নওগাঁ,আহসানগঞ্জ,বান্দাই,৬৫৯৭,Rajshahi,Naogaon,Ahsanganj,Bandai,6597
