postcode,bn_division,bn_district,bn_thana,bn_suboffice,bn_postcode,en_division,en_district,en_thana,en_suboffice,en_postcode
1400,ঢাকা,নারায়ণগঞ্জ,নারায়ণগঞ্জ সদর,নারায়ণগঞ্জ সদর,১৪০০,Dhaka,Narayanganj,Narayanganj Sadar,Narayanganj Sadar,1400
1410,ঢাকা,নারায়ণগঞ্জ,বন্দর,বন্দর,১৪১০,Dhaka,Narayanganj,Bandar,Bandar,1410
1411,ঢাকা,নারায়ণগঞ্জ,বন্দর,ডি.সি মিলস,১৪১১,Dhaka,Narayanganj,Bandar,D.C Mills,1411
1412,ঢাকা,নারায়ণগঞ্জ,বন্দর,নবীগঞ্জ,১৪১২,Dhaka,Narayanganj,Bandar,Nabiganj,1412
1413,ঢাকা,নারায়ণগঞ্জ,বন্দর,বিআইডিএস,১৪১৩,Dhaka,Narayanganj,Bandar,BIDS,1413
1414,ঢাকা,নারায়ণগঞ্জ,বন্দর,মদনগঞ্জ,১৪১৪,Dhaka,Narayanganj,Bandar,Madanganj,1414
1420,ঢাকা,নারায়ণগঞ্জ,ফতুল্লা,ফতুল্লা,১৪২০,Dhaka,Narayanganj,Fatullah,Fatullah,1420
1421,ঢাকা,নারায়ণগঞ্জ,ফতুল্লা,ফতুল্লা বাজার,১৪২১,Dhaka,Narayanganj,Fatullah,Fatulla Bazar,1421
1430,ঢাকা,নারায়ণগঞ্জ,সিদ্ধিরগঞ্জ,সিদ্ধিরগঞ্জ,১৪৩০,Dhaka,Narayanganj,Siddirganj,Siddhirganj,1430
1431,ঢাকা,নারায়ণগঞ্জ,সিদ্ধিরগঞ্জ,আদামজীনগর,১৪৩১,Dhaka,Narayanganj,Siddirganj,Adamjeenagar,1431
1432,ঢাকা,নারায়ণগঞ্জ,সিদ্ধিরগঞ্জ,LN মিলস,১৪৩২,Dhaka,Narayanganj,Siddirganj,LN Mills,1432
1440,ঢাকা,নারায়ণগঞ্জ,বাইদ্দের বাজার,বাইদ্দের বাজার,১৪৪০,Dhaka,Narayanganj,Baidder Bazar,Baidder Bazar,1440
1441,ঢাকা,নারায়ণগঞ্জ,বাইদ্দের বাজার,বারো নগর,১৪৪১,Dhaka,Narayanganj,Baidder Bazar,Bara Nagar,1441
1442,ঢাকা,নারায়ণগঞ্জ,বাইদ্দের বাজার,বারোদি,১৪৪২,Dhaka,Narayanganj,Baidder Bazar,Barodi,1442
1450,ঢাকা,নারায়ণগঞ্জ,আড়াইহাজার,আড়াইহাজার,১৪৫০,Dhaka,Narayanganj,Araihazar,Araihazar,1450
1451,ঢাকা,নারায়ণগঞ্জ,আড়াইহাজার,গোপালদি,১৪৫১,Dhaka,Narayanganj,Araihazar,Baidder Bazar,1451
1460,ঢাকা,নারায়ণগঞ্জ,রূপগঞ্জ,রূপগঞ্জ,১৪৬০,Dhaka,Narayanganj,Rupganj,Rupganj,1460
1461,ঢাকা,নারায়ণগঞ্জ,রূপগঞ্জ,কাঞ্চন,১৪৬১,Dhaka,Narayanganj,Rupganj,Kanchan,1461
1462,ঢাকা,নারায়ণগঞ্জ,রূপগঞ্জ,ভুলতা,১৪৬২,Dhaka,Narayanganj,Rupganj,Bhulta,1462
1463,ঢাকা,নারায়ণগঞ্জ,রূপগঞ্জ,নগরি,১৪৬৩,Dhaka,Narayanganj,Rupganj,Nagri,1463
1464,ঢাকা,নারায়ণগঞ্জ,রূপগঞ্জ,মুরাপাড়া,১৪৬৪,Dhaka,Narayanganj,Rupganj,Murapara,1464
