postcode,bn_division,bn_district,bn_thana,bn_suboffice,bn_postcode,en_division,en_district,en_thana,en_suboffice,en_postcode
1600,ঢাকা,নরসিংদী,নরসিংদী সদর,নরসিংদী সদর,১৬০০,Dhaka,Narsingdi,Narsingdi Sadar,Narsingdi Sadar,1600
1601,ঢাকা,নরসিংদী,নরসিংদী সদর,UMC জুট মিলস,১৬০১,Dhaka,Narsingdi,Narsingdi Sadar,UMC Jute Mills,1601
1602,ঢাকা,নরসিংদী,নরসিংদী সদর,নরসিংদী কলেজ,১৬০২,Dhaka,Narsingdi,Narsingdi Sadar,Narsingdi College,1602
1603,ঢাকা,নরসিংদী,নরসিংদী সদর,পাঁচদোনা,১৬০৩,Dhaka,Narsingdi,Narsingdi Sadar,Panchdona,1603
1604,ঢাকা,নরসিংদী,নরসিংদী সদর,মাধবদী,১৬০৪,Dhaka,Narsingdi,Narsingdi Sadar,Madhabdi,1604
1605,ঢাকা,নরসিংদী,নরসিংদী সদর,করিমপুর,১৬০৫,Dhaka,Narsingdi,Narsingdi Sadar,Karimpur,1605
1610,ঢাকা,নরসিংদী,পলাশ,পলাশ,১৬১০,Dhaka,Narsingdi,Palash,Palash,1610
1611,ঢাকা,নরসিংদী,পলাশ,ঘোড়াশাল ইউরিয়া ফ্যাক্টুরি,১৬১১,Dhaka,Narsingdi,Palash,Sarkarkhana,1611
1612,ঢাকা,নরসিংদী,পলাশ,চরসিন্ধুর,১৬১২,Dhaka,Narsingdi,Palash,Char Sindhur,1612
1613,ঢাকা,নরসিংদী,পলাশ,ঘোড়াশাল,১৬১৩,Dhaka,Narsingdi,Palash,Ghorashal,1613
1620,ঢাকা,নরসিংদী,শিবপুর,শিবপুর,১৬২০,Dhaka,Narsingdi,Shibpur,Shibpur,1620
1630,ঢাকা,নরসিংদী,রায়পুর,রায়পুর,১৬৩০,Dhaka,Narsingdi,Raypur,Raipur,1630
1631,ঢাকা,নরসিংদী,রায়পুর,বাজার হাসনাবাদ,১৬৩১,Dhaka,Narsingdi,Raypur,Bazar Hasnabad,1631
1632,ঢাকা,নরসিংদী,রায়পুর,রাধাগঞ্জ বাজার,১৬৩২,Dhaka,Narsingdi,Raypur,Radhaganj bazar,1632
1640,ঢাকা,নরসিংদী,বেলাব,বেলাব,১৬৪০,Dhaka,Narsingdi,Belabo,Belabo,1640
1650,ঢাকা,নরসিংদী,মনোহরদি,মনোহরদি,১৬৫০,Dhaka,Narsingdi,Monohordi,Monohordi,1650
1651,ঢাকা,নরসিংদী,মনোহরদি,হাতিরদিয়া,১৬৫১,Dhaka,Narsingdi,Monohordi,Hatirdia,1651
1652,ঢাকা,নরসিংদী,মনোহরদি,কাটাবাড়িয়া,১৬৫২,Dhaka,Narsingdi,Monohordi,Katabaria,1652
