postcode,bn_division,bn_district,bn_thana,bn_suboffice,bn_postcode,en_division,en_district,en_thana,en_suboffice,en_postcode
6400,রাজশাহী,নাটোর,নাটোর সদর,নাটোর সদর,৬৪০০,Rajshahi,Natore,Natore Sadar,Natore Sadar,6400
6401,রাজশাহী,নাটোর,নাটোর সদর,দিঘাপাতিয়া,৬৪০১,Rajshahi,Natore,Natore Sadar,Digapatia,6401
6402,রাজশাহী,নাটোর,নাটোর সদর,বাইদ্দ্যাবল ঘরিয়া,৬৪০২,Rajshahi,Natore,Natore Sadar,Baiddyabal Gharia,6402
6403,রাজশাহী,নাটোর,নাটোর সদর,মাধনগর,৬৪০৩,Rajshahi,Natore,Natore Sadar,Madhnagar,6403
6410,রাজশাহী,নাটোর,লক্ষ্মণ,লক্ষ্মণ,৬৪১০,Rajshahi,Natore,Laxman,Laxman,6410
6420,রাজশাহী,নাটোর,গোপালপুর Upo,গোপালপুর U.P.O,৬৪২০,Rajshahi,Natore,Gopalpur UPO,Gopalpur U.P.O,6420
6421,রাজশাহী,নাটোর,গোপালপুর Upo,লালপুর S.O,৬৪২১,Rajshahi,Natore,Gopalpur UPO,Lalpur S.O,6421
6422,রাজশাহী,নাটোর,গোপালপুর Upo,আব্দুলপুর,৬৪২২,Rajshahi,Natore,Gopalpur UPO,Abdulpur,6422
6430,রাজশাহী,নাটোর,হারুয়া,হারুয়া,৬৪৩০,Rajshahi,Natore,Harua,Harua,6430
6431,রাজশাহী,নাটোর,হারুয়া,দয়ারামপুর,৬৪৩১,Rajshahi,Natore,Harua,Dayarampur,6431
6432,রাজশাহী,নাটোর,হারুয়া,বড়াইগ্রাম,৬৪৩২,Rajshahi,Natore,Harua,Baraigram,6432
6440,রাজশাহী,নাটোর,হাতগুরুদাসপুর,হাতগুরুদাসপুর,৬৪৪০,Rajshahi,Natore,Hatgurudaspur,Hatgurudaspur,6440
6450,রাজশাহী,নাটোর,সিংড়া,সিংড়া,৬৪৫০,Rajshahi,Natore,Singra,Singra,6450
