postcode,bn_division,bn_district,bn_thana,bn_suboffice,bn_postcode,en_division,en_district,en_thana,en_suboffice,en_postcode
5300,রংপুর,নীলফামারী,নীলফামারী সদর,নীলফামারী সদর,৫৩০০,Rangpur,Nilphamari,Nilphamari Sadar,Nilphamari Sadar,5300
5301,রংপুর,নীলফামারী,নীলফামারী সদর,নীলফামারী চিনি মিল,৫৩০১,Rangpur,Nilphamari,Nilphamari Sadar,Nilphamari Sugar Mil,5301
5310,রংপুর,নীলফামারী,সৈয়দপুর,সৈয়দপুর,৫৩১০,Rangpur,Nilphamari,Saidpur,Saidpur,5310
5311,রংপুর,নীলফামারী,সৈয়দপুর,সৈয়দপুর উপশহর,৫৩১১,Rangpur,Nilphamari,Saidpur,Saidpur Upashahar,5311
5320,রংপুর,নীলফামারী,কিশোরীগঞ্জ,কিশোরীগঞ্জ,৫৩২০,Rangpur,Nilphamari,Kishoriganj,Kishoriganj,5320
5330,রংপুর,নীলফামারী,জলঢাকা,জলঢাকা,৫৩৩০,Rangpur,Nilphamari,Jaldhaka,Jaldhaka,5330
5340,রংপুর,নীলফামারী,ডোমার,ডোমার,৫৩৪০,Rangpur,Nilphamari,Domar,Domar,5340
5341,রংপুর,নীলফামারী,ডোমার,চিলাহাটি,৫৩৪১,Rangpur,Nilphamari,Domar,Chilahati,5341
5350,রংপুর,নীলফামারী,ডিমলা,ডিমলা,৫৩৫০,Rangpur,Nilphamari,Dimla,Dimla,5350
5351,রংপুর,নীলফামারী,ডিমলা,ঘাগা খড়িবাড়ি,৫৩৫১,Rangpur,Nilphamari,Dimla,Ghaga Kharibari,5351
