postcode,bn_division,bn_district,bn_thana,bn_suboffice,bn_postcode,en_division,en_district,en_thana,en_suboffice,en_postcode
6600,রাজশাহী,পাবনা,পাবনা সদর,পাবনা সদর,৬৬০০,Rajshahi,Pabna,Pabna Sadar,Pabna Sadar,6600
6601,রাজশাহী,পাবনা,পাবনা সদর,কালিকো কটন মিলস,৬৬০১,Rajshahi,Pabna,Pabna Sadar,Kaliko Cotton Mills,6601
6602,রাজশাহী,পাবনা,পাবনা সদর,হেমায়েতপুর,৬৬০২,Rajshahi,Pabna,Pabna Sadar,Hamayetpur,6602
6610,রাজশাহী,পাবনা,আটঘরিয়া,আটঘরিয়া,৬৬১০,Rajshahi,Pabna,Atghoria,Atghoria,6610
6620,রাজশাহী,পাবনা,ঈশ্বরদী,ঈশ্বরদী,৬৬২০,Rajshahi,Pabna,Ishwardi,Ishwardi,6620
6621,রাজশাহী,পাবনা,ঈশ্বরদী,ধাপারী,৬৬২১,Rajshahi,Pabna,Ishwardi,Dhapari,6621
6622,রাজশাহী,পাবনা,ঈশ্বরদী,পাকশী,৬৬২২,Rajshahi,Pabna,Ishwardi,Pakshi,6622
6623,রাজশাহী,পাবনা,ঈশ্বরদী,রাজাপুর,৬৬২৩,Rajshahi,Pabna,Ishwardi,Rajapur,6623
6630,রাজশাহী,পাবনা,চাটমোহর,চাটমোহর,৬৬৩০,Rajshahi,Pabna,Chatmohar,Chatmohar,6630
6640,রাজশাহী,পাবনা,ভাঙ্গুরা,ভাঙ্গুরা,৬৬৪০,Rajshahi,Pabna,Bhangura,Bhangura,6640
6650,রাজশাহী,পাবনা,ফরিদপুর,ফরিদপুর,৬৬৫০,Rajshahi,Pabna,Banwarinagar,Banwarinagar,6650
6660,রাজশাহী,পাবনা,সুজানগর,সুজানগর,৬৬৬০,Rajshahi,Pabna,Sujanagar,Sujanagar,6660
6661,রাজশাহী,পাবনা,সুজানগর,সাগরকান্দি,৬৬৬১,Rajshahi,Pabna,Sujanagar,Sagarkandi,6661
6670,রাজশাহী,পাবনা,সাঁথিয়া,সাঁথিয়া,৬৬৭০,Rajshahi,Pabna,Sathia,Sathia,6670
6680,রাজশাহী,পাবনা,বেড়া,বেড়া,৬৬৮০,Rajshahi,Pabna,Bera,Bera,6680
6681,রাজশাহী,পাবনা,বেড়া,নাকালিয়া,৬৬৮১,Rajshahi,Pabna,Bera,Nakalia,6681
6682,রাজশাহী,পাবনা,বেড়া,কাশিনাথপুর,৬৬৮২,Rajshahi,Pabna,Bera,Kashinathpur,6682
6683,রাজশাহী,পাবনা,বেড়া,পুরান ভারেঙ্গা,৬৬৮৩,Rajshahi,Pabna,Bera,Puran Bharenga,6683
