postcode,bn_division,bn_district,bn_thana,bn_suboffice,bn_postcode,en_division,en_district,en_thana,en_suboffice,en_postcode
8500,বরিশাল,পিরোজপুর,পিরোজপুর সদর,পিরোজপুর সদর,৮৫০০,Barisal,Pirojpur,Pirojpur Sadar,Pirojpur Sadar,8500
8501,বরিশাল,পিরোজপুর,পিরোজপুর সদর,হুলারহাট,৮৫০১,Barisal,Pirojpur,Pirojpur Sadar,Hularhat,8501
8502,বরিশাল,পিরোজপুর,পিরোজপুর সদর,পারেরহাট,৮৫০২,Barisal,Pirojpur,Pirojpur Sadar,Parerhat,8502
8510,বরিশাল,পিরোজপুর,কাউখালী,কাউখালী,৮৫১০,Barisal,Pirojpur,kaukhali,Kaukhali,8510
8511,বরিশাল,পিরোজপুর,কাউখালী,কেউন্দিয়া,৮৫১১,Barisal,Pirojpur,kaukhali,Keundia,8511
8512,বরিশাল,পিরোজপুর,কাউখালী,জয়কুল,৮৫১২,Barisal,Pirojpur,kaukhali,Joykul,8512
8513,বরিশাল,পিরোজপুর,কাউখালী,জোলাগাতি,৮৫১৩,Barisal,Pirojpur,kaukhali,Jolagati,8513
8520,বরিশাল,পিরোজপুর,স্বরূপকাঠি,স্বরূপকাঠি,৮৫২০,Barisal,Pirojpur,Swarupkathi,Swarupkathi,8520
8521,বরিশাল,পিরোজপুর,স্বরূপকাঠি,দারুস সুন্নাত,৮৫২১,Barisal,Pirojpur,Swarupkathi,Darus Sunnat,8521
8522,বরিশাল,পিরোজপুর,স্বরূপকাঠি,কৌরিখাড়া,৮৫২২,Barisal,Pirojpur,Swarupkathi,Kaurikhara,8522
8523,বরিশাল,পিরোজপুর,স্বরূপকাঠি,জালাবাড়ি,৮৫২৩,Barisal,Pirojpur,Swarupkathi,Jalabari,8523
8530,বরিশাল,পিরোজপুর,বানারীপাড়া,বানারীপাড়া,৮৫৩০,Barisal,Pirojpur,Banaripara,Banaripara,8530
8531,বরিশাল,পিরোজপুর,বানারীপাড়া,চাখার,৮৫৩১,Barisal,Pirojpur,Banaripara,Chakhar,8531
8540,বরিশাল,পিরোজপুর,নাজিরপুর,নাজিরপুর,৮৫৪০,Barisal,Pirojpur,Nazirpur,Nazirpur,8540
8541,বরিশাল,পিরোজপুর,নাজিরপুর,শ্রীরামকাঠি,৮৫৪১,Barisal,Pirojpur,Nazirpur,Sriramkathi,8541
8550,বরিশাল,পিরোজপুর,ভান্ডারিয়া,ভান্ডারিয়া,৮৫৫০,Barisal,Pirojpur,Bhandaria,Bhandaria,8550
8551,বরিশাল,পিরোজপুর,ভান্ডারিয়া,কানুদাসকাঠি,৮৫৫১,Barisal,Pirojpur,Bhandaria,Kanudashkathi,8551
8552,বরিশাল,পিরোজপুর,ভান্ডারিয়া,ধাওয়া,৮৫৫২,Barisal,Pirojpur,Bhandaria,Dhaoa,8552
8560,বরিশাল,পিরোজপুর,মঠবাড়িয়া,মঠবাড়িয়া,৮৫৬০,Barisal,Pirojpur,Mathbaria,Mathbaria,8560
8561,বরিশাল,পিরোজপুর,মঠবাড়িয়া,তুষখালি,৮৫৬১,Barisal,Pirojpur,Mathbaria,Tushkhali,8561
8562,বরিশাল,পিরোজপুর,মঠবাড়িয়া,হাল্টা,৮৫৬২,Barisal,Pirojpur,Mathbaria,Halta,8562
8563,বরিশাল,পিরোজপুর,মঠবাড়িয়া,গুলিশাখালী,৮৫৬৩,Barisal,Pirojpur,Mathbaria,Gulishakhali,8563
8564,বরিশাল,পিরোজপুর,মঠবাড়িয়া,টিয়ারখালী,৮৫৬৪,Barisal,Pirojpur,Mathbaria,Tiarkhali,8564
8565,বরিশাল,পিরোজপুর,মঠবাড়িয়া,বেতমোর নতুন হাট,৮৫৬৫,Barisal,Pirojpur,Mathbaria,Betmor Natun Hat,8565
8566,বরিশাল,পিরোজপুর,মঠবাড়িয়া,শিলারগঞ্জ,৮৫৬৬,Barisal,Pirojpur,Mathbaria,Shilarganj,8566
