postcode,bn_division,bn_district,bn_thana,bn_suboffice,bn_postcode,en_division,en_district,en_thana,en_suboffice,en_postcode
4500,চট্টগ্রাম,রাঙ্গামাটি,রাঙ্গামাটি সদর,রাঙ্গামাটি সদর,৪৫০০,Chittagong,Rangamati,Rangamati Sadar,Rangamati Sadar,4500
4510,চট্টগ্রাম,রাঙ্গামাটি,কলমপতি,কলমপতি,৪৫১০,Chittagong,Rangamati,Kalampati,Kalampati,4510
4511,চট্টগ্রাম,রাঙ্গামাটি,কলমপতি,বেতবুনিয়া,৪৫১১,Chittagong,Rangamati,Kalampati,Betbunia,4511
4520,চট্টগ্রাম,রাঙ্গামাটি,নানিয়ারচর,নানিচর,৪৫২০,Chittagong,Rangamati,Naniachhar,Nanichhar,4520
4530,চট্টগ্রাম,রাঙ্গামাটি,কাপ্তাই,কাপ্তাই,৪৫৩০,Chittagong,Rangamati,kaptai,Kaptai,4530
4531,চট্টগ্রাম,রাঙ্গামাটি,কাপ্তাই,চন্দ্রঘোনার,৪৫৩১,Chittagong,Rangamati,kaptai,Chandraghona,4531
4532,চট্টগ্রাম,রাঙ্গামাটি,কাপ্তাই,কাপ্তাই প্রকল্প,৪৫৩২,Chittagong,Rangamati,kaptai,Kaptai Project,4532
4533,চট্টগ্রাম,রাঙ্গামাটি,কাপ্তাই,কাপ্তাই নতুন বাজার,৪৫৩৩,Chittagong,Rangamati,kaptai,Kaptai Nuton Bazar,4533
4540,চট্টগ্রাম,রাঙ্গামাটি,রাজস্থালি,রাজস্থালি,৪৫৪০,Chittagong,Rangamati,Rajsthali,Rajsthali,4540
4550,চট্টগ্রাম,রাঙ্গামাটি,বিলাইছড়ি,বিলাইছড়ি,৪৫৫০,Chittagong,Rangamati,Bilaichhari,Bilaichhari,4550
4560,চট্টগ্রাম,রাঙ্গামাটি,জুরাছড়ি,জুরাছড়ি,৪৫৬০,Chittagong,Rangamati,Jarachhari,Jarachhari,4560
4570,চট্টগ্রাম,রাঙ্গামাটি,বরকল,বরকল,৪৫৭০,Chittagong,Rangamati,Barakal,Barakal,4570
4580,চট্টগ্রাম,রাঙ্গামাটি,লংগাছ,লংগাছ,৪৫৮০,Chittagong,Rangamati,Longachh,Longachh,4580
4590,চট্টগ্রাম,রাঙ্গামাটি,মারিশ্যা,মারিশ্যা,৪৫৯০,Chittagong,Rangamati,Marishya,Marishya,4590
