postcode,bn_division,bn_district,bn_thana,bn_suboffice,bn_postcode,en_division,en_district,en_thana,en_suboffice,en_postcode
5400,রংপুর,রংপুর,রংপুর সদর,রংপুর সদর,৫৪০০,Rangpur,Rangpur,Rangpur Sadar,Rangpur Sadar,5400
5401,রংপুর,রংপুর,রংপুর সদর,রংপুর উপশহর,৫৪০১,Rangpur,Rangpur,Rangpur Sadar,Rangpur Upa-Shahar,5401
5402,রংপুর,রংপুর,রংপুর সদর,আলমনগর,৫৪০২,Rangpur,Rangpur,Rangpur Sadar,Alamnagar,5402
5403,রংপুর,রংপুর,রংপুর সদর,মাহিগঞ্জ,৫৪০৩,Rangpur,Rangpur,Rangpur Sadar,Mahiganj,5403
5404,রংপুর,রংপুর,রংপুর সদর,রংপুর ক্যাডেট কলেজ,৫৪০৪,Rangpur,Rangpur,Rangpur Sadar,Rangpur Cadet Colleg,5404
5405,রংপুর,রংপুর,রংপুর সদর,রংপুর কারমাইকেল কলেজ,৫৪০৫,Rangpur,Rangpur,Rangpur Sadar,Rangpur Carmiecal Col,5405
5410,রংপুর,রংপুর,গঙ্গাচড়া,গঙ্গাচড়া,৫৪১০,Rangpur,Rangpur,Gangachara,Gangachara,5410
5420,রংপুর,রংপুর,তারাগঞ্জ,তারাগঞ্জ,৫৪২০,Rangpur,Rangpur,Taraganj,Taraganj,5420
5430,রংপুর,রংপুর,বদরগঞ্জ,বদরগঞ্জ,৫৪৩০,Rangpur,Rangpur,Badarganj,Badarganj,5430
5431,রংপুর,রংপুর,বদরগঞ্জ,শ্যামপুর,৫৪৩১,Rangpur,Rangpur,Badarganj,Shyampur,5431
5440,রংপুর,রংপুর,কাউনিয়া,কাউনিয়া,৫৪৪০,Rangpur,Rangpur,Kaunia,Kaunia,5440
5441,রংপুর,রংপুর,কাউনিয়া,হারাগাছ,৫৪৪১,Rangpur,Rangpur,Kaunia,Haragachh,5441
5450,রংপুর,রংপুর,পীরগাছা,পীরগাছা,৫৪৫০,Rangpur,Rangpur,Pirgachha,Pirgachha,5450
5460,রংপুর,রংপুর,মিঠাপুকুর,মিঠাপুকুর,৫৪৬০,Rangpur,Rangpur,Mithapukur,Mithapukur,5460
5470,রংপুর,রংপুর,পীরগঞ্জ,পীরগঞ্জ,৫৪৭০,Rangpur,Rangpur,Pirganj,Pirganj,5470
