postcode,bn_division,bn_district,bn_thana,bn_suboffice,bn_postcode,en_division,en_district,en_thana,en_suboffice,en_postcode
9400,খুলনা,সাতক্ষীরা,সাতক্ষীরা সদর,সাতক্ষীরা সদর,৯৪০০,Khulna,Satkhira,Satkhira Sadar,Satkhira Sadar,9400
9401,খুলনা,সাতক্ষীরা,সাতক্ষীরা সদর,সাতক্ষীরা ইসলামিয়া Acc,৯৪০১,Khulna,Satkhira,Satkhira Sadar,Satkhira Islamia Acc,9401
9402,খুলনা,সাতক্ষীরা,সাতক্ষীরা সদর,গুণাকরকাঠি,৯৪০২,Khulna,Satkhira,Satkhira Sadar,Gunakar kati,9402
9403,খুলনা,সাতক্ষীরা,সাতক্ষীরা সদর,বুধহাটা,৯৪০৩,Khulna,Satkhira,Satkhira Sadar,Budhhat,9403
9410,খুলনা,সাতক্ষীরা,কলারোয়া,কলারোয়া,৯৪১০,Khulna,Satkhira,kalaroa,Murarikati,9410
9411,খুলনা,সাতক্ষীরা,কলারোয়া,মুরারীকাঠী,৯৪১১,Khulna,Satkhira,kalaroa,Murarikathi,9411
9412,খুলনা,সাতক্ষীরা,কলারোয়া,ঝাউডাঙ্গা,৯৪১২,Khulna,Satkhira,kalaroa,Jhaudanga,9412
9413,খুলনা,সাতক্ষীরা,কলারোয়া,হামিদপুর,৯৪১৩,Khulna,Satkhira,kalaroa,Hamidpur,9413
9414,খুলনা,সাতক্ষীরা,কলারোয়া,খর্দ,৯৪১৪,Khulna,Satkhira,kalaroa,Khordo,9414
9415,খুলনা,সাতক্ষীরা,কলারোয়া,চন্দনপুর,৯৪১৫,Khulna,Satkhira,kalaroa,Chandanpur,9415
9420,খুলনা,সাতক্ষীরা,তালা,তালা,৯৪২০,Khulna,Satkhira,Taala,Taala,9420
9421,খুলনা,সাতক্ষীরা,তালা,পাটকেলঘাটা,৯৪২১,Khulna,Satkhira,Taala,Patkelghata,9421
9430,খুলনা,সাতক্ষীরা,দেবহাটা,দেবহাটা,৯৪৩০,Khulna,Satkhira,Debbhata,Debbhata,9430
9431,খুলনা,সাতক্ষীরা,দেবহাটা,গুরুগ্রাম,৯৪৩১,Khulna,Satkhira,Debbhata,Gurugram,9431
9440,খুলনা,সাতক্ষীরা,কালীগঞ্জ,কালীগঞ্জ,৯৪৪০,Khulna,Satkhira,Kaliganj,Kaliganj,9440
9441,খুলনা,সাতক্ষীরা,কালীগঞ্জ,নলতা মোবারকনগর,৯৪৪১,Khulna,Satkhira,Kaliganj,Nalta Mubaroknagar,9441
9442,খুলনা,সাতক্ষীরা,কালীগঞ্জ,রতনপুর,৯৪৪২,Khulna,Satkhira,Kaliganj,Ratanpur,9442
9450,খুলনা,সাতক্ষীরা,শ্যামনগর,শ্যামনগর,৯৪৫০,Khulna,Satkhira,Nakipur,Nakipur,9450
9451,খুলনা,সাতক্ষীরা,শ্যামনগর,নূরনগর,৯৪৫১,Khulna,Satkhira,Nakipur,Noornagar,9451
9452,খুলনা,সাতক্ষীরা,শ্যামনগর,নোয়াবেকি,৯৪৫২,Khulna,Satkhira,Nakipur,Naobeki,9452
9453,খুলনা,সাতক্ষীরা,শ্যামনগর,বুড়ি গোয়ালিনী,৯৪৫৩,Khulna,Satkhira,Nakipur,Buri Goalini,9453
9454,খুলনা,সাতক্ষীরা,শ্যামনগর,গাবুরা,৯৪৫৪,Khulna,Satkhira,Nakipur,Gabura,9454
9455,খুলনা,সাতক্ষীরা,শ্যামনগর,হবিনগর,৯৪৫৫,Khulna,Satkhira,Nakipur,Habinagar,9455
9460,খুলনা,সাতক্ষীরা,আশাশুনি,আশাশুনি,৯৪৬০,Khulna,Satkhira,Ashashuni,Ashashuni,9460
9461,খুলনা,সাতক্ষীরা,আশাশুনি,বড়দল,৯৪৬১,Khulna,Satkhira,Ashashuni,Baradal,9461
