postcode,bn_division,bn_district,bn_thana,bn_suboffice,bn_postcode,en_division,en_district,en_thana,en_suboffice,en_postcode
8000,ঢাকা,শরীয়তপুর,শরীয়তপুর সদর,শরীয়তপুর সদর,৮০০০,Dhaka,Shariatpur,Shariatpur Sadar,Shariatpur Sadar,8000
8001,ঢাকা,শরীয়তপুর,শরীয়তপুর সদর,আঙ্গারিয়া,৮০০১,Dhaka,Shariatpur,Shariatpur Sadar,Angaria,8001
8002,ঢাকা,শরীয়তপুর,শরীয়তপুর সদর,চিকান্দি,৮০০২,Dhaka,Shariatpur,Shariatpur Sadar,Chikandi,8002
8010,ঢাকা,শরীয়তপুর,জাজিরা,জাজিরা,৮০১০,Dhaka,Shariatpur,Jajira,Jajira,8010
8020,ঢাকা,শরীয়তপুর,নড়িয়া,নড়িয়া,৮০২০,Dhaka,Shariatpur,Naria,Naria,8020
8021,ঢাকা,শরীয়তপুর,নড়িয়া,ভোজেশ্বর,৮০২১,Dhaka,Shariatpur,Naria,Bhozeshwar,8021
8022,ঢাকা,শরীয়তপুর,নড়িয়া,ঘারিসার,৮০২২,Dhaka,Shariatpur,Naria,Gharisar,8022
8023,ঢাকা,শরীয়তপুর,নড়িয়া,উপশি,৮০২৩,Dhaka,Shariatpur,Naria,Upshi,8023
8024,ঢাকা,শরীয়তপুর,নড়িয়া,কার্তিকপুর,৮০২৪,Dhaka,Shariatpur,Naria,Kartikpur,8024
8030,ঢাকা,শরীয়তপুর,ভেদোরগঞ্জ,ভেদোরগঞ্জ,৮০৩০,Dhaka,Shariatpur,Bhedorganj,Bhedorganj,8030
8040,ঢাকা,শরীয়তপুর,দামুধ্যা,দামুধ্যা,৮০৪০,Dhaka,Shariatpur,Damudhya,Damudhya,8040
8050,ঢাকা,শরীয়তপুর,গোসাইরহাট,গোসাইরহাট,৮০৫০,Dhaka,Shariatpur,Gosairhat,Gosairhat,8050
