postcode,bn_division,bn_district,bn_thana,bn_suboffice,bn_postcode,en_division,en_district,en_thana,en_suboffice,en_postcode
6700,রাজশাহী,সিরাজগঞ্জ,সিরাজগঞ্জ সদর,সিরাজগঞ্জ সদর,৬৭০০,Rajshahi,Sirajganj,Sirajganj Sadar,Sirajganj Sadar,6700
6701,রাজশাহী,সিরাজগঞ্জ,সিরাজগঞ্জ সদর,রায়পুর,৬৭০১,Rajshahi,Sirajganj,Sirajganj Sadar,Raipur,6701
6702,রাজশাহী,সিরাজগঞ্জ,সিরাজগঞ্জ সদর,রাশিদাবাদ,৬৭০২,Rajshahi,Sirajganj,Sirajganj Sadar,Rashidabad,6702
6710,রাজশাহী,সিরাজগঞ্জ,কাজীপুর,কাজীপুর,৬৭১০,Rajshahi,Sirajganj,Kazipur,Kazipur,6710
6711,রাজশাহী,সিরাজগঞ্জ,কাজীপুর,শুভগাছা,৬৭১১,Rajshahi,Sirajganj,Kazipur,Shuvgachha,6711
6712,রাজশাহী,সিরাজগঞ্জ,কাজীপুর,গান্ধাইল,৬৭১২,Rajshahi,Sirajganj,Kazipur,Gandail,6712
6720,রাজশাহী,সিরাজগঞ্জ,ধানগড়া,ধানগড়া,৬৭২০,Rajshahi,Sirajganj,Dhangora,Dhangora,6720
6721,রাজশাহী,সিরাজগঞ্জ,ধানগড়া,মালঙ্গা,৬৭২১,Rajshahi,Sirajganj,Dhangora,Malonga,6721
6730,রাজশাহী,সিরাজগঞ্জ,বাইদ্দ্যা জামতৈল,বাইদ্দ্যা জামতৈল,৬৭৩০,Rajshahi,Sirajganj,Baiddya Jam Toil,Baiddya Jam Toil,6730
6740,রাজশাহী,সিরাজগঞ্জ,বেলকুচি,বেলকুচি,৬৭৪০,Rajshahi,Sirajganj,Belkuchi,Belkuchi,6740
6741,রাজশাহী,সিরাজগঞ্জ,বেলকুচি,সোহাগপুর,৬৭৪১,Rajshahi,Sirajganj,Belkuchi,Sohagpur,6741
6742,রাজশাহী,সিরাজগঞ্জ,বেলকুচি,রাজাপুর,৬৭৪২,Rajshahi,Sirajganj,Belkuchi,Rajapur,6742
6751,রাজশাহী,সিরাজগঞ্জ,বেলকুচি,এনায়েতপুর,৬৭৫১,Rajshahi,Sirajganj,Belkuchi,Enayetpur,6751
6752,রাজশাহী,সিরাজগঞ্জ,বেলকুচি,স্থল,৬৭৫২,Rajshahi,Sirajganj,Belkuchi,Sthal,6752
6760,রাজশাহী,সিরাজগঞ্জ,উল্লাপাড়া,উল্লাপাড়া,৬৭৬০,Rajshahi,Sirajganj,Ullapara,Ullapara,6760
6761,রাজশাহী,সিরাজগঞ্জ,উল্লাপাড়া,উল্লাপাড়া R.S,৬৭৬১,Rajshahi,Sirajganj,Ullapara,Ullapara R.S,6761
6762,রাজশাহী,সিরাজগঞ্জ,উল্লাপাড়া,লাহিড়ী মোহনপুর,৬৭৬২,Rajshahi,Sirajganj,Ullapara,Lahiri Mohanpur,6762
6763,রাজশাহী,সিরাজগঞ্জ,উল্লাপাড়া,সালাপ,৬৭৬৩,Rajshahi,Sirajganj,Ullapara,Salap,6763
6770,রাজশাহী,সিরাজগঞ্জ,শাহজাদপুর,শাহজাদপুর,৬৭৭০,Rajshahi,Sirajganj,Shahjadpur,Shahjadpur,6770
6771,রাজশাহী,সিরাজগঞ্জ,শাহজাদপুর,পরজানা,৬৭৭১,Rajshahi,Sirajganj,Shahjadpur,Porjana,6771
6772,রাজশাহী,সিরাজগঞ্জ,শাহজাদপুর,জামিরটা,৬৭৭২,Rajshahi,Sirajganj,Shahjadpur,Jamirta,6772
6773,রাজশাহী,সিরাজগঞ্জ,শাহজাদপুর,কৈজুরী,৬৭৭৩,Rajshahi,Sirajganj,Shahjadpur,Kaijuri,6773
6780,রাজশাহী,সিরাজগঞ্জ,তাড়াশ,তাড়াশ,৬৭৮০,Rajshahi,Sirajganj,Tarash,Tarash,6780
