postcode,bn_division,bn_district,bn_thana,bn_suboffice,bn_postcode,en_division,en_district,en_thana,en_suboffice,en_postcode
3000,সিলেট,সুনামগঞ্জ,সুনামগঞ্জ সদর,সুনামগঞ্জ সদর,৩০০০,Sylhet,Sunamganj,Sunamganj Sadar,Sunamganj Sadar,3000
3001,সিলেট,সুনামগঞ্জ,সুনামগঞ্জ সদর,পাগলা,৩০০১,Sylhet,Sunamganj,Sunamganj Sadar,Pagla,3001
3002,সিলেট,সুনামগঞ্জ,সুনামগঞ্জ সদর,পাথারিয়া,৩০০২,Sylhet,Sunamganj,Sunamganj Sadar,Patharia,3002
3010,সিলেট,সুনামগঞ্জ,বিশম্ভরপুর,বিশম্ভরপুর,৩০১০,Sylhet,Sunamganj,Bishamsarpur,Bishamsapur,3010
3020,সিলেট,সুনামগঞ্জ,সাচনা,সাচনা,৩০২০,Sylhet,Sunamganj,Sachna,Sachna,3020
3030,সিলেট,সুনামগঞ্জ,তাহিরপুর,তাহিরপুর,৩০৩০,Sylhet,Sunamganj,Tahirpur,Tahirpur,3030
3040,সিলেট,সুনামগঞ্জ,দিরাই চাঁদপুর,দিরাই চাঁদপুর,৩০৪০,Sylhet,Sunamganj,Dhirai Chandpur,Dhirai Chandpur,3040
3041,সিলেট,সুনামগঞ্জ,দিরাই চাঁদপুর,জগদল,৩০৪১,Sylhet,Sunamganj,Dhirai Chandpur,Jagdal,3041
3050,সিলেট,সুনামগঞ্জ,ঘুঙ্গিয়ার,ঘুঙ্গিয়ার,৩০৫০,Sylhet,Sunamganj,Ghungiar,Ghungiar,3050
3060,সিলেট,সুনামগঞ্জ,জগন্নাথপুর,জগন্নাথপুর,৩০৬০,Sylhet,Sunamganj,Jagnnathpur,Jagnnathpur,3060
3061,সিলেট,সুনামগঞ্জ,জগন্নাথপুর,সৈয়দপুর,৩০৬১,Sylhet,Sunamganj,Jagnnathpur,Saidpur,3061
3062,সিলেট,সুনামগঞ্জ,জগন্নাথপুর,আতুয়াজান,৩০৬২,Sylhet,Sunamganj,Jagnnathpur,Atuajan,3062
3063,সিলেট,সুনামগঞ্জ,জগন্নাথপুর,হাসান ফাতেমাপুর,৩০৬৩,Sylhet,Sunamganj,Jagnnathpur,Hasan Fatemapur,3063
3064,সিলেট,সুনামগঞ্জ,জগন্নাথপুর,রাসূলগঞ্জ,৩০৬৪,Sylhet,Sunamganj,Jagnnathpur,Rasulganj,3064
3065,সিলেট,সুনামগঞ্জ,জগন্নাথপুর,শিরামসি,৩০৬৫,Sylhet,Sunamganj,Jagnnathpur,Shiramsi,3065
3070,সিলেট,সুনামগঞ্জ,দুয়ারা বাজার,দুয়ারা বাজার,৩০৭০,Sylhet,Sunamganj,Duara bazar,Duara bazar,3070
3080,সিলেট,সুনামগঞ্জ,ছাতক,ছাতক,৩০৮০,Sylhet,Sunamganj,Chhatak,Chhatak,3080
3081,সিলেট,সুনামগঞ্জ,ছাতক,ছাতক সিমেন্ট ফ্যাক্টরি,৩০৮১,Sylhet,Sunamganj,Chhatak,Chhatak Cement Facto,3081
3082,সিলেট,সুনামগঞ্জ,ছাতক,ছাতক পেপার মিলস,৩০৮২,Sylhet,Sunamganj,Chhatak,Chhatak Paper Mills,3082
3083,সিলেট,সুনামগঞ্জ,ছাতক,গোবিন্দগঞ্জ,৩০৮৩,Sylhet,Sunamganj,Chhatak,Gabindaganj,3083
3084,সিলেট,সুনামগঞ্জ,ছাতক,গোবিন্দগঞ্জ নতুন বাজার,৩০৮৪,Sylhet,Sunamganj,Chhatak,Gabindaganj Natun Ba,3084
3085,সিলেট,সুনামগঞ্জ,ছাতক,খুরমা,৩০৮৫,Sylhet,Sunamganj,Chhatak,Khurma,3085
3086,সিলেট,সুনামগঞ্জ,ছাতক,মৈনপুর,৩০৮৬,Sylhet,Sunamganj,Chhatak,Moinpur,3086
3087,সিলেট,সুনামগঞ্জ,ছাতক,জাহিদপুর,৩০৮৭,Sylhet,Sunamganj,Chhatak,jahidpur,3087
3088,সিলেট,সুনামগঞ্জ,ছাতক,ইসলামাবাদ,৩০৮৮,Sylhet,Sunamganj,Chhatak,Islamabad,3088
