postcode,bn_division,bn_district,bn_thana,bn_suboffice,bn_postcode,en_division,en_district,en_thana,en_suboffice,en_postcode
3100,সিলেট,সিলেট,সিলেট সদর,সিলেট সদর,৩১০০,Sylhet,Sylhet,Sylhet Sadar,Sylhet Sadar,3100
3101,সিলেট,সিলেট,সিলেট সদর,সিলেট ক্যাডেট কলেজ,৩১০১,Sylhet,Sylhet,Sylhet Sadar,Mangal Kandi,3101
3102,সিলেট,সিলেট,সিলেট সদর,সিলেট বিমান বন্দর,৩১০২,Sylhet,Sylhet,Sylhet Sadar,Sylhet Biman Bondar,3102
3103,সিলেট,সিলেট,সিলেট সদর,খাদিমনগর,৩১০৩,Sylhet,Sylhet,Sylhet Sadar,Khadimnagar,3103
3104,সিলেট,সিলেট,সিলেট সদর,জালালাবাদ সেনানিবাস,৩১০৪,Sylhet,Sylhet,Sylhet Sadar,Jalalabad Cantoment,3104
3105,সিলেট,সিলেট,সিলেট সদর,সিলাম,৩১০৫,Sylhet,Sylhet,Sylhet Sadar,Silam,3105
3106,সিলেট,সিলেট,সিলেট সদর,বিরাহিমপুর,৩১০৬,Sylhet,Sylhet,Sylhet Sadar,Birahimpur,3106
3107,সিলেট,সিলেট,সিলেট সদর,জালালাবাদ,৩১০৭,Sylhet,Sylhet,Sylhet Sadar,Jalalabad,3107
3108,সিলেট,সিলেট,সিলেট সদর,মগ্লা,৩১০৮,Sylhet,Sylhet,Sylhet Sadar,Mogla,3108
3109,সিলেট,সিলেট,সিলেট সদর,রাঙ্গা হাজীগঞ্জ,৩১০৯,Sylhet,Sylhet,Sylhet Sadar,Ranga Hajiganj,3109
3111,সিলেট,সিলেট,সিলেট সদর,কদমতলী,৩১১১,Sylhet,Sylhet,Sylhet Sadar,Kadamtali,3111
3112,সিলেট,সিলেট,সিলেট সদর,কামালবাজার,৩১১২,Sylhet,Sylhet,Sylhet Sadar,Kamalbazer,3112
3113,সিলেট,সিলেট,সিলেট সদর,লালবাজার,৩১১৩,Sylhet,Sylhet,Sylhet Sadar,Lalbazar,3113
3114,সিলেট,সিলেট,সিলেট সদর,শাহ্‌জালাল বিজ্ঞান ও প্রযুক্তি,৩১১৪,Sylhet,Sylhet,Sylhet Sadar,Shahajalal Science &amp;,3114
3116,সিলেট,সিলেট,ফেঞ্চুগঞ্জ,ফেঞ্চুগঞ্জ,৩১১৬,Sylhet,Sylhet,Fenchuganj,Fenchuganj,3116
3117,সিলেট,সিলেট,ফেঞ্চুগঞ্জ,ফেঞ্চুগঞ্জ সার কারখানা,৩১১৭,Sylhet,Sylhet,Fenchuganj,Fenchuganj SareKarkh,3117
3120,সিলেট,সিলেট,বালাগঞ্জ,বালাগঞ্জ,৩১২০,Sylhet,Sylhet,Balaganj,Balaganj,3120
3121,সিলেট,সিলেট,বালাগঞ্জ,করুয়া,৩১২১,Sylhet,Sylhet,Balaganj,Karua,3121
3122,সিলেট,সিলেট,বালাগঞ্জ,ব্রহ্ম শাসন,৩১২২,Sylhet,Sylhet,Balaganj,Brahman Shashon,3122
3123,সিলেট,সিলেট,বালাগঞ্জ,তাজপুর,৩১২৩,Sylhet,Sylhet,Balaganj,Tajpur,3123
3124,সিলেট,সিলেট,বালাগঞ্জ,গোয়ালা বাজার,৩১২৪,Sylhet,Sylhet,Balaganj,Goala Bazar,3124
3125,সিলেট,সিলেট,বালাগঞ্জ,বেগমপুর,৩১২৫,Sylhet,Sylhet,Balaganj,Begumpur,3125
