postcode,bn_division,bn_district,bn_thana,bn_suboffice,bn_postcode,en_division,en_district,en_thana,en_suboffice,en_postcode
1900,ঢাকা,টাঙ্গাইল,টাঙ্গাইল সদর,টাঙ্গাইল সদর,১৯০০,Dhaka,Tangail,Tangail Sadar,Tangail Sadar,1900
1901,ঢাকা,টাঙ্গাইল,টাঙ্গাইল সদর,কাগমারি,১৯০১,Dhaka,Tangail,Tangail Sadar,Kagmari,1901
1902,ঢাকা,টাঙ্গাইল,টাঙ্গাইল সদর,সন্তোষ,১৯০২,Dhaka,Tangail,Tangail Sadar,Santosh,1902
1903,ঢাকা,টাঙ্গাইল,টাঙ্গাইল সদর,করোতিয়া,১৯০৩,Dhaka,Tangail,Tangail Sadar,Korotia,1903
1904,ঢাকা,টাঙ্গাইল,টাঙ্গাইল সদর,পুড়াবাড়ি,১৯০৪,Dhaka,Tangail,Tangail Sadar,Purabari,1904
1910,ঢাকা,টাঙ্গাইল,দেলদুয়ার,দেলদুয়ার,১৯১০,Dhaka,Tangail,Delduar,Delduar,1910
1911,ঢাকা,টাঙ্গাইল,দেলদুয়ার,জাঙ্গালিয়া,১৯১১,Dhaka,Tangail,Delduar,Jangalia,1911
1912,ঢাকা,টাঙ্গাইল,দেলদুয়ার,পাঠারাইল,১৯১২,Dhaka,Tangail,Delduar,Patharail,1912
1913,ঢাকা,টাঙ্গাইল,দেলদুয়ার,ইলাসিন,১৯১৩,Dhaka,Tangail,Delduar,Elasin,1913
1914,ঢাকা,টাঙ্গাইল,দেলদুয়ার,হিংগা নগর,১৯১৪,Dhaka,Tangail,Delduar,Hinga Nagar,1914
1915,ঢাকা,টাঙ্গাইল,দেলদুয়ার,লউহাটি,১৯১৫,Dhaka,Tangail,Delduar,Lowhati,1915
1920,ঢাকা,টাঙ্গাইল,বাসাইল,বাসাইল,১৯২০,Dhaka,Tangail,Basail,Basail,1920
1930,ঢাকা,টাঙ্গাইল,কাশকাওলিয়া,কাশকাওলিয়া,১৯৩০,Dhaka,Tangail,Kashkaolia,Kashkawlia,1930
1936,ঢাকা,টাঙ্গাইল,নাগরপুর,নাগরপুর,১৯৩৬,Dhaka,Tangail,Nagarpur,Nagarpur,1936
1937,ঢাকা,টাঙ্গাইল,নাগরপুর,ধুবুরিয়া,১৯৩৭,Dhaka,Tangail,Nagarpur,Dhuburia,1937
1938,ঢাকা,টাঙ্গাইল,নাগরপুর,সলিমাবাদ,১৯৩৮,Dhaka,Tangail,Nagarpur,Salimabad,1938
1940,ঢাকা,টাঙ্গাইল,মির্জাপুর,মির্জাপুর,১৯৪০,Dhaka,Tangail,Mirzapur,Mirzapur,1940
1941,ঢাকা,টাঙ্গাইল,মির্জাপুর,গড়াই,১৯৪১,Dhaka,Tangail,Mirzapur,Gorai,1941
1942,ঢাকা,টাঙ্গাইল,মির্জাপুর,এম.সি. কলেজ,১৯৪২,Dhaka,Tangail,Mirzapur,M.C. College,1942
1943,ঢাকা,টাঙ্গাইল,মির্জাপুর,ওয়ারী পাইকপাড়া,১৯৪৩,Dhaka,Tangail,Mirzapur,Warri paikpara,1943
1944,ঢাকা,টাঙ্গাইল,মির্জাপুর,জারমুকি,১৯৪৪,Dhaka,Tangail,Mirzapur,Jarmuki,1944
1945,ঢাকা,টাঙ্গাইল,মির্জাপুর,মহেরা,১৯৪৫,Dhaka,Tangail,Mirzapur,Mohera,1945
