postcode,bn_division,bn_district,bn_thana,bn_suboffice,bn_postcode,en_division,en_district,en_thana,en_suboffice,en_postcode
5100,রংপুর,ঠাকুরগাঁও,ঠাকুরগাঁও সদর,ঠাকুরগাঁও সদর,৫১০০,Rangpur,Thakurgaon,Thakurgaon Sadar,Thakurgaon Sadar,5100
5101,রংপুর,ঠাকুরগাঁও,ঠাকুরগাঁও সদর,ঠাকুরগাঁও রোড,৫১০১,Rangpur,Thakurgaon,Thakurgaon Sadar,Thakurgaon Road,5101
5102,রংপুর,ঠাকুরগাঁও,ঠাকুরগাঁও সদর,শিবগঞ্জ,৫১০২,Rangpur,Thakurgaon,Thakurgaon Sadar,Shibganj,5102
5103,রংপুর,ঠাকুরগাঁও,ঠাকুরগাঁও সদর,রুহিয়া,৫১০৩,Rangpur,Thakurgaon,Thakurgaon Sadar,Ruhia,5103
5110,রংপুর,ঠাকুরগাঁও,পীরগঞ্জ,পীরগঞ্জ,৫১১০,Rangpur,Thakurgaon,Pirganj,Pirganj,5110
5120,রংপুর,ঠাকুরগাঁও,রাণীশংকৈল,রাণীশংকৈল,৫১২০,Rangpur,Thakurgaon,Rani Sankail,Rani Sankail,5120
5121,রংপুর,ঠাকুরগাঁও,রাণীশংকৈল,নেকমরদ,৫১২১,Rangpur,Thakurgaon,Rani Sankail,Nekmarad,5121
5130,রংপুর,ঠাকুরগাঁও,জীবনপুর,জীবনপুর,৫১৩০,Rangpur,Thakurgaon,Jibanpur,Jibanpur,5130
5140,রংপুর,ঠাকুরগাঁও,বালিয়াডাঙ্গী,বালিয়াডাঙ্গী,৫১৪০,Rangpur,Thakurgaon,Baliadangi,Baliadangi,5140
5141,রংপুর,ঠাকুরগাঁও,বালিয়াডাঙ্গী,লাহিড়ি,৫১৪১,Rangpur,Thakurgaon,Baliadangi,Lahiri,5141
