postcode,bn_division,bn_district,bn_thana,bn_suboffice,bn_postcode,en_division,en_district,en_thana,en_suboffice,en_postcode
8200,বরিশাল,বরিশাল,বরিশাল সদর,বরিশাল সদর,৮২০০,Barisal,Barisal,Barishal Sadar,Chandramohon,8200
8201,বরিশাল,বরিশাল,বরিশাল সদর,বুখায়নগর,৮২০১,Barisal,Barisal,Barishal Sadar,Bukhainagar,8201
8202,বরিশাল,বরিশাল,বরিশাল সদর,সাহেবেরহাট,৮২০২,Barisal,Barisal,Barishal Sadar,Saheberhat,8202
8203,বরিশাল,বরিশাল,বরিশাল সদর,সুগন্দিয়া,৮২০৩,Barisal,Barisal,Barishal Sadar,Sugandia,8203
8204,বরিশাল,বরিশাল,বরিশাল সদর,পাতাং,৮২০৪,Barisal,Barisal,Barishal Sadar,Patang,8204
8205,বরিশাল,বরিশাল,বরিশাল সদর,কাশীপুর,৮২০৫,Barisal,Barisal,Barishal Sadar,Kashipur,8205
8206,বরিশাল,বরিশাল,বরিশাল সদর,জাগুয়ারহাট,৮২০৬,Barisal,Barisal,Barishal Sadar,Jaguarhat,8206
8210,বরিশাল,বরিশাল,বাবুগঞ্জ,বাবুগঞ্জ,৮২১০,Barisal,Barisal,Babuganj,Babuganj,8210
8211,বরিশাল,বরিশাল,বাবুগঞ্জ,রহমতপুর,৮২১১,Barisal,Barisal,Babuganj,Rahamatpur,8211
8212,বরিশাল,বরিশাল,বাবুগঞ্জ,চাঁদপাশা,৮২১২,Barisal,Barisal,Babuganj,Chandpasha,8212
8213,বরিশাল,বরিশাল,বাবুগঞ্জ,মাধবপাশা,৮২১৩,Barisal,Barisal,Babuganj,Madhabpasha,8213
8214,বরিশাল,বরিশাল,বাবুগঞ্জ,ঠাকুর মল্লিক,৮২১৪,Barisal,Barisal,Babuganj,Thakur Mallik,8214
8215,বরিশাল,বরিশাল,বাবুগঞ্জ,নিজামউদ্দিন কলেজ,৮২১৫,Barisal,Barisal,Babuganj,Nizamuddin College,8215
8216,বরিশাল,বরিশাল,বাবুগঞ্জ,বরিশাল ক্যাডেট,৮২১৬,Barisal,Barisal,Babuganj,Barishal Cadet,8216
8220,বরিশাল,বরিশাল,উজিরপুর,উজিরপুর,৮২২০,Barisal,Barisal,Uzirpur,Uzirpur,8220
8221,বরিশাল,বরিশাল,উজিরপুর,ধামুরা,৮২২১,Barisal,Barisal,Uzirpur,Dhamura,8221
8222,বরিশাল,বরিশাল,উজিরপুর,জুগিরকান্দা,৮২২২,Barisal,Barisal,Uzirpur,Jugirkanda,8222
8223,বরিশাল,বরিশাল,উজিরপুর,ডাকুয়ারহাট,৮২২৩,Barisal,Barisal,Uzirpur,Dakuarhat,8223
8224,বরিশাল,বরিশাল,উজিরপুর,শিকারপুর,৮২২৪,Barisal,Barisal,Uzirpur,Shikarpur,8224
8230,বরিশাল,বরিশাল,গৌরনদী,গৌরনদী,৮২৩০,Barisal,Barisal,Gouranadi,Gouranadi,8230
8231,বরিশাল,বরিশাল,গৌরনদী,তার্কি বন্দর,৮২৩১,Barisal,Barisal,Gouranadi,Tarki Bandar,8231
8232,বরিশাল,বরিশাল,গৌরনদী,কাসেমাবাদ,৮২৩২,Barisal,Barisal,Gouranadi,Kashemabad,8232
8233,বরিশাল,বরিশাল,গৌরনদী,বাটাজোর,৮২৩৩,Barisal,Barisal,Gouranadi,Batajor,8233
8240,বরিশাল,বরিশাল,আগাইলঝড়া,আগাইলঝড়া,৮২৪০,Barisal,Barisal,Agailzhara,Agailzhara,8240
8241,বরিশাল,বরিশাল,আগাইলঝড়া,গাইলা,৮২৪১,Barisal,Barisal,Agailzhara,Gaila,8241
8242,বরিশাল,বরিশাল,আগাইলঝড়া,পয়সারহাট,৮২৪২,Barisal,Barisal,Agailzhara,Paisarhat,8242
8250,বরিশাল,বরিশাল,মুলাদী,মুলাদী,৮২৫০,Barisal,Barisal,Muladi,Muladi,8250
8251,বরিশাল,বরিশাল,মুলাদী,কাজিরচর,৮২৫১,Barisal,Barisal,Muladi,Kazirchar,8251
8252,বরিশাল,বরিশাল,মুলাদী,চরকালেখাঁ,৮২৫২,Barisal,Barisal,Muladi,Charkalekhan,8252
8260,বরিশাল,বরিশাল,বড়জালিয়া,বড়জালিয়া,৮২৬০,Barisal,Barisal,Barajalia,Barajalia,8260
8261,বরিশাল,বরিশাল,বড়জালিয়া,ওসমান মঞ্জিল,৮২৬১,Barisal,Barisal,Barajalia,Osman Manjil,8261
8270,বরিশাল,বরিশাল,মেহেন্দিগঞ্জ,মেহেন্দিগঞ্জ,৮২৭০,Barisal,Barisal,Mahendiganj,Mahendiganj,8270
8271,বরিশাল,বরিশাল,মেহেন্দিগঞ্জ,লস্করপুর,৮২৭১,Barisal,Barisal,Mahendiganj,Laskarpur,8271
8272,বরিশাল,বরিশাল,মেহেন্দিগঞ্জ,উলানিয়া,৮২৭২,Barisal,Barisal,Mahendiganj,Ulania,8272
8273,বরিশাল,বরিশাল,মেহেন্দিগঞ্জ,নালগোরা,৮২৭৩,Barisal,Barisal,Mahendiganj,Nalgora,8273
8274,বরিশাল,বরিশাল,মেহেন্দিগঞ্জ,লেঙ্গুটিয়া,৮২৭৪,Barisal,Barisal,Mahendiganj,Langutia,8274
8280,বরিশাল,বরিশাল,সাহেবগঞ্জ,সাহেবগঞ্জ,৮২৮০,Barisal,Barisal,Bakerganj,Luxmibardhan,8280
