postcode,bn_division,bn_district,bn_thana,bn_suboffice,bn_postcode,en_division,en_district,en_thana,en_suboffice,en_postcode
3400,চট্টগ্রাম,ব্রাহ্মণবাড়িয়া,ব্রাহ্মণবাড়িয়া সদর,ব্রাহ্মণবাড়িয়া সদর,৩৪০০,Chittagong,Brahmanbaria,Brahamanbaria Sadar,Brahamanbaria Sadar,3400
3401,চট্টগ্রাম,ব্রাহ্মণবাড়িয়া,ব্রাহ্মণবাড়িয়া সদর,তালশহর,৩৪০১,Chittagong,Brahmanbaria,Brahamanbaria Sadar,Talshahar,3401
3402,চট্টগ্রাম,ব্রাহ্মণবাড়িয়া,ব্রাহ্মণবাড়িয়া সদর,আশুগঞ্জ,৩৪০২,Chittagong,Brahmanbaria,Brahamanbaria Sadar,Ashuganj,3402
3403,চট্টগ্রাম,ব্রাহ্মণবাড়িয়া,ব্রাহ্মণবাড়িয়া সদর,আশুগঞ্জ সেয়ার,৩৪০৩,Chittagong,Brahmanbaria,Brahamanbaria Sadar,Ashuganj Share,3403
3404,চট্টগ্রাম,ব্রাহ্মণবাড়িয়া,ব্রাহ্মণবাড়িয়া সদর,পুনে,৩৪০৪,Chittagong,Brahmanbaria,Brahamanbaria Sadar,Poun,3404
3410,চট্টগ্রাম,ব্রাহ্মণবাড়িয়া,নবীনগর,নবীনগর,৩৪১০,Chittagong,Brahmanbaria,Nabinagar,Nabinagar,3410
3411,চট্টগ্রাম,ব্রাহ্মণবাড়িয়া,নবীনগর,লাউফতেহপুর,৩৪১১,Chittagong,Brahmanbaria,Nabinagar,Laubfatehpur,3411
3412,চট্টগ্রাম,ব্রাহ্মণবাড়িয়া,নবীনগর,রসুল্লাবাদ,৩৪১২,Chittagong,Brahmanbaria,Nabinagar,Rasullabad,3412
3413,চট্টগ্রাম,ব্রাহ্মণবাড়িয়া,নবীনগর,শ্যামগ্রাম,৩৪১৩,Chittagong,Brahmanbaria,Nabinagar,Shamgram,3413
3414,চট্টগ্রাম,ব্রাহ্মণবাড়িয়া,নবীনগর,রতনপুর,৩৪১৪,Chittagong,Brahmanbaria,Nabinagar,Ratanpur,3414
3415,চট্টগ্রাম,ব্রাহ্মণবাড়িয়া,নবীনগর,শাহপুর,৩৪১৫,Chittagong,Brahmanbaria,Nabinagar,Shahapur,3415
3417,চট্টগ্রাম,ব্রাহ্মণবাড়িয়া,নবীনগর,কাইতলা,৩৪১৭,Chittagong,Brahmanbaria,Nabinagar,Kaitala,3417
3418,চট্টগ্রাম,ব্রাহ্মণবাড়িয়া,নবীনগর,ছলিমগঞ্জ,৩৪১৮,Chittagong,Brahmanbaria,Nabinagar,Salimganj,3418
3419,চট্টগ্রাম,ব্রাহ্মণবাড়িয়া,নবীনগর,জীবনগঞ্জ,৩৪১৯,Chittagong,Brahmanbaria,Nabinagar,Jibanganj,3419
3420,চট্টগ্রাম,ব্রাহ্মণবাড়িয়া,বাঞ্ছারামপুর,বাঞ্ছারামপুর,৩৪২০,Chittagong,Brahmanbaria,Banchharampur,Banchharampur,3420
3430,চট্টগ্রাম,ব্রাহ্মণবাড়িয়া,সরাইল,সরাইল,৩৪৩০,Chittagong,Brahmanbaria,Sarail,Sarial,3430
3431,চট্টগ্রাম,ব্রাহ্মণবাড়িয়া,সরাইল,শাহবাজপুর,৩৪৩১,Chittagong,Brahmanbaria,Sarail,Shahbajpur,3431
3432,চট্টগ্রাম,ব্রাহ্মণবাড়িয়া,সরাইল,চান্দুরা,৩৪৩২,Chittagong,Brahmanbaria,Sarail,Chandura,3432
3440,চট্টগ্রাম,ব্রাহ্মণবাড়িয়া,নাসিরনগর,নাসিরনগর,৩৪৪০,Chittagong,Brahmanbaria,Nasirnagar,Nasirnagar,3440
3441,চট্টগ্রাম,ব্রাহ্মণবাড়িয়া,নাসিরনগর,ফান্দাউক,৩৪৪১,Chittagong,Brahmanbaria,Nasirnagar,Fandauk,3441
3450,চট্টগ্রাম,ব্রাহ্মণবাড়িয়া,আখাউড়া,আখাউড়া,৩৪৫০,Chittagong,Brahmanbaria,Akhaura,Akhaura,3450
3451,চট্টগ্রাম,ব্রাহ্মণবাড়িয়া,আখাউড়া,আজমপুর,৩৪৫১,Chittagong,Brahmanbaria,Akhaura,Azampur,3451
3452,চট্টগ্রাম,ব্রাহ্মণবাড়িয়া,আখাউড়া,গঙ্গাসাগর,৩৪৫২,Chittagong,Brahmanbaria,Akhaura,Gangasagar,3452
3460,চট্টগ্রাম,ব্রাহ্মণবাড়িয়া,কসবা,কসবা,৩৪৬০,Chittagong,Brahmanbaria,Kasba,Kasba,3460
3461,চট্টগ্রাম,ব্রাহ্মণবাড়িয়া,কসবা,কুটি,৩৪৬১,Chittagong,Brahmanbaria,Kasba,Kuti,3461
3462,চট্টগ্রাম,ব্রাহ্মণবাড়িয়া,কসবা,চন্ডিদার,৩৪৬২,Chittagong,Brahmanbaria,Kasba,Chandidar,3462
3463,চট্টগ্রাম,ব্রাহ্মণবাড়িয়া,কসবা,চরগাছ,৩৪৬৩,Chittagong,Brahmanbaria,Kasba,Chargachh,3463
3464,চট্টগ্রাম,ব্রাহ্মণবাড়িয়া,কসবা,গোপীনাথপুর,৩৪৬৪,Chittagong,Brahmanbaria,Kasba,Gopinathpur,3464
3500,চট্টগ্রাম,কুমিল্লা,কুমিল্লা সদর,কুমিল্লা সদর,৩৫০০,Chittagong,Cumilla,Comilla Sadar,Comilla Sadar,3500
3501,চট্টগ্রাম,কুমিল্লা,কুমিল্লা সদর,কুমিল্লা সেনানিবাস,৩৫০১,Chittagong,Cumilla,Comilla Sadar,Comilla Contoment,3501
3502,চট্টগ্রাম,কুমিল্লা,কুমিল্লা সদর,হালিমানগর,৩৫০২,Chittagong,Cumilla,Comilla Sadar,Halimanagar,3502
3503,চট্টগ্রাম,কুমিল্লা,কুমিল্লা সদর,কোটবাড়ী,৩৫০৩,Chittagong,Cumilla,Comilla Sadar,Courtbari,3503
3504,চট্টগ্রাম,কুমিল্লা,কুমিল্লা সদর,সুয়াগঞ্জ,৩৫০৪,Chittagong,Cumilla,Comilla Sadar,Suaganj,3504
3510,চট্টগ্রাম,কুমিল্লা,চান্দিনা,চান্দিনা,৩৫১০,Chittagong,Cumilla,Chandina,Mohichail,3510
3511,চট্টগ্রাম,কুমিল্লা,চান্দিনা,মাধাইয়া বাজার,৩৫১১,Chittagong,Cumilla,Chandina,Madhaiabazar,3511
3516,চট্টগ্রাম,কুমিল্লা,দাউদকান্দি,দাউদকান্দি,৩৫১৬,Chittagong,Cumilla,Daudkandi,Daudkandi,3516
3517,চট্টগ্রাম,কুমিল্লা,দাউদকান্দি,গৌরীপুর,৩৫১৭,Chittagong,Cumilla,Daudkandi,Gouripur,3517
3518,চট্টগ্রাম,কুমিল্লা,দাউদকান্দি,দাশপাড়া,৩৫১৮,Chittagong,Cumilla,Daudkandi,Dashpara,3518
3519,চট্টগ্রাম,কুমিল্লা,দাউদকান্দি,ইলিয়টগঞ্জ,৩৫১৯,Chittagong,Cumilla,Daudkandi,Eliotganj,3519
3520,চট্টগ্রাম,কুমিল্লা,বুড়িচং,বুড়িচং,৩৫২০,Chittagong,Cumilla,Burichang,Burichang,3520
3521,চট্টগ্রাম,কুমিল্লা,বুড়িচং,ময়নামতি বাজার,৩৫২১,Chittagong,Cumilla,Burichang,Maynamoti bazar,3521
3526,চট্টগ্রাম,কুমিল্লা,ব্রাহ্মণপাড়া,ব্রাহ্মণপাড়া,৩৫২৬,Chittagong,Cumilla,Brahmanpara,Brahmanpara,3526
3530,চট্টগ্রাম,কুমিল্লা,দেবিদ্বার,দেবিদ্বার,৩৫৩০,Chittagong,Cumilla,Davidhar,Davidhar,3530
3531,চট্টগ্রাম,কুমিল্লা,দেবিদ্বার,গঙ্গামন্ডল,৩৫৩১,Chittagong,Cumilla,Davidhar,Gangamandal,3531
3532,চট্টগ্রাম,কুমিল্লা,দেবিদ্বার,বড়শালঘর,৩৫৩২,Chittagong,Cumilla,Davidhar,Barashalghar,3532
3533,চট্টগ্রাম,কুমিল্লা,দেবিদ্বার,ধামতী,৩৫৩৩,Chittagong,Cumilla,Davidhar,Dhamtee,3533
3540,চট্টগ্রাম,কুমিল্লা,মুরাদনগর,মুরাদনগর,৩৫৪০,Chittagong,Cumilla,Muradnagar,Muradnagar,3540
3541,চট্টগ্রাম,কুমিল্লা,মুরাদনগর,রামচন্দ্রপুর,৩৫৪১,Chittagong,Cumilla,Muradnagar,Ramchandarpur,3541
