postcode,bn_division,bn_district,bn_thana,bn_suboffice,bn_postcode,en_division,en_district,en_thana,en_suboffice,en_postcode
7000,খুলনা,কুষ্টিয়া,কুষ্টিয়া সদর,কুষ্টিয়া সদর,৭০০০,Khulna,Kushtia,Kushtia Sadar,Kushtia Sadar,7000
7001,খুলনা,কুষ্টিয়া,কুষ্টিয়া সদর,কুষ্টিয়া মোহিনী,৭০০১,Khulna,Kushtia,Kushtia Sadar,Kushtia Mohini,7001
7002,খুলনা,কুষ্টিয়া,কুষ্টিয়া সদর,জগতি,৭০০২,Khulna,Kushtia,Kushtia Sadar,Jagati,7002
7003,খুলনা,কুষ্টিয়া,কুষ্টিয়া সদর,ইসলামী বিশ্ববিদ্যালয়,৭০০৩,Khulna,Kushtia,Kushtia Sadar,Islami University,7003
7010,খুলনা,কুষ্টিয়া,কুমারখালী,কুমারখালী,৭০১০,Khulna,Kushtia,Kumarkhali,Kumarkhali,7010
7011,খুলনা,কুষ্টিয়া,কুমারখালী,পান্টি,৭০১১,Khulna,Kushtia,Kumarkhali,Panti,7011
7020,খুলনা,কুষ্টিয়া,খোকসা,জানিপুর,৭০২০,Khulna,Kushtia,Janipur,Janipur,7020
7021,খুলনা,কুষ্টিয়া,খোকসা,খোকসা,৭০২১,Khulna,Kushtia,Janipur,Khoksa,7021
7030,খুলনা,কুষ্টিয়া,মিরপুর,মিরপুর,৭০৩০,Khulna,Kushtia,Mirpur,Mirpur,7030
7031,খুলনা,কুষ্টিয়া,মিরপুর,পোড়াদহ,৭০৩১,Khulna,Kushtia,Mirpur,Poradaha,7031
7032,খুলনা,কুষ্টিয়া,মিরপুর,আমলা সদরপুর,৭০৩২,Khulna,Kushtia,Mirpur,Amla Sadarpur,7032
7040,খুলনা,কুষ্টিয়া,ভেড়ামারা,ভেড়ামারা,৭০৪০,Khulna,Kushtia,Bheramara,Bheramara,7040
7041,খুলনা,কুষ্টিয়া,ভেড়ামারা,গঙ্গা ভেড়ামারা,৭০৪১,Khulna,Kushtia,Bheramara,Ganges Bheramara,7041
7042,খুলনা,কুষ্টিয়া,ভেড়ামারা,আল্লারদর্গা,৭০৪২,Khulna,Kushtia,Bheramara,Allardarga,7042
7050,খুলনা,কুষ্টিয়া,দৌলতপুর,দৌলতপুর,৭০৫০,Khulna,Kushtia,Rafayetpur,Doulatpur,7050
7051,খুলনা,কুষ্টিয়া,দৌলতপুর,তারাগুনিয়া,৭০৫১,Khulna,Kushtia,Rafayetpur,Taragunia,7051
7052,খুলনা,কুষ্টিয়া,দৌলতপুর,খাসমথুরাপুর,৭০৫২,Khulna,Kushtia,Rafayetpur,Khasmathurapur,7052
7100,খুলনা,মেহেরপুর,মেহেরপুর সদর,মেহেরপুর সদর,৭১০০,Khulna,Meherpur,Meherpur Sadar,Meherpur Sadar,7100
7101,খুলনা,মেহেরপুর,মেহেরপুর সদর,আমঝুপি,৭১০১,Khulna,Meherpur,Meherpur Sadar,Amjhupi,7101
7102,খুলনা,মেহেরপুর,মুজিবনগর,মুজিব নগর,৭১০২,Khulna,Meherpur,Meherpur Sadar,Mujib Nagar Complex,7102
7110,খুলনা,মেহেরপুর,গাংনী,গাংনী,৭১১০,Khulna,Meherpur,Gangni,Gangni,7110
