postcode,bn_division,bn_district,bn_thana,bn_suboffice,bn_postcode,en_division,en_district,en_thana,en_suboffice,en_postcode
5800,রাজশাহী,বগুড়া,বগুড়া সদর,বগুড়া সদর,৫৮০০,Rajshahi,Bogura,Bogura Sadar,Bogura Sadar,5800
5801,রাজশাহী,বগুড়া,বগুড়া সদর,বগুড়া সেনানিবাস,৫৮০১,Rajshahi,Bogura,Bogura Sadar,Bogura Canttonment,5801
5810,রাজশাহী,বগুড়া,শিবগঞ্জ,শিবগঞ্জ,৫৮১০,Rajshahi,Bogura,Shibganj,Shibganj,5810
5820,রাজশাহী,বগুড়া,গাবতলী,গাবতলী,৫৮২০,Rajshahi,Bogura,Gabtoli,-,5820
5821,রাজশাহী,বগুড়া,গাবতলী,সুখানপুকুর,৫৮২১,Rajshahi,Bogura,Gabtoli,Sukhanpukur,5821
5826,রাজশাহী,বগুড়া,সোনাতলা,সোনাতলা,৫৮২৬,Rajshahi,Bogura,Sonatola,Sonatola,5826
5830,রাজশাহী,বগুড়া,সারিয়াকান্দি,সারিয়াকান্দি,৫৮৩০,Rajshahi,Bogura,Sariakandi,Sariakandi,5830
5831,রাজশাহী,বগুড়া,সারিয়াকান্দি,চন্দন বাইশা,৫৮৩১,Rajshahi,Bogura,Sariakandi,Chandan Baisha,5831
5840,রাজশাহী,বগুড়া,শেরপুর,শেরপুর,৫৮৪০,Rajshahi,Bogura,Sherpur,Sherpur,5840
5841,রাজশাহী,বগুড়া,শেরপুর,চান্দাইকোনা,৫৮৪১,Rajshahi,Bogura,Sherpur,Chandaikona,5841
5842,রাজশাহী,বগুড়া,শেরপুর,পল্লী উন্নয়ন একাডেমী,৫৮৪২,Rajshahi,Bogura,Sherpur,Palli Unnyan Accadem,5842
5850,রাজশাহী,বগুড়া,ধুনট,ধুনট,৫৮৫০,Rajshahi,Bogura,Dhunat,Dhunat,5850
5851,রাজশাহী,বগুড়া,ধুনট,গোসাইবাড়ি,৫৮৫১,Rajshahi,Bogura,Dhunat,Gosaibari,5851
5860,রাজশাহী,বগুড়া,নন্দীগ্রাম,নন্দীগ্রাম,৫৮৬০,Rajshahi,Bogura,Nandigram,Nandigram,5860
5870,রাজশাহী,বগুড়া,কাহালু,কাহালু,৫৮৭০,Rajshahi,Bogura,Kahalu,Kahalu,5870
5880,রাজশাহী,বগুড়া,দুপচাঁচিয়া,দুপচাঁচিয়া,৫৮৮০,Rajshahi,Bogura,Dupchachia,Dupchanchia,5880
5881,রাজশাহী,বগুড়া,দুপচাঁচিয়া,তালোড়া,৫৮৮১,Rajshahi,Bogura,Dupchachia,Talora,5881
5890,রাজশাহী,বগুড়া,আদমদীঘি,আদমদীঘি,৫৮৯০,Rajshahi,Bogura,Adamdighi,Adamdighi,5890
5891,রাজশাহী,বগুড়া,আদমদীঘি,সান্তাহার,৫৮৯১,Rajshahi,Bogura,Adamdighi,Santahar,5891
5892,রাজশাহী,বগুড়া,আদমদীঘি,নশরতপুর,৫৮৯২,Rajshahi,Bogura,Adamdighi,Nasharatpur,5892
5900,রাজশাহী,জয়পুরহাট,জয়পুরহাট সদর,জয়পুরহাট সদর,৫৯০০,Rajshahi,Joypurhat,Joypurhat Sadar,Joypurhat Sadar,5900
5910,রাজশাহী,জয়পুরহাট,পাঁচবিবি,পাঁচবিবি,৫৯১০,Rajshahi,Joypurhat,panchbibi,Panchbibi,5910
5920,রাজশাহী,জয়পুরহাট,ক্ষেতলাল,ক্ষেতলাল,৫৯২০,Rajshahi,Joypurhat,Khetlal,Khetlal,5920
5930,রাজশাহী,জয়পুরহাট,কালাই,কালাই,৫৯৩০,Rajshahi,Joypurhat,kalai,kalai,5930
5940,রাজশাহী,জয়পুরহাট,আক্কেলপুর,আক্কেলপুর,৫৯৪০,Rajshahi,Joypurhat,Akkelpur,Akklepur,5940
5941,রাজশাহী,জয়পুরহাট,আক্কেলপুর,জামালগঞ্জ,৫৯৪১,Rajshahi,Joypurhat,Akkelpur,jamalganj,5941
5942,রাজশাহী,জয়পুরহাট,আক্কেলপুর,তিলকপুর,৫৯৪২,Rajshahi,Joypurhat,Akkelpur,Tilakpur,5942
6000,রাজশাহী,রাজশাহী,রাজশাহী সদর,রাজশাহী সদর,৬০০০,Rajshahi,Rajshahi,Rajshahi Sadar,Rajshahi Sadar,6000
6100,রাজশাহী,রাজশাহী,রাজশাহী সদর,ঘোড়ামারা,৬১০০,Rajshahi,Rajshahi,Rajshahi Sadar,Ghuramara,6100
6201,রাজশাহী,রাজশাহী,রাজশাহী সদর,রাজশাহী কোর্ট,৬২০১,Rajshahi,Rajshahi,Rajshahi Sadar,Rajshahi Court,6201
6202,রাজশাহী,রাজশাহী,রাজশাহী সদর,রাজশাহী সেনানিবাস,৬২০২,Rajshahi,Rajshahi,Rajshahi Sadar,Rajshahi Canttonment,6202
6203,রাজশাহী,রাজশাহী,রাজশাহী সদর,সপুরা,৬২০৩,Rajshahi,Rajshahi,Rajshahi Sadar,Sapura,6203
6204,রাজশাহী,রাজশাহী,রাজশাহী সদর,কাজলা,৬২০৪,Rajshahi,Rajshahi,Rajshahi Sadar,Kazla,6204
6205,রাজশাহী,রাজশাহী,রাজশাহী সদর,রাজশাহী বিশ্ববিদ্যালয়,৬২০৫,Rajshahi,Rajshahi,Rajshahi Sadar,Rajshahi University,6205
6206,রাজশাহী,রাজশাহী,রাজশাহী সদর,বিনোদপুর বাজার,৬২০৬,Rajshahi,Rajshahi,Rajshahi Sadar,Binodpur Bazar,6206
6210,রাজশাহী,রাজশাহী,দর্শনপাড়া,দর্শনপাড়া,৬২১০,Rajshahi,Rajshahi,Lalitganj,Lalitganj,6210
6211,রাজশাহী,রাজশাহী,ললিতগঞ্জ,রাজশাহী চিনিকল,৬২১১,Rajshahi,Rajshahi,Lalitganj,Rajshahi Sugar Mills,6211
6212,রাজশাহী,রাজশাহী,ললিতগঞ্জ,শ্যামপুর,৬২১২,Rajshahi,Rajshahi,Lalitganj,Shyampur,6212
6220,রাজশাহী,রাজশাহী,খোদমোহনপুর,খোদমোহনপুর,৬২২০,Rajshahi,Rajshahi,Khod Mohanpur,Khodmohanpur,6220
6230,রাজশাহী,রাজশাহী,তানোর,তানোর,৬২৩০,Rajshahi,Rajshahi,Tanor,Tanor,6230
6240,রাজশাহী,রাজশাহী,দুর্গাপুর,দুর্গাপুর,৬২৪০,Rajshahi,Rajshahi,Durgapur,Durgapur,6240
6250,রাজশাহী,রাজশাহী,ভবানীগঞ্জ,ভবানীগঞ্জ,৬২৫০,Rajshahi,Rajshahi,Bagmara,Bhabaniganj,6250
6251,রাজশাহী,রাজশাহী,ভবানীগঞ্জ,তাহেরপুর,৬২৫১,Rajshahi,Rajshahi,Bagmara,Taharpur,6251
6260,রাজশাহী,রাজশাহী,পুঠিয়া,পুঠিয়া,৬২৬০,Rajshahi,Rajshahi,Putia,Putia,6260
6270,রাজশাহী,রাজশাহী,চারঘাট,চারঘাট,৬২৭০,Rajshahi,Rajshahi,Charghat,Charghat,6270
6271,রাজশাহী,রাজশাহী,চারঘাট,সারদা,৬২৭১,Rajshahi,Rajshahi,Charghat,Sarda,6271
6280,রাজশাহী,রাজশাহী,বাঘা,বাঘা,৬২৮০,Rajshahi,Rajshahi,Bagha,Bagha,6280
6281,রাজশাহী,রাজশাহী,বাঘা,আড়ানী,৬২৮১,Rajshahi,Rajshahi,Bagha,Arani,6281
6290,রাজশাহী,রাজশাহী,গোদাগাড়ী,গোদাগাড়ী,৬২৯০,Rajshahi,Rajshahi,Godagari,Godagari,6290
6291,রাজশাহী,রাজশাহী,গোদাগাড়ী,প্রেমতলী,৬২৯১,Rajshahi,Rajshahi,Godagari,Premtoli,6291
6300,রাজশাহী,চাঁপাইনবাবগঞ্জ,চাঁপাইনবাবগঞ্জ সদর,চাঁপাইনবাবগঞ্জ সদর,৬৩০০,Rajshahi,Chapai Nawabganj,Chapai Nawabganj Sadar,Chapai Nawabganj Sadar,6300
6301,রাজশাহী,চাঁপাইনবাবগঞ্জ,চাঁপাইনবাবগঞ্জ সদর,রাজারামপুর,৬৩০১,Rajshahi,Chapai Nawabganj,Chapai Nawabganj Sadar,Rajarampur,6301
6302,রাজশাহী,চাঁপাইনবাবগঞ্জ,চাঁপাইনবাবগঞ্জ সদর,রামচন্দ্রপুর,৬৩০২,Rajshahi,Chapai Nawabganj,Chapai Nawabganj Sadar,Ramchandarpur,6302
6303,রাজশাহী,চাঁপাইনবাবগঞ্জ,চাঁপাইনবাবগঞ্জ সদর,আমনুরা,৬৩০৩,Rajshahi,Chapai Nawabganj,Chapai Nawabganj Sadar,Amnura,6303
6310,রাজশাহী,চাঁপাইনবাবগঞ্জ,নাচোল,নাচোল,৬৩১০,Rajshahi,Chapai Nawabganj,Nachol,Nachol,6310
6311,রাজশাহী,চাঁপাইনবাবগঞ্জ,নাচোল,মন্ডুমালা,৬৩১১,Rajshahi,Chapai Nawabganj,Nachol,Mandumala,6311
6320,রাজশাহী,চাঁপাইনবাবগঞ্জ,রোহনপুর,রোহনপুর,৬৩২০,Rajshahi,Chapai Nawabganj,Rohanpur,Rohanpur,6320
