postcode,bn_division,bn_district,bn_thana,bn_suboffice,bn_postcode,en_division,en_district,en_thana,en_suboffice,en_postcode
3000,সিলেট,সুনামগঞ্জ,সুনামগঞ্জ সদর,সুনামগঞ্জ সদর,৩০০০,Sylhet,Sunamganj,Sunamganj Sadar,Sunamganj Sadar,3000
3001,সিলেট,সুনামগঞ্জ,সুনামগঞ্জ সদর,পাগলা,৩০০১,Sylhet,Sunamganj,Sunamganj Sadar,Pagla,3001
3002,সিলেট,সুনামগঞ্জ,সুনামগঞ্জ সদর,পাথারিয়া,৩০০২,Sylhet,Sunamganj,Sunamganj Sadar,Patharia,3002
3010,সিলেট,সুনামগঞ্জ,বিশম্ভরপুর,বিশম্ভরপুর,৩০১০,Sylhet,Sunamganj,Bishamsarpur,Bishamsapur,3010
3020,সিলেট,সুনামগঞ্জ,সাচনা,সাচনা,৩০২০,Sylhet,Sunamganj,Sachna,Sachna,3020
3030,সিলেট,সুনামগঞ্জ,তাহিরপুর,তাহিরপুর,৩০৩০,Sylhet,Sunamganj,Tahirpur,Tahirpur,3030
3040,সিলেট,সুনামগঞ্জ,দিরাই চাঁদপুর,দিরাই চাঁদপুর,৩০৪০,Sylhet,Sunamganj,Dhirai Chandpur,Dhirai Chandpur,3040
3041,সিলেট,সুনামগঞ্জ,দিরাই চাঁদপুর,জগদল,৩০৪১,Sylhet,Sunamganj,Dhirai Chandpur,Jagdal,3041
3050,সিলেট,সুনামগঞ্জ,ঘুঙ্গিয়ার,ঘুঙ্গিয়ার,৩০৫০,Sylhet,Sunamganj,Ghungiar,Ghungiar,3050
3060,সিলেট,সুনামগঞ্জ,জগন্নাথপুর,জগন্নাথপুর,৩০৬০,Sylhet,Sunamganj,Jagnnathpur,Jagnnathpur,3060
3061,সিলেট,সুনামগঞ্জ,জগন্নাথপুর,সৈয়দপুর,৩০৬১,Sylhet,Sunamganj,Jagnnathpur,Saidpur,3061
3062,সিলেট,সুনামগঞ্জ,জগন্নাথপুর,আতুয়াজান,৩০৬২,Sylhet,Sunamganj,Jagnnathpur,Atuajan,3062
3063,সিলেট,সুনামগঞ্জ,জগন্নাথপুর,হাসান ফাতেমাপুর,৩০৬৩,Sylhet,Sunamganj,Jagnnathpur,Hasan Fatemapur,3063
3064,সিলেট,সুনামগঞ্জ,জগন্নাথপুর,রাসূলগঞ্জ,৩০৬৪,Sylhet,Sunamganj,Jagnnathpur,Rasulganj,3064
3065,সিলেট,সুনামগঞ্জ,জগন্নাথপুর,শিরামসি,৩০৬৫,Sylhet,Sunamganj,Jagnnathpur,Shiramsi,3065
3070,সিলেট,সুনামগঞ্জ,দুয়ারা বাজার,দুয়ারা বাজার,৩০৭০,Sylhet,Sunamganj,Duara bazar,Duara bazar,3070
3080,সিলেট,সুনামগঞ্জ,ছাতক,ছাতক,৩০৮০,Sylhet,Sunamganj,Chhatak,Chhatak,3080
3081,সিলেট,সুনামগঞ্জ,ছাতক,ছাতক সিমেন্ট ফ্যাক্টরি,৩০৮১,Sylhet,Sunamganj,Chhatak,Chhatak Cement Facto,3081
3082,সিলেট,সুনামগঞ্জ,ছাতক,ছাতক পেপার মিলস,৩০৮২,Sylhet,Sunamganj,Chhatak,Chhatak Paper Mills,3082
3083,সিলেট,সুনামগঞ্জ,ছাতক,গোবিন্দগঞ্জ,৩০৮৩,Sylhet,Sunamganj,Chhatak,Gabindaganj,3083
3084,সিলেট,সুনামগঞ্জ,ছাতক,গোবিন্দগঞ্জ নতুন বাজার,৩০৮৪,Sylhet,Sunamganj,Chhatak,Gabindaganj Natun Ba,3084
3085,সিলেট,সুনামগঞ্জ,ছাতক,খুরমা,৩০৮৫,Sylhet,Sunamganj,Chhatak,Khurma,3085
3086,সিলেট,সুনামগঞ্জ,ছাতক,মৈনপুর,৩০৮৬,Sylhet,Sunamganj,Chhatak,Moinpur,3086
3087,সিলেট,সুনামগঞ্জ,ছাতক,জাহিদপুর,৩০৮৭,Sylhet,Sunamganj,Chhatak,jahidpur,3087
3088,সিলেট,সুনামগঞ্জ,ছাতক,ইসলামাবাদ,৩০৮৮,Sylhet,Sunamganj,Chhatak,Islamabad,3088
3100,সিলেট,সিলেট,সিলেট সদর,সিলেট সদর,৩১০০,Sylhet,Sylhet,Sylhet Sadar,Sylhet Sadar,3100
3101,সিলেট,সিলেট,সিলেট সদর,সিলেট ক্যাডেট কলেজ,৩১০১,Sylhet,Sylhet,Sylhet Sadar,Mangal Kandi,3101
3102,সিলেট,সিলেট,সিলেট সদর,সিলেট বিমান বন্দর,৩১০২,Sylhet,Sylhet,Sylhet Sadar,Sylhet Biman Bondar,3102
3103,সিলেট,সিলেট,সিলেট সদর,খাদিমনগর,৩১০৩,Sylhet,Sylhet,Sylhet Sadar,Khadimnagar,3103
3104,সিলেট,সিলেট,সিলেট সদর,জালালাবাদ সেনানিবাস,৩১০৪,Sylhet,Sylhet,Sylhet Sadar,Jalalabad Cantoment,3104
3105,সিলেট,সিলেট,সিলেট সদর,সিলাম,৩১০৫,Sylhet,Sylhet,Sylhet Sadar,Silam,3105
3106,সিলেট,সিলেট,সিলেট সদর,বিরাহিমপুর,৩১০৬,Sylhet,Sylhet,Sylhet Sadar,Birahimpur,3106
3107,সিলেট,সিলেট,সিলেট সদর,জালালাবাদ,৩১০৭,Sylhet,Sylhet,Sylhet Sadar,Jalalabad,3107
3108,সিলেট,সিলেট,সিলেট সদর,মগ্লা,৩১০৮,Sylhet,Sylhet,Sylhet Sadar,Mogla,3108
3109,সিলেট,সিলেট,সিলেট সদর,রাঙ্গা হাজীগঞ্জ,৩১০৯,Sylhet,Sylhet,Sylhet Sadar,Ranga Hajiganj,3109
3111,সিলেট,সিলেট,সিলেট সদর,কদমতলী,৩১১১,Sylhet,Sylhet,Sylhet Sadar,Kadamtali,3111
3112,সিলেট,সিলেট,সিলেট সদর,কামালবাজার,৩১১২,Sylhet,Sylhet,Sylhet Sadar,Kamalbazer,3112
3113,সিলেট,সিলেট,সিলেট সদর,লালবাজার,৩১১৩,Sylhet,Sylhet,Sylhet Sadar,Lalbazar,3113
3114,সিলেট,সিলেট,সিলেট সদর,শাহ্‌জালাল বিজ্ঞান ও প্রযুক্তি,৩১১৪,Sylhet,Sylhet,Sylhet Sadar,Shahajalal Science &amp;,3114
3116,সিলেট,সিলেট,ফেঞ্চুগঞ্জ,ফেঞ্চুগঞ্জ,৩১১৬,Sylhet,Sylhet,Fenchuganj,Fenchuganj,3116
3117,সিলেট,সিলেট,ফেঞ্চুগঞ্জ,ফেঞ্চুগঞ্জ সার কারখানা,৩১১৭,Sylhet,Sylhet,Fenchuganj,Fenchuganj SareKarkh,3117
3120,সিলেট,সিলেট,বালাগঞ্জ,বালাগঞ্জ,৩১২০,Sylhet,Sylhet,Balaganj,Balaganj,3120
3121,সিলেট,সিলেট,বালাগঞ্জ,করুয়া,৩১২১,Sylhet,Sylhet,Balaganj,Karua,3121
3122,সিলেট,সিলেট,বালাগঞ্জ,ব্রহ্ম শাসন,৩১২২,Sylhet,Sylhet,Balaganj,Brahman Shashon,3122
3123,সিলেট,সিলেট,বালাগঞ্জ,তাজপুর,৩১২৩,Sylhet,Sylhet,Balaganj,Tajpur,3123
3124,সিলেট,সিলেট,বালাগঞ্জ,গোয়ালা বাজার,৩১২৪,Sylhet,Sylhet,Balaganj,Goala Bazar,3124
3125,সিলেট,সিলেট,বালাগঞ্জ,বেগমপুর,৩১২৫,Sylhet,Sylhet,Balaganj,Begumpur,3125
