district,count
Bagerhat,26
Bandarban,7
Barguna,8
Barisal,41
Bhola,14
Bogura,20
Brahmanbaria,28
Chandpur,26
Chapai Nawabganj,12
Chittagong,99
Chuadanga,8
Cox's Bazar,14
Cumilla,38
Dhaka,53
Dinajpur,19
Faridpur,17
Feni,20
Gaibandha,12
Gazipur,23
Gopalganj,14
Habiganj,22
Jamalpur,20
Jashore,21
Jhalokati,12
Jhenaidah,9
Joypurhat,7
Khagrachhari,8
Khulna,39
Kishoreganj,21
Kurigram,13
Kushtia,17
Lakshmipur,24
Lalmonirhat,9
Madaripur,13
Magura,8
Manikganj,18
Meherpur,5
Moulvibazar,26
Munshiganj,34
Mymensingh,31
Naogaon,18
Narail,9
Narayanganj,21
Narsingdi,18
Natore,13
Netrokona,18
Nilphamari,10
Noakhali,59
Pabna,18
Panchagarh,6
Patuakhali,15
Pirojpur,25
Rajbari,9
Rajshahi,23
Rangamati,14
Rangpur,15
Satkhira,25
Shariatpur,12
Sherpur,8
Sirajganj,23
Sunamganj,25
Sylhet,54
Tangail,43
Thakurgaon,10
