thana,count
Adamdighi,3
Aditmari,1
Agailzhara,3
Ahsanganj,2
Akhaura,3
Akkelpur,3
Alaipur,3
Alamdanga,2
Alfadanga,1
Alikadam,1
Amtali,1
Anawara,3
Araihazar,2
Arpara,1
Ashashuni,2
Atghoria,1
Atpara,1
Azmireeganj,1
Babuganj,7
Badalgachhi,1
Badarganj,2
Bagerhat Sadar,3
Bagha,2
Bagharpara,2
Bagmara,2
Bahubal,1
Baidder Bazar,3
Baiddya Jam Toil,1
Bajitpur,3
Bakerganj,5
Bakshigonj,1
Balaganj,10
Baliadangi,2
Baliakandi,2
Bamna,1
Banaripara,2
Banchharampur,1
Bandar,5
Bandarban Sadar,1
Bangla Hili,1
Baniachang,3
Banwarinagar,1
Barajalia,2
Barakal,1
Baralekha,4
Barguna Sadar,2
Barhamganj,5
Barhatta,1
Barishal Sadar,7
Barura,3
Basail,1
Basurhat,2
Batiaghat,2
Bauphal,5
Begumganj,24
Belabo,1
Belkuchi,5
Bera,4
Betagi,2
Bhairob,2
Bhaluka,1
Bhandaria,3
Bhanga,1
Bhangura,1
Bhedorganj,1
Bheramara,3
Bhola Sadar,2
Bholahat,1
Bhuapur,1
Bhurungamari,1
Bianibazar,6
Bilaichhari,1
Biral,1
Birganj,1
Bishamsarpur,1
Bishwanath,5
Boalkhali,7
Boalmari,2
Bogura Sadar,2
Bonarpara,2
Borhanuddin UPO,2
Brahamanbaria Sadar,5
Brahmanpara,1
Burichang,2
Chalna Ankorage,2
Chalna Bazar,4
Chandina,2
Chandpur Sadar,4
Chapai Nawabganj Sadar,4
Char Alexgander,3
Charbhadrasan,1
Charfashion,3
Charghat,2
Chatkhil,12
Chatmohar,1
Chattogram Sadar,27
Chaugachha,1
Chhagalnaia,4
Chhatak,10
Chilmari,2
Chiringga,4
Chirirbandar,2
Chitalmari,2
Chotto Dab,3
Chouddagram,3
Chuadanga Sadar,2
Chunarughat,3
Comilla Sadar,5
Coxs Bazar Sadar,3
Dabiganj,1
Dagonbhuia,4
Damudhya,1
Damurhuda,3
Dashmina,1
Daudkandi,4
Davidhar,4
Debbhata,2
Delduar,6
Demra,3
Dewangonj,2
Dhaka,1
Dhamrai,2
Dhamuirhat,1
Dhangora,2
Dhanmondi,1
Dharmapasha,1
Dhirai Chandpur,2
Dhobaura,2
Dhunat,2
Digalia,5
Diginala,1
Dimla,2
Dinajpur Sadar,2
Domar,2
Doulatganj,1
Doulatkhan,2
Duara bazar,1
Dupchachia,2
Durgapur,1
East Joara,4
Fakirhat,3
Faridganj,6
Faridpur Sadar,5
Fatikchhari,6
Fatullah,2
Fenchuganj,2
Feni Sadar,4
Fulbaria,1
Gabtoli,2
Gaforgaon,5
Gaibandha Sadar,1
Gajaria,3
Galachipa,2
Gangachara,1
Gangni,1
Gazipur Sadar,5
Ghatail,5
Ghior,1
Ghoraghat,2
Ghungiar,1
Goainghat,3
Gobindaganj,2
Godagari,2
Golapganj,6
Gopalganj Sadar,4
Gopalpur,3
Gopalpur UPO,3
Gorakghat,1
Gosairhat,1
Gouranadi,4
Gouripur,2
Gulshan,2
Habiganj Sadar,3
Hajiganj,2
Hajirhat,1
Haluaghat,3
Harinakundu,1
Harua,3
Hatgurudaspur,1
Hathazari,9
Hatibandha,1
Hatiya,3
Hatshoshiganj,1
Hayemchar,2
Homna,1
Hossenpur,1
Ishwardi,4
Islampur,3
Isshwargonj,3
Itna,1
Jagnnathpur,6
Jaintapur,1
Jajira,1
Jakiganj,2
Jaldhaka,1
Jaldi,4
Jamalpur,3
Janipur,2
Jarachhari,1
Jashore Sadar,8
Jatrabari,1
Jhalokati Sadar,5
Jhenaidah Sadar,2
Jhikargachha,1
Jhinaigati,1
Jibanpur,1
Joypara,3
Joypurhat Sadar,1
Kachua,6
Kahalu,1
Kalabagan (Old New market),1
Kalampati,2
Kalauk,2
Kalia,2
Kaliakaar,2
Kaliganj,7
Kalihati,8
Kalmakanda,1
Kamalganj,5
Kanaighat,4
Kapashia,1
Karimganj,1
Kasba,5
Kashiani,4
Kashkaolia,1
Kathalia,4
Katiadi,2
Kaunia,2
Kazipur,3
Kendua,1
Keraniganj,4
Keshabpur,1
Khagrachari Sadar,1
Khaliajuri,2
Khansama,2
Khepupara,2
Khetlal,1
Khilgaon,1
Khilkhet,1
Khod Mohanpur,1
